trainGaId;trainGaNr;iterations;score
trainGa01m05;bob001;1;0.324
trainGa01m05;bob001;2;0.100
trainGa01m05;bob001;3;0.107
trainGa01m05;bob001;4;1.020
trainGa01m05;bob001;5;0.448
trainGa01m05;bob001;6;0.071
trainGa01m05;bob001;7;0.188
trainGa01m05;bob001;8;0.251
trainGa01m05;bob001;9;0.884
trainGa01m05;bob001;10;0.904
trainGa01m05;bob001;11;-0.262
trainGa01m05;bob001;12;-0.096
trainGa01m05;bob001;13;2.828
trainGa01m05;bob001;14;0.433
trainGa01m05;bob001;15;-0.002
trainGa01m05;bob001;16;0.120
trainGa01m05;bob001;17;0.005
trainGa01m05;bob001;18;0.717
trainGa01m05;bob001;19;0.598
trainGa01m05;bob001;20;0.340
trainGa01m05;bob001;21;0.749
trainGa01m05;bob001;22;0.317
trainGa01m05;bob001;23;1.368
trainGa01m05;bob001;24;0.597
trainGa01m05;bob001;25;0.535
trainGa01m05;bob001;26;0.192
trainGa01m05;bob001;27;2.462
trainGa01m05;bob001;28;-0.213
trainGa01m05;bob001;29;0.318
trainGa01m05;bob001;30;0.751
trainGa01m05;bob001;31;1.984
trainGa01m05;bob001;32;0.685
trainGa01m05;bob001;33;0.712
trainGa01m05;bob001;34;2.834
trainGa01m05;bob001;35;1.404
trainGa01m05;bob001;36;-0.231
trainGa01m05;bob001;37;1.705
trainGa01m05;bob001;38;-0.883
trainGa01m05;bob001;39;0.734
trainGa01m05;bob001;40;0.101
trainGa01m05;bob001;41;0.120
trainGa01m05;bob001;42;1.474
trainGa01m05;bob001;43;1.014
trainGa01m05;bob001;44;1.838
trainGa01m05;bob001;45;0.513
trainGa01m05;bob001;46;0.989
trainGa01m05;bob001;47;0.064
trainGa01m05;bob001;48;0.668
trainGa01m05;bob001;49;0.501
trainGa01m05;bob001;50;-0.996
trainGa01m05;bob001;51;0.469
trainGa01m05;bob001;52;0.858
trainGa01m05;bob001;53;1.196
trainGa01m05;bob001;54;0.747
trainGa01m05;bob001;55;0.902
trainGa01m05;bob001;56;0.668
trainGa01m05;bob001;57;-0.194
trainGa01m05;bob001;58;-0.911
trainGa01m05;bob001;59;0.360
trainGa01m05;bob001;60;0.045
trainGa01m05;bob001;61;0.855
trainGa01m05;bob001;62;0.846
trainGa01m05;bob001;63;1.491
trainGa01m05;bob001;64;0.473
trainGa01m05;bob001;65;0.547
trainGa01m05;bob001;66;1.449
trainGa01m05;bob001;67;0.224
trainGa01m05;bob001;68;2.345
trainGa01m05;bob001;69;0.738
trainGa01m05;bob001;70;-0.003
trainGa01m05;bob001;71;0.585
