trainGaId;trainGaNr;iterations;score
trainGa01ofM1;bob003;1;0.059
trainGa01ofM1;bob003;2;0.816
trainGa01ofM1;bob003;3;0.608
trainGa01ofM1;bob003;4;3.110
trainGa01ofM1;bob003;5;2.787
trainGa01ofM1;bob003;6;2.593
trainGa01ofM1;bob003;7;5.396
trainGa01ofM1;bob003;8;5.010
trainGa01ofM1;bob003;9;4.975
trainGa01ofM1;bob003;10;6.902
trainGa01ofM1;bob003;11;4.963
trainGa01ofM1;bob003;12;10.333
trainGa01ofM1;bob003;13;5.654
trainGa01ofM1;bob003;14;7.583
trainGa01ofM1;bob003;15;9.727
trainGa01ofM1;bob003;16;3.462
trainGa01ofM1;bob003;17;5.661
trainGa01ofM1;bob003;18;9.492
trainGa01ofM1;bob003;19;7.572
trainGa01ofM1;bob003;20;7.928
trainGa01ofM1;bob003;21;8.087
trainGa01ofM1;bob003;22;7.924
trainGa01ofM1;bob003;23;9.944
trainGa01ofM1;bob003;24;7.327
trainGa01ofM1;bob003;25;9.215
trainGa01ofM1;bob003;26;6.797
trainGa01ofM1;bob003;27;9.218
trainGa01ofM1;bob003;28;7.600
trainGa01ofM1;bob003;29;5.750
trainGa01ofM1;bob003;30;9.308
trainGa01ofM1;bob003;31;5.881
trainGa01ofM1;bob003;32;6.175
trainGa01ofM1;bob003;33;4.904
trainGa01ofM1;bob003;34;8.093
trainGa01ofM1;bob003;35;8.163
trainGa01ofM1;bob003;36;9.036
trainGa01ofM1;bob003;37;9.151
trainGa01ofM1;bob003;38;10.593
trainGa01ofM1;bob003;39;11.573
trainGa01ofM1;bob003;40;9.230
trainGa01ofM1;bob003;41;14.371
trainGa01ofM1;bob003;42;10.519
trainGa01ofM1;bob003;43;9.034
trainGa01ofM1;bob003;44;6.463
trainGa01ofM1;bob003;45;10.981
trainGa01ofM1;bob003;46;15.550
trainGa01ofM1;bob003;47;12.450
trainGa01ofM1;bob003;48;8.220
trainGa01ofM1;bob003;49;8.028
trainGa01ofM1;bob003;50;14.075
trainGa01ofM1;bob003;51;10.269
trainGa01ofM1;bob003;52;12.991
trainGa01ofM1;bob003;53;20.874
