trainGaId;trainGaNr;iterations;score
trainGa01ofS;bob001;1;1.320
trainGa01ofS;bob001;2;1.219
trainGa01ofS;bob001;3;2.263
trainGa01ofS;bob001;4;0.811
trainGa01ofS;bob001;5;1.353
trainGa01ofS;bob001;6;2.308
trainGa01ofS;bob001;7;3.717
trainGa01ofS;bob001;8;4.000
trainGa01ofS;bob001;9;3.642
trainGa01ofS;bob001;10;4.185
trainGa01ofS;bob001;11;5.793
trainGa01ofS;bob001;12;3.883
trainGa01ofS;bob001;13;3.982
trainGa01ofS;bob001;14;5.152
trainGa01ofS;bob001;15;5.464
trainGa01ofS;bob001;16;6.113
trainGa01ofS;bob001;17;6.495
trainGa01ofS;bob001;18;3.907
trainGa01ofS;bob001;19;6.216
trainGa01ofS;bob001;20;6.249
trainGa01ofS;bob001;21;5.893
trainGa01ofS;bob001;22;4.940
trainGa01ofS;bob001;23;7.704
trainGa01ofS;bob001;24;6.755
trainGa01ofS;bob001;25;7.923
trainGa01ofS;bob001;26;7.437
trainGa01ofS;bob001;27;8.190
trainGa01ofS;bob001;28;6.510
trainGa01ofS;bob001;29;6.415
trainGa01ofS;bob001;30;7.465
trainGa01ofS;bob001;31;8.030
trainGa01ofS;bob001;32;8.810
trainGa01ofS;bob001;33;9.296
trainGa01ofS;bob001;34;7.188
trainGa01ofS;bob001;35;6.224
trainGa01ofS;bob001;36;10.370
trainGa01ofS;bob001;37;7.451
trainGa01ofS;bob001;38;7.567
trainGa01ofS;bob001;39;9.565
trainGa01ofS;bob001;40;6.713
trainGa01ofS;bob001;41;6.769
trainGa01ofS;bob001;42;10.516
trainGa01ofS;bob001;43;9.340
trainGa01ofS;bob001;44;7.114
trainGa01ofS;bob001;45;7.160
trainGa01ofS;bob001;46;9.110
trainGa01ofS;bob001;47;8.817
trainGa01ofS;bob001;48;10.457
trainGa01ofS;bob001;49;10.640
trainGa01ofS;bob001;50;8.253
trainGa01ofS;bob001;51;7.423
trainGa01ofS;bob001;52;7.632
trainGa01ofS;bob001;53;9.535
trainGa01ofS;bob001;54;11.849
trainGa01ofS;bob001;55;10.840
trainGa01ofS;bob001;56;11.644
trainGa01ofS;bob001;57;12.677
trainGa01ofS;bob001;58;12.983
trainGa01ofS;bob001;59;11.123
trainGa01ofS;bob001;60;10.929
trainGa01ofS;bob001;61;12.349
trainGa01ofS;bob001;62;12.808
trainGa01ofS;bob001;63;10.916
trainGa01ofS;bob001;64;10.264
trainGa01ofS;bob001;65;10.857
trainGa01ofS;bob001;66;13.071
trainGa01ofS;bob001;67;11.319
trainGa01ofS;bob001;68;9.492
trainGa01ofS;bob001;69;10.867
trainGa01ofS;bob001;70;9.274
trainGa01ofS;bob001;71;13.845
trainGa01ofS;bob001;72;12.958
trainGa01ofS;bob001;73;15.129
trainGa01ofS;bob001;74;10.926
trainGa01ofS;bob001;75;12.915
trainGa01ofS;bob001;76;12.323
trainGa01ofS;bob001;77;12.227
trainGa01ofS;bob001;78;8.708
trainGa01ofS;bob001;79;12.014
trainGa01ofS;bob001;80;14.126
trainGa01ofS;bob001;81;11.136
trainGa01ofS;bob001;82;8.724
trainGa01ofS;bob001;83;12.493
trainGa01ofS;bob001;84;11.334
trainGa01ofS;bob001;85;9.870
trainGa01ofS;bob001;86;11.457
trainGa01ofS;bob001;87;10.217
trainGa01ofS;bob001;88;11.483
trainGa01ofS;bob001;89;11.488
trainGa01ofS;bob001;90;13.018
trainGa01ofS;bob001;91;10.717
trainGa01ofS;bob001;92;12.062
trainGa01ofS;bob001;93;16.134
trainGa01ofS;bob001;94;13.067
trainGa01ofS;bob001;95;12.259
trainGa01ofS;bob001;96;11.812
trainGa01ofS;bob001;97;11.406
trainGa01ofS;bob001;98;11.040
trainGa01ofS;bob001;99;12.027
trainGa01ofS;bob001;100;11.347
trainGa01ofS;bob001;101;11.741
trainGa01ofS;bob001;102;12.111
trainGa01ofS;bob001;103;10.370
trainGa01ofS;bob001;104;13.018
trainGa01ofS;bob001;105;12.125
trainGa01ofS;bob001;106;11.977
trainGa01ofS;bob001;107;9.865
trainGa01ofS;bob001;108;12.268
trainGa01ofS;bob001;109;13.460
trainGa01ofS;bob001;110;10.361
