trainGaId;trainGaNr;iterations;score
trainGa03;bob003;1;0.299
trainGa03;bob003;2;0.165
trainGa03;bob003;3;0.115
trainGa03;bob003;4;0.159
trainGa03;bob003;5;0.579
trainGa03;bob003;6;0.495
trainGa03;bob003;7;0.221
trainGa03;bob003;8;0.152
trainGa03;bob003;9;0.244
trainGa03;bob003;10;0.196
trainGa03;bob003;11;0.917
trainGa03;bob003;12;0.708
trainGa03;bob003;13;0.113
trainGa03;bob003;14;0.175
trainGa03;bob003;15;0.099
trainGa03;bob003;16;0.083
trainGa03;bob003;17;0.190
trainGa03;bob003;18;0.346
trainGa03;bob003;19;0.387
trainGa03;bob003;20;-0.256
trainGa03;bob003;21;0.971
trainGa03;bob003;22;0.367
trainGa03;bob003;23;-0.248
trainGa03;bob003;24;0.127
trainGa03;bob003;25;0.098
trainGa03;bob003;26;0.188
trainGa03;bob003;27;0.443
trainGa03;bob003;28;0.128
trainGa03;bob003;29;0.236
trainGa03;bob003;30;0.246
trainGa03;bob003;31;0.242
trainGa03;bob003;32;0.270
trainGa03;bob003;33;0.219
trainGa03;bob003;34;0.447
trainGa03;bob003;35;0.229
trainGa03;bob003;36;0.115
trainGa03;bob003;37;0.659
trainGa03;bob003;38;0.369
trainGa03;bob003;39;0.117
trainGa03;bob003;40;0.097
trainGa03;bob003;41;-0.309
trainGa03;bob003;42;0.264
trainGa03;bob003;43;0.508
trainGa03;bob003;44;0.098
trainGa03;bob003;45;0.634
trainGa03;bob003;46;0.363
trainGa03;bob003;47;0.432
trainGa03;bob003;48;0.000
trainGa03;bob003;49;0.272
trainGa03;bob003;50;0.569
trainGa03;bob003;51;0.419
trainGa03;bob003;52;0.639
trainGa03;bob003;53;0.380
trainGa03;bob003;54;0.213
trainGa03;bob003;55;-0.244
trainGa03;bob003;56;1.292
trainGa03;bob003;57;0.064
trainGa03;bob003;58;0.287
trainGa03;bob003;59;0.130
trainGa03;bob003;60;0.439
trainGa03;bob003;61;0.426
trainGa03;bob003;62;0.430
trainGa03;bob003;63;0.735
trainGa03;bob003;64;0.194
trainGa03;bob003;65;0.288
trainGa03;bob003;66;0.400
trainGa03;bob003;67;0.654
trainGa03;bob003;68;0.204
trainGa03;bob003;69;0.151
trainGa03;bob003;70;0.159
trainGa03;bob003;71;0.543
trainGa03;bob003;72;0.246
trainGa03;bob003;73;0.174
trainGa03;bob003;74;0.492
trainGa03;bob003;75;0.201
trainGa03;bob003;76;0.286
trainGa03;bob003;77;0.485
trainGa03;bob003;78;0.208
trainGa03;bob003;79;0.468
trainGa03;bob003;80;0.138
trainGa03;bob003;81;0.119
trainGa03;bob003;82;0.122
trainGa03;bob003;83;0.249
trainGa03;bob003;84;0.224
trainGa03;bob003;85;0.157
trainGa03;bob003;86;0.038
trainGa03;bob003;87;0.179
trainGa03;bob003;88;0.367
trainGa03;bob003;89;0.358
trainGa03;bob003;90;0.277
trainGa03;bob003;91;0.403
trainGa03;bob003;92;0.241
trainGa03;bob003;93;0.147
trainGa03;bob003;94;-0.112
trainGa03;bob003;95;0.357
trainGa03;bob003;96;0.175
trainGa03;bob003;97;2.088
trainGa03;bob003;98;0.820
trainGa03;bob003;99;0.454
