trainGaId;trainGaNr;iterations;score
trainGaKicks01;bob004;1;0.163
trainGaKicks01;bob004;2;0.056
trainGaKicks01;bob004;3;0.100
trainGaKicks01;bob004;4;0.091
trainGaKicks01;bob004;5;0.091
trainGaKicks01;bob004;6;0.298
trainGaKicks01;bob004;7;0.000
trainGaKicks01;bob004;8;0.036
trainGaKicks01;bob004;9;0.056
trainGaKicks01;bob004;10;0.222
trainGaKicks01;bob004;11;0.083
trainGaKicks01;bob004;12;0.525
trainGaKicks01;bob004;13;0.200
trainGaKicks01;bob004;14;0.142
trainGaKicks01;bob004;15;0.100
trainGaKicks01;bob004;16;0.083
trainGaKicks01;bob004;17;0.079
trainGaKicks01;bob004;18;0.063
trainGaKicks01;bob004;19;0.288
trainGaKicks01;bob004;20;0.000
trainGaKicks01;bob004;21;0.045
trainGaKicks01;bob004;22;0.121
trainGaKicks01;bob004;23;0.171
trainGaKicks01;bob004;24;0.277
trainGaKicks01;bob004;25;0.239
trainGaKicks01;bob004;26;0.325
trainGaKicks01;bob004;27;0.100
trainGaKicks01;bob004;28;0.381
trainGaKicks01;bob004;29;0.134
trainGaKicks01;bob004;30;0.292
trainGaKicks01;bob004;31;0.056
trainGaKicks01;bob004;32;0.181
trainGaKicks01;bob004;33;0.000
trainGaKicks01;bob004;34;0.333
trainGaKicks01;bob004;35;0.143
trainGaKicks01;bob004;36;0.393
trainGaKicks01;bob004;37;0.296
trainGaKicks01;bob004;38;0.337
trainGaKicks01;bob004;39;0.310
trainGaKicks01;bob004;40;0.938
trainGaKicks01;bob004;41;0.443
trainGaKicks01;bob004;42;0.288
trainGaKicks01;bob004;43;1.090
trainGaKicks01;bob004;44;0.346
trainGaKicks01;bob004;45;0.336
trainGaKicks01;bob004;46;0.480
trainGaKicks01;bob004;47;0.822
trainGaKicks01;bob004;48;0.746
trainGaKicks01;bob004;49;0.579
trainGaKicks01;bob004;50;0.377
trainGaKicks01;bob004;51;0.451
trainGaKicks01;bob004;52;0.339
trainGaKicks01;bob004;53;0.229
trainGaKicks01;bob004;54;0.621
trainGaKicks01;bob004;55;0.446
trainGaKicks01;bob004;56;0.493
trainGaKicks01;bob004;57;0.239
trainGaKicks01;bob004;58;0.559
trainGaKicks01;bob004;59;0.208
trainGaKicks01;bob004;60;0.494
trainGaKicks01;bob004;61;0.364
trainGaKicks01;bob004;62;0.921
trainGaKicks01;bob004;63;0.569
trainGaKicks01;bob004;64;0.292
trainGaKicks01;bob004;65;0.134
trainGaKicks01;bob004;66;0.454
trainGaKicks01;bob004;67;0.125
trainGaKicks01;bob004;68;0.274
trainGaKicks01;bob004;69;0.246
trainGaKicks01;bob004;70;0.638
trainGaKicks01;bob004;71;0.363
trainGaKicks01;bob004;72;0.483
trainGaKicks01;bob004;73;0.590
trainGaKicks01;bob004;74;0.289
trainGaKicks01;bob004;75;0.465
trainGaKicks01;bob004;76;0.423
trainGaKicks01;bob004;77;0.590
trainGaKicks01;bob004;78;0.426
trainGaKicks01;bob004;79;0.358
trainGaKicks01;bob004;80;0.396
trainGaKicks01;bob004;81;0.625
trainGaKicks01;bob004;82;0.535
trainGaKicks01;bob004;83;0.313
trainGaKicks01;bob004;84;0.343
trainGaKicks01;bob004;85;0.175
trainGaKicks01;bob004;86;0.387
trainGaKicks01;bob004;87;0.578
trainGaKicks01;bob004;88;0.479
trainGaKicks01;bob004;89;0.551
trainGaKicks01;bob004;90;0.795
trainGaKicks01;bob004;91;0.271
trainGaKicks01;bob004;92;0.383
