trainGaId;trainGaNr;iterations;score
trainGa01_mM;w002;1;0.045
trainGa01_mM;w002;2;0.304
trainGa01_mM;w002;3;0.045
trainGa01_mM;w002;4;0.100
trainGa01_mM;w002;5;-0.463
trainGa01_mM;w002;6;0.193
trainGa01_mM;w002;7;1.271
trainGa01_mM;w002;8;0.500
trainGa01_mM;w002;9;0.100
trainGa01_mM;w002;10;0.192
trainGa01_mM;w002;11;0.050
trainGa01_mM;w002;12;0.050
trainGa01_mM;w002;13;0.134
trainGa01_mM;w002;14;0.196
trainGa01_mM;w002;15;0.250
trainGa01_mM;w002;16;0.498
trainGa01_mM;w002;17;0.582
trainGa01_mM;w002;18;0.164
trainGa01_mM;w002;19;-1.125
trainGa01_mM;w002;20;0.250
trainGa01_mM;w002;21;0.301
trainGa01_mM;w002;22;0.217
trainGa01_mM;w002;23;0.901
trainGa01_mM;w002;24;0.517
trainGa01_mM;w002;25;0.029
trainGa01_mM;w002;26;0.050
trainGa01_mM;w002;27;0.208
trainGa01_mM;w002;28;0.000
trainGa01_mM;w002;29;0.269
trainGa01_mM;w002;30;0.125
trainGa01_mM;w002;31;0.000
trainGa01_mM;w002;32;-0.285
trainGa01_mM;w002;33;0.375
trainGa01_mM;w002;34;0.208
trainGa01_mM;w002;35;0.181
trainGa01_mM;w002;36;0.821
trainGa01_mM;w002;37;-0.547
trainGa01_mM;w002;38;0.000
trainGa01_mM;w002;39;0.750
trainGa01_mM;w002;40;0.045
trainGa01_mM;w002;41;0.229
trainGa01_mM;w002;42;0.371
trainGa01_mM;w002;43;0.083
trainGa01_mM;w002;44;0.063
trainGa01_mM;w002;45;0.363
trainGa01_mM;w002;46;0.214
trainGa01_mM;w002;47;0.140
trainGa01_mM;w002;48;3.511
trainGa01_mM;w002;49;0.614
trainGa01_mM;w002;50;0.289
trainGa01_mM;w002;51;0.339
trainGa01_mM;w002;52;2.288
trainGa01_mM;w002;53;0.321
trainGa01_mM;w002;54;0.508
trainGa01_mM;w002;55;0.462
trainGa01_mM;w002;56;0.364
trainGa01_mM;w002;57;0.475
trainGa01_mM;w002;58;0.821
trainGa01_mM;w002;59;0.365
trainGa01_mM;w002;60;0.667
trainGa01_mM;w002;61;0.854
trainGa01_mM;w002;62;-1.436
trainGa01_mM;w002;63;1.086
trainGa01_mM;w002;64;0.522
trainGa01_mM;w002;65;2.728
trainGa01_mM;w002;66;-0.361
trainGa01_mM;w002;67;0.473
trainGa01_mM;w002;68;-0.283
trainGa01_mM;w002;69;1.430
trainGa01_mM;w002;70;0.629
trainGa01_mM;w002;71;1.178
trainGa01_mM;w002;72;0.432
trainGa01_mM;w002;73;1.234
trainGa01_mM;w002;74;1.086
trainGa01_mM;w002;75;1.545
trainGa01_mM;w002;76;-0.036
trainGa01_mM;w002;77;2.973
trainGa01_mM;w002;78;1.041
trainGa01_mM;w002;79;3.741
trainGa01_mM;w002;80;0.452
trainGa01_mM;w002;81;3.445
trainGa01_mM;w002;82;0.120
trainGa01_mM;w002;83;1.172
trainGa01_mM;w002;84;0.555
trainGa01_mM;w002;85;-0.263
trainGa01_mM;w002;86;1.462
trainGa01_mM;w002;87;0.462
trainGa01_mM;w002;88;1.107
trainGa01_mM;w002;89;3.107
trainGa01_mM;w002;90;-0.350
trainGa01_mM;w002;91;0.666
trainGa01_mM;w002;92;1.651
trainGa01_mM;w002;93;1.637
trainGa01_mM;w002;94;1.030
trainGa01_mM;w002;95;0.033
trainGa01_mM;w002;96;1.257
trainGa01_mM;w002;97;0.591
trainGa01_mM;w002;98;1.889
trainGa01_mM;w002;99;0.370
trainGa01_mM;w002;100;3.329
trainGa01_mM;w002;101;0.238
trainGa01_mM;w002;102;0.879
trainGa01_mM;w002;103;-0.189
trainGa01_mM;w002;104;0.495
trainGa01_mM;w002;105;0.463
trainGa01_mM;w002;106;0.170
trainGa01_mM;w002;107;0.618
trainGa01_mM;w002;108;0.939
trainGa01_mM;w002;109;0.347
trainGa01_mM;w002;110;0.708
trainGa01_mM;w002;111;1.053
trainGa01_mM;w002;112;2.805
trainGa01_mM;w002;113;0.971
trainGa01_mM;w002;114;2.071
trainGa01_mM;w002;115;0.957
trainGa01_mM;w002;116;1.813
trainGa01_mM;w002;117;3.643
trainGa01_mM;w002;118;0.927
trainGa01_mM;w002;119;1.004
trainGa01_mM;w002;120;2.271
trainGa01_mM;w002;121;0.405
trainGa01_mM;w002;122;1.497
trainGa01_mM;w002;123;2.443
trainGa01_mM;w002;124;1.742
trainGa01_mM;w002;125;2.539
trainGa01_mM;w002;126;1.054
trainGa01_mM;w002;127;3.538
trainGa01_mM;w002;128;2.671
trainGa01_mM;w002;129;2.329
trainGa01_mM;w002;130;3.923
trainGa01_mM;w002;131;2.975
trainGa01_mM;w002;132;2.205
trainGa01_mM;w002;133;1.210
trainGa01_mM;w002;134;0.290
trainGa01_mM;w002;135;1.983
trainGa01_mM;w002;136;3.062
trainGa01_mM;w002;137;3.499
trainGa01_mM;w002;138;2.445
trainGa01_mM;w002;139;5.101
trainGa01_mM;w002;140;3.899
trainGa01_mM;w002;141;4.199
trainGa01_mM;w002;142;1.062
trainGa01_mM;w002;143;5.246
trainGa01_mM;w002;144;0.463
trainGa01_mM;w002;145;4.306
trainGa01_mM;w002;146;1.784
trainGa01_mM;w002;147;2.966
trainGa01_mM;w002;148;3.563
trainGa01_mM;w002;149;3.544
trainGa01_mM;w002;150;1.426
trainGa01_mM;w002;151;2.464
trainGa01_mM;w002;152;2.876
trainGa01_mM;w002;153;2.989
trainGa01_mM;w002;154;3.082
trainGa01_mM;w002;155;1.458
trainGa01_mM;w002;156;4.142
trainGa01_mM;w002;157;3.969
trainGa01_mM;w002;158;5.038
trainGa01_mM;w002;159;3.362
trainGa01_mM;w002;160;3.971
trainGa01_mM;w002;161;4.362
trainGa01_mM;w002;162;3.536
trainGa01_mM;w002;163;6.212
trainGa01_mM;w002;164;4.007
trainGa01_mM;w002;165;2.364
trainGa01_mM;w002;166;5.855
trainGa01_mM;w002;167;4.250
trainGa01_mM;w002;168;4.945
trainGa01_mM;w002;169;5.723
trainGa01_mM;w002;170;4.100
trainGa01_mM;w002;171;5.234
trainGa01_mM;w002;172;5.273
trainGa01_mM;w002;173;6.008
trainGa01_mM;w002;174;5.939
trainGa01_mM;w002;175;1.730
trainGa01_mM;w002;176;3.966
trainGa01_mM;w002;177;4.095
trainGa01_mM;w002;178;4.907
trainGa01_mM;w002;179;6.317
trainGa01_mM;w002;180;6.795
trainGa01_mM;w002;181;5.692
trainGa01_mM;w002;182;6.589
trainGa01_mM;w002;183;7.275
trainGa01_mM;w002;184;5.974
trainGa01_mM;w002;185;8.676
trainGa01_mM;w002;186;7.326
trainGa01_mM;w002;187;4.464
trainGa01_mM;w002;188;7.587
trainGa01_mM;w002;189;6.195
trainGa01_mM;w002;190;5.539
trainGa01_mM;w002;191;6.852
trainGa01_mM;w002;192;13.055
trainGa01_mM;w002;193;9.191
trainGa01_mM;w002;194;9.599
trainGa01_mM;w002;195;9.804
trainGa01_mM;w002;196;6.955
trainGa01_mM;w002;197;9.588
trainGa01_mM;w002;198;3.714
trainGa01_mM;w002;199;5.092
trainGa01_mM;w002;200;3.722
trainGa01_mM;w002;201;6.984
trainGa01_mM;w002;202;2.265
trainGa01_mM;w002;203;3.172
trainGa01_mM;w002;204;7.442
trainGa01_mM;w002;205;4.265
trainGa01_mM;w002;206;6.500
trainGa01_mM;w002;207;4.855
trainGa01_mM;w002;208;8.196
trainGa01_mM;w002;209;6.788
trainGa01_mM;w002;210;7.047
trainGa01_mM;w002;211;8.674
trainGa01_mM;w002;212;6.800
trainGa01_mM;w002;213;5.971
trainGa01_mM;w002;214;4.276
trainGa01_mM;w002;215;6.455
trainGa01_mM;w002;216;7.836
trainGa01_mM;w002;217;6.011
trainGa01_mM;w002;218;7.253
trainGa01_mM;w002;219;8.733
trainGa01_mM;w002;220;10.674
trainGa01_mM;w002;221;7.058
trainGa01_mM;w002;222;12.689
trainGa01_mM;w002;223;6.542
trainGa01_mM;w002;224;7.976
trainGa01_mM;w002;225;12.452
trainGa01_mM;w002;226;8.529
trainGa01_mM;w002;227;12.574
trainGa01_mM;w002;228;9.077
