trainGaId;trainGaNr;iterations;score
trainGa04K0;w002;1;2.023
trainGa04K0;w002;2;3.213
trainGa04K0;w002;3;5.117
trainGa04K0;w002;4;4.543
trainGa04K0;w002;5;5.991
trainGa04K0;w002;6;6.578
trainGa04K0;w002;7;8.398
trainGa04K0;w002;8;11.865
trainGa04K0;w002;9;19.040
trainGa04K0;w002;10;13.730
trainGa04K0;w002;11;17.526
trainGa04K0;w002;12;14.321
trainGa04K0;w002;13;14.081
trainGa04K0;w002;14;13.935
trainGa04K0;w002;15;17.866
trainGa04K0;w002;16;19.489
trainGa04K0;w002;17;16.704
trainGa04K0;w002;18;11.401
trainGa04K0;w002;19;13.359
trainGa04K0;w002;20;17.522
trainGa04K0;w002;21;14.412
trainGa04K0;w002;22;16.265
trainGa04K0;w002;23;15.830
trainGa04K0;w002;24;14.048
trainGa04K0;w002;25;16.554
trainGa04K0;w002;26;15.497
trainGa04K0;w002;27;10.976
trainGa04K0;w002;28;16.652
trainGa04K0;w002;29;13.072
trainGa04K0;w002;30;17.363
trainGa04K0;w002;31;15.200
trainGa04K0;w002;32;13.853
trainGa04K0;w002;33;13.572
trainGa04K0;w002;34;15.545
trainGa04K0;w002;35;9.120
trainGa04K0;w002;36;12.509
trainGa04K0;w002;37;13.631
trainGa04K0;w002;38;13.323
trainGa04K0;w002;39;13.850
trainGa04K0;w002;40;13.044
trainGa04K0;w002;41;9.273
trainGa04K0;w002;42;14.831
trainGa04K0;w002;43;14.099
trainGa04K0;w002;44;13.935
trainGa04K0;w002;45;14.809
trainGa04K0;w002;46;14.590
trainGa04K0;w002;47;14.031
trainGa04K0;w002;48;14.753
trainGa04K0;w002;49;19.065
trainGa04K0;w002;50;13.438
trainGa04K0;w002;51;12.848
trainGa04K0;w002;52;14.211
trainGa04K0;w002;53;12.588
trainGa04K0;w002;54;18.063
trainGa04K0;w002;55;12.449
trainGa04K0;w002;56;15.274
trainGa04K0;w002;57;13.545
trainGa04K0;w002;58;17.506
trainGa04K0;w002;59;12.561
trainGa04K0;w002;60;13.744
trainGa04K0;w002;61;13.607
trainGa04K0;w002;62;13.855
trainGa04K0;w002;63;10.734
trainGa04K0;w002;64;15.311
trainGa04K0;w002;65;14.595
trainGa04K0;w002;66;16.495
trainGa04K0;w002;67;18.846
trainGa04K0;w002;68;14.247
trainGa04K0;w002;69;14.123
trainGa04K0;w002;70;14.968
trainGa04K0;w002;71;16.012
trainGa04K0;w002;72;15.795
trainGa04K0;w002;73;17.975
trainGa04K0;w002;74;13.810
trainGa04K0;w002;75;15.835
trainGa04K0;w002;76;17.303
trainGa04K0;w002;77;16.458
trainGa04K0;w002;78;17.549
trainGa04K0;w002;79;19.044
trainGa04K0;w002;80;19.188
trainGa04K0;w002;81;20.722
trainGa04K0;w002;82;23.481
trainGa04K0;w002;83;20.416
trainGa04K0;w002;84;19.548
trainGa04K0;w002;85;21.382
trainGa04K0;w002;86;22.679
trainGa04K0;w002;87;17.990
trainGa04K0;w002;88;19.707
trainGa04K0;w002;89;15.392
trainGa04K0;w002;90;20.883
trainGa04K0;w002;91;16.227
trainGa04K0;w002;92;17.956
trainGa04K0;w002;93;19.803
trainGa04K0;w002;94;23.082
trainGa04K0;w002;95;21.544
trainGa04K0;w002;96;27.042
trainGa04K0;w002;97;21.525
trainGa04K0;w002;98;17.850
trainGa04K0;w002;99;21.889
trainGa04K0;w002;100;17.942
trainGa04K0;w002;101;25.621
trainGa04K0;w002;102;19.359
trainGa04K0;w002;103;23.375
trainGa04K0;w002;104;23.912
trainGa04K0;w002;105;21.241
trainGa04K0;w002;106;27.626
trainGa04K0;w002;107;31.312
trainGa04K0;w002;108;29.082
trainGa04K0;w002;109;23.881
trainGa04K0;w002;110;26.277
trainGa04K0;w002;111;26.479
trainGa04K0;w002;112;23.647
trainGa04K0;w002;113;26.027
trainGa04K0;w002;114;26.764
trainGa04K0;w002;115;22.459
trainGa04K0;w002;116;22.408
trainGa04K0;w002;117;24.128
trainGa04K0;w002;118;26.012
trainGa04K0;w002;119;28.713
trainGa04K0;w002;120;21.220
trainGa04K0;w002;121;29.847
trainGa04K0;w002;122;27.637
trainGa04K0;w002;123;24.935
trainGa04K0;w002;124;24.885
trainGa04K0;w002;125;30.001
trainGa04K0;w002;126;33.439
trainGa04K0;w002;127;30.346
trainGa04K0;w002;128;33.003
trainGa04K0;w002;129;31.821
trainGa04K0;w002;130;30.831
trainGa04K0;w002;131;32.741
trainGa04K0;w002;132;37.143
trainGa04K0;w002;133;30.166
trainGa04K0;w002;134;34.744
trainGa04K0;w002;135;33.321
