trainGaId;trainGaNr;iterations;score
trainGa01;w007;1;0.200
trainGa01;w007;2;0.217
trainGa01;w007;3;1.110
trainGa01;w007;4;0.251
trainGa01;w007;5;0.231
trainGa01;w007;6;0.050
trainGa01;w007;7;-0.286
trainGa01;w007;8;0.355
trainGa01;w007;9;-0.760
trainGa01;w007;10;1.124
trainGa01;w007;11;0.123
trainGa01;w007;12;1.312
trainGa01;w007;13;0.057
trainGa01;w007;14;0.469
trainGa01;w007;15;0.345
trainGa01;w007;16;0.487
trainGa01;w007;17;1.855
trainGa01;w007;18;-0.305
trainGa01;w007;19;0.301
trainGa01;w007;20;0.306
trainGa01;w007;21;1.103
trainGa01;w007;22;2.944
trainGa01;w007;23;2.148
trainGa01;w007;24;0.351
trainGa01;w007;25;1.924
trainGa01;w007;26;2.207
trainGa01;w007;27;4.061
trainGa01;w007;28;1.413
trainGa01;w007;29;1.734
trainGa01;w007;30;2.068
trainGa01;w007;31;2.307
trainGa01;w007;32;1.360
trainGa01;w007;33;2.154
trainGa01;w007;34;4.341
trainGa01;w007;35;1.986
trainGa01;w007;36;3.496
trainGa01;w007;37;2.866
trainGa01;w007;38;4.089
trainGa01;w007;39;7.631
trainGa01;w007;40;4.153
trainGa01;w007;41;3.531
trainGa01;w007;42;5.739
trainGa01;w007;43;3.213
trainGa01;w007;44;5.816
trainGa01;w007;45;4.242
trainGa01;w007;46;4.368
trainGa01;w007;47;4.883
trainGa01;w007;48;2.575
trainGa01;w007;49;4.952
trainGa01;w007;50;1.801
trainGa01;w007;51;3.134
trainGa01;w007;52;3.065
trainGa01;w007;53;5.082
trainGa01;w007;54;4.926
trainGa01;w007;55;3.229
trainGa01;w007;56;6.108
trainGa01;w007;57;2.025
trainGa01;w007;58;2.946
trainGa01;w007;59;1.735
trainGa01;w007;60;2.898
trainGa01;w007;61;4.160
trainGa01;w007;62;5.757
trainGa01;w007;63;6.338
trainGa01;w007;64;2.316
trainGa01;w007;65;1.051
trainGa01;w007;66;5.069
trainGa01;w007;67;2.741
trainGa01;w007;68;4.754
trainGa01;w007;69;1.387
trainGa01;w007;70;0.807
trainGa01;w007;71;4.729
trainGa01;w007;72;2.480
trainGa01;w007;73;5.624
trainGa01;w007;74;6.163
trainGa01;w007;75;5.514
trainGa01;w007;76;4.407
trainGa01;w007;77;2.632
trainGa01;w007;78;2.658
trainGa01;w007;79;3.073
trainGa01;w007;80;4.286
trainGa01;w007;81;2.958
trainGa01;w007;82;4.761
trainGa01;w007;83;4.523
trainGa01;w007;84;3.861
trainGa01;w007;85;1.979
trainGa01;w007;86;3.424
trainGa01;w007;87;3.673
trainGa01;w007;88;3.062
trainGa01;w007;89;2.317
trainGa01;w007;90;3.919
trainGa01;w007;91;3.813
trainGa01;w007;92;4.920
trainGa01;w007;93;2.779
trainGa01;w007;94;2.509
trainGa01;w007;95;5.022
trainGa01;w007;96;1.739
trainGa01;w007;97;3.686
trainGa01;w007;98;6.740
trainGa01;w007;99;6.095
trainGa01;w007;100;5.182
trainGa01;w007;101;1.794
trainGa01;w007;102;6.712
trainGa01;w007;103;4.569
trainGa01;w007;104;3.287
trainGa01;w007;105;2.776
trainGa01;w007;106;4.970
trainGa01;w007;107;5.016
trainGa01;w007;108;6.342
trainGa01;w007;109;4.255
trainGa01;w007;110;1.527
trainGa01;w007;111;3.973
trainGa01;w007;112;3.693
trainGa01;w007;113;1.364
trainGa01;w007;114;4.019
trainGa01;w007;115;4.340
trainGa01;w007;116;7.552
trainGa01;w007;117;5.504
trainGa01;w007;118;3.153
trainGa01;w007;119;6.314
trainGa01;w007;120;6.842
trainGa01;w007;121;6.883
trainGa01;w007;122;5.758
trainGa01;w007;123;4.426
trainGa01;w007;124;4.441
trainGa01;w007;125;5.344
trainGa01;w007;126;5.717
trainGa01;w007;127;6.001
trainGa01;w007;128;6.233
trainGa01;w007;129;8.073
trainGa01;w007;130;7.157
trainGa01;w007;131;5.701
trainGa01;w007;132;10.990
trainGa01;w007;133;8.462
trainGa01;w007;134;5.726
trainGa01;w007;135;10.826
trainGa01;w007;136;3.160
trainGa01;w007;137;7.155
trainGa01;w007;138;8.032
trainGa01;w007;139;9.576
trainGa01;w007;140;7.975
