trainGaId;trainGaNr;iterations;score
trainGa01_mL;bob002;1;0.181
trainGa01_mL;bob002;2;0.205
trainGa01_mL;bob002;3;-0.494
trainGa01_mL;bob002;4;0.397
trainGa01_mL;bob002;5;0.596
trainGa01_mL;bob002;6;0.167
trainGa01_mL;bob002;7;0.318
trainGa01_mL;bob002;8;0.343
trainGa01_mL;bob002;9;0.395
trainGa01_mL;bob002;10;0.306
trainGa01_mL;bob002;11;0.050
trainGa01_mL;bob002;12;0.163
trainGa01_mL;bob002;13;0.314
trainGa01_mL;bob002;14;0.071
trainGa01_mL;bob002;15;0.100
trainGa01_mL;bob002;16;0.278
trainGa01_mL;bob002;17;0.063
trainGa01_mL;bob002;18;0.134
trainGa01_mL;bob002;19;0.194
trainGa01_mL;bob002;20;-0.389
trainGa01_mL;bob002;21;0.418
trainGa01_mL;bob002;22;0.294
trainGa01_mL;bob002;23;0.128
trainGa01_mL;bob002;24;0.125
trainGa01_mL;bob002;25;0.063
trainGa01_mL;bob002;26;0.305
trainGa01_mL;bob002;27;3.161
trainGa01_mL;bob002;28;0.337
trainGa01_mL;bob002;29;0.589
trainGa01_mL;bob002;30;0.289
trainGa01_mL;bob002;31;0.321
trainGa01_mL;bob002;32;0.140
trainGa01_mL;bob002;33;0.443
trainGa01_mL;bob002;34;0.941
trainGa01_mL;bob002;35;0.310
trainGa01_mL;bob002;36;0.480
trainGa01_mL;bob002;37;0.250
trainGa01_mL;bob002;38;0.572
trainGa01_mL;bob002;39;0.518
trainGa01_mL;bob002;40;0.508
trainGa01_mL;bob002;41;0.432
trainGa01_mL;bob002;42;0.167
trainGa01_mL;bob002;43;0.238
trainGa01_mL;bob002;44;0.428
trainGa01_mL;bob002;45;-0.324
trainGa01_mL;bob002;46;0.573
trainGa01_mL;bob002;47;0.426
trainGa01_mL;bob002;48;-0.278
trainGa01_mL;bob002;49;0.748
trainGa01_mL;bob002;50;0.636
trainGa01_mL;bob002;51;0.489
trainGa01_mL;bob002;52;-0.678
trainGa01_mL;bob002;53;1.188
trainGa01_mL;bob002;54;0.922
trainGa01_mL;bob002;55;0.071
trainGa01_mL;bob002;56;0.250
trainGa01_mL;bob002;57;0.530
trainGa01_mL;bob002;58;0.335
trainGa01_mL;bob002;59;1.489
trainGa01_mL;bob002;60;2.595
trainGa01_mL;bob002;61;0.426
trainGa01_mL;bob002;62;0.446
trainGa01_mL;bob002;63;0.031
trainGa01_mL;bob002;64;1.396
trainGa01_mL;bob002;65;1.945
trainGa01_mL;bob002;66;-0.382
trainGa01_mL;bob002;67;1.003
trainGa01_mL;bob002;68;0.767
trainGa01_mL;bob002;69;2.721
trainGa01_mL;bob002;70;0.950
trainGa01_mL;bob002;71;1.490
trainGa01_mL;bob002;72;0.182
trainGa01_mL;bob002;73;-0.275
trainGa01_mL;bob002;74;0.578
trainGa01_mL;bob002;75;0.756
trainGa01_mL;bob002;76;1.677
trainGa01_mL;bob002;77;0.958
trainGa01_mL;bob002;78;1.104
trainGa01_mL;bob002;79;0.751
trainGa01_mL;bob002;80;2.493
trainGa01_mL;bob002;81;1.834
trainGa01_mL;bob002;82;0.904
trainGa01_mL;bob002;83;1.758
trainGa01_mL;bob002;84;1.613
trainGa01_mL;bob002;85;0.200
trainGa01_mL;bob002;86;0.674
trainGa01_mL;bob002;87;1.379
trainGa01_mL;bob002;88;2.526
trainGa01_mL;bob002;89;-0.439
trainGa01_mL;bob002;90;0.916
trainGa01_mL;bob002;91;1.105
trainGa01_mL;bob002;92;0.591
trainGa01_mL;bob002;93;0.726
trainGa01_mL;bob002;94;0.958
trainGa01_mL;bob002;95;1.035
trainGa01_mL;bob002;96;1.563
trainGa01_mL;bob002;97;0.682
trainGa01_mL;bob002;98;0.568
trainGa01_mL;bob002;99;0.439
trainGa01_mL;bob002;100;0.342
trainGa01_mL;bob002;101;-0.446
trainGa01_mL;bob002;102;0.298
trainGa01_mL;bob002;103;0.232
trainGa01_mL;bob002;104;2.155
trainGa01_mL;bob002;105;-0.666
trainGa01_mL;bob002;106;0.476
trainGa01_mL;bob002;107;0.821
trainGa01_mL;bob002;108;3.082
trainGa01_mL;bob002;109;0.823
trainGa01_mL;bob002;110;2.574
trainGa01_mL;bob002;111;2.069
trainGa01_mL;bob002;112;2.393
trainGa01_mL;bob002;113;2.261
trainGa01_mL;bob002;114;4.704
trainGa01_mL;bob002;115;1.566
trainGa01_mL;bob002;116;1.827
trainGa01_mL;bob002;117;2.335
trainGa01_mL;bob002;118;2.622
trainGa01_mL;bob002;119;4.763
trainGa01_mL;bob002;120;2.220
trainGa01_mL;bob002;121;1.184
trainGa01_mL;bob002;122;4.687
trainGa01_mL;bob002;123;3.574
trainGa01_mL;bob002;124;4.013
trainGa01_mL;bob002;125;7.337
trainGa01_mL;bob002;126;4.343
trainGa01_mL;bob002;127;7.249
trainGa01_mL;bob002;128;3.760
trainGa01_mL;bob002;129;10.264
trainGa01_mL;bob002;130;3.174
trainGa01_mL;bob002;131;5.098
trainGa01_mL;bob002;132;4.576
trainGa01_mL;bob002;133;-1.921
trainGa01_mL;bob002;134;5.079
trainGa01_mL;bob002;135;5.747
trainGa01_mL;bob002;136;2.382
trainGa01_mL;bob002;137;4.245
trainGa01_mL;bob002;138;7.360
trainGa01_mL;bob002;139;2.903
trainGa01_mL;bob002;140;0.479
trainGa01_mL;bob002;141;3.215
trainGa01_mL;bob002;142;0.909
trainGa01_mL;bob002;143;1.777
trainGa01_mL;bob002;144;3.524
trainGa01_mL;bob002;145;2.137
trainGa01_mL;bob002;146;0.741
trainGa01_mL;bob002;147;3.700
trainGa01_mL;bob002;148;4.342
trainGa01_mL;bob002;149;3.904
trainGa01_mL;bob002;150;1.588
trainGa01_mL;bob002;151;6.370
trainGa01_mL;bob002;152;2.371
trainGa01_mL;bob002;153;3.574
trainGa01_mL;bob002;154;4.614
trainGa01_mL;bob002;155;2.330
trainGa01_mL;bob002;156;-0.976
trainGa01_mL;bob002;157;3.950
trainGa01_mL;bob002;158;5.701
trainGa01_mL;bob002;159;10.639
trainGa01_mL;bob002;160;6.501
trainGa01_mL;bob002;161;6.029
trainGa01_mL;bob002;162;6.702
trainGa01_mL;bob002;163;5.868
trainGa01_mL;bob002;164;6.415
trainGa01_mL;bob002;165;6.567
trainGa01_mL;bob002;166;5.098
trainGa01_mL;bob002;167;2.642
trainGa01_mL;bob002;168;1.756
trainGa01_mL;bob002;169;4.636
trainGa01_mL;bob002;170;2.200
trainGa01_mL;bob002;171;3.505
trainGa01_mL;bob002;172;3.130
trainGa01_mL;bob002;173;4.685
trainGa01_mL;bob002;174;0.921
trainGa01_mL;bob002;175;5.145
trainGa01_mL;bob002;176;2.858
trainGa01_mL;bob002;177;6.412
trainGa01_mL;bob002;178;7.852
trainGa01_mL;bob002;179;4.735
trainGa01_mL;bob002;180;3.799
trainGa01_mL;bob002;181;7.773
trainGa01_mL;bob002;182;9.814
trainGa01_mL;bob002;183;1.479
trainGa01_mL;bob002;184;3.771
trainGa01_mL;bob002;185;5.284
trainGa01_mL;bob002;186;2.142
trainGa01_mL;bob002;187;2.998
trainGa01_mL;bob002;188;2.668
trainGa01_mL;bob002;189;2.278
trainGa01_mL;bob002;190;1.617
trainGa01_mL;bob002;191;1.000
trainGa01_mL;bob002;192;3.750
trainGa01_mL;bob002;193;2.347
trainGa01_mL;bob002;194;0.397
trainGa01_mL;bob002;195;1.173
trainGa01_mL;bob002;196;2.014
trainGa01_mL;bob002;197;2.981
trainGa01_mL;bob002;198;1.971
trainGa01_mL;bob002;199;1.843
trainGa01_mL;bob002;200;5.572
trainGa01_mL;bob002;201;1.110
trainGa01_mL;bob002;202;0.153
trainGa01_mL;bob002;203;2.364
trainGa01_mL;bob002;204;1.700
trainGa01_mL;bob002;205;1.394
trainGa01_mL;bob002;206;1.815
trainGa01_mL;bob002;207;1.269
trainGa01_mL;bob002;208;2.384
trainGa01_mL;bob002;209;2.533
trainGa01_mL;bob002;210;2.461
trainGa01_mL;bob002;211;1.729
trainGa01_mL;bob002;212;0.731
trainGa01_mL;bob002;213;2.895
trainGa01_mL;bob002;214;2.707
trainGa01_mL;bob002;215;4.005
trainGa01_mL;bob002;216;1.480
trainGa01_mL;bob002;217;2.244
trainGa01_mL;bob002;218;0.460
trainGa01_mL;bob002;219;2.424
trainGa01_mL;bob002;220;0.728
trainGa01_mL;bob002;221;2.138
trainGa01_mL;bob002;222;4.688
trainGa01_mL;bob002;223;3.311
trainGa01_mL;bob002;224;4.306
trainGa01_mL;bob002;225;2.377
trainGa01_mL;bob002;226;2.232
trainGa01_mL;bob002;227;3.761
trainGa01_mL;bob002;228;3.447
trainGa01_mL;bob002;229;1.944
trainGa01_mL;bob002;230;2.179
trainGa01_mL;bob002;231;2.359
trainGa01_mL;bob002;232;4.828
trainGa01_mL;bob002;233;4.825
trainGa01_mL;bob002;234;2.829
trainGa01_mL;bob002;235;3.645
trainGa01_mL;bob002;236;2.450
trainGa01_mL;bob002;237;3.677
trainGa01_mL;bob002;238;2.456
trainGa01_mL;bob002;239;4.552
trainGa01_mL;bob002;240;7.416
trainGa01_mL;bob002;241;5.766
trainGa01_mL;bob002;242;3.862
trainGa01_mL;bob002;243;6.948
trainGa01_mL;bob002;244;5.674
trainGa01_mL;bob002;245;5.372
trainGa01_mL;bob002;246;8.275
trainGa01_mL;bob002;247;8.337
