trainGaId;trainGaNr;iterations;score
trainGa01_mL;w002;1;0.617
trainGa01_mL;w002;2;-1.042
trainGa01_mL;w002;3;0.167
trainGa01_mL;w002;4;0.224
trainGa01_mL;w002;5;0.100
trainGa01_mL;w002;6;0.295
trainGa01_mL;w002;7;0.283
trainGa01_mL;w002;8;0.267
trainGa01_mL;w002;9;0.100
trainGa01_mL;w002;10;0.100
trainGa01_mL;w002;11;1.788
trainGa01_mL;w002;12;0.757
trainGa01_mL;w002;13;-0.479
trainGa01_mL;w002;14;0.100
trainGa01_mL;w002;15;-0.427
trainGa01_mL;w002;16;0.791
trainGa01_mL;w002;17;0.000
trainGa01_mL;w002;18;0.233
trainGa01_mL;w002;19;0.642
trainGa01_mL;w002;20;0.759
trainGa01_mL;w002;21;0.200
trainGa01_mL;w002;22;0.753
trainGa01_mL;w002;23;-1.341
trainGa01_mL;w002;24;0.260
trainGa01_mL;w002;25;0.213
trainGa01_mL;w002;26;0.283
trainGa01_mL;w002;27;0.306
trainGa01_mL;w002;28;0.354
trainGa01_mL;w002;29;0.246
trainGa01_mL;w002;30;0.296
trainGa01_mL;w002;31;0.333
trainGa01_mL;w002;32;0.134
trainGa01_mL;w002;33;0.155
trainGa01_mL;w002;34;0.542
trainGa01_mL;w002;35;0.223
trainGa01_mL;w002;36;0.292
trainGa01_mL;w002;37;1.200
trainGa01_mL;w002;38;1.322
trainGa01_mL;w002;39;0.827
trainGa01_mL;w002;40;1.076
trainGa01_mL;w002;41;1.147
trainGa01_mL;w002;42;0.579
trainGa01_mL;w002;43;0.674
trainGa01_mL;w002;44;0.169
trainGa01_mL;w002;45;1.657
trainGa01_mL;w002;46;3.451
trainGa01_mL;w002;47;1.766
trainGa01_mL;w002;48;3.621
trainGa01_mL;w002;49;1.055
trainGa01_mL;w002;50;3.198
trainGa01_mL;w002;51;1.612
trainGa01_mL;w002;52;1.082
trainGa01_mL;w002;53;0.808
trainGa01_mL;w002;54;0.179
trainGa01_mL;w002;55;0.405
trainGa01_mL;w002;56;0.408
trainGa01_mL;w002;57;0.514
trainGa01_mL;w002;58;1.027
trainGa01_mL;w002;59;0.550
trainGa01_mL;w002;60;0.563
trainGa01_mL;w002;61;0.758
trainGa01_mL;w002;62;1.381
trainGa01_mL;w002;63;0.198
trainGa01_mL;w002;64;2.502
trainGa01_mL;w002;65;0.169
trainGa01_mL;w002;66;1.794
trainGa01_mL;w002;67;0.167
trainGa01_mL;w002;68;1.903
trainGa01_mL;w002;69;0.480
trainGa01_mL;w002;70;1.789
trainGa01_mL;w002;71;3.026
trainGa01_mL;w002;72;1.995
trainGa01_mL;w002;73;3.638
trainGa01_mL;w002;74;0.349
trainGa01_mL;w002;75;1.832
trainGa01_mL;w002;76;1.167
trainGa01_mL;w002;77;1.746
trainGa01_mL;w002;78;-0.117
trainGa01_mL;w002;79;-1.279
trainGa01_mL;w002;80;1.800
trainGa01_mL;w002;81;0.365
trainGa01_mL;w002;82;0.631
trainGa01_mL;w002;83;3.014
trainGa01_mL;w002;84;1.009
trainGa01_mL;w002;85;0.837
trainGa01_mL;w002;86;1.088
trainGa01_mL;w002;87;1.066
trainGa01_mL;w002;88;0.902
trainGa01_mL;w002;89;1.036
trainGa01_mL;w002;90;0.569
trainGa01_mL;w002;91;-0.669
trainGa01_mL;w002;92;0.457
trainGa01_mL;w002;93;0.399
trainGa01_mL;w002;94;1.364
trainGa01_mL;w002;95;0.196
trainGa01_mL;w002;96;0.782
trainGa01_mL;w002;97;0.560
trainGa01_mL;w002;98;-0.242
trainGa01_mL;w002;99;-0.279
trainGa01_mL;w002;100;0.700
trainGa01_mL;w002;101;1.603
trainGa01_mL;w002;102;-0.433
trainGa01_mL;w002;103;0.963
trainGa01_mL;w002;104;0.143
trainGa01_mL;w002;105;0.450
trainGa01_mL;w002;106;1.035
trainGa01_mL;w002;107;0.726
trainGa01_mL;w002;108;0.923
trainGa01_mL;w002;109;0.628
trainGa01_mL;w002;110;1.204
trainGa01_mL;w002;111;0.188
trainGa01_mL;w002;112;0.124
trainGa01_mL;w002;113;0.515
trainGa01_mL;w002;114;-0.061
trainGa01_mL;w002;115;-0.223
trainGa01_mL;w002;116;-0.239
trainGa01_mL;w002;117;0.132
trainGa01_mL;w002;118;-1.454
trainGa01_mL;w002;119;0.239
trainGa01_mL;w002;120;2.845
trainGa01_mL;w002;121;0.701
trainGa01_mL;w002;122;0.469
trainGa01_mL;w002;123;0.143
trainGa01_mL;w002;124;0.301
trainGa01_mL;w002;125;0.311
trainGa01_mL;w002;126;1.082
trainGa01_mL;w002;127;0.660
trainGa01_mL;w002;128;0.512
trainGa01_mL;w002;129;-0.138
trainGa01_mL;w002;130;0.635
trainGa01_mL;w002;131;1.099
trainGa01_mL;w002;132;1.446
trainGa01_mL;w002;133;3.204
trainGa01_mL;w002;134;0.716
trainGa01_mL;w002;135;0.058
trainGa01_mL;w002;136;-0.978
trainGa01_mL;w002;137;0.800
trainGa01_mL;w002;138;0.758
trainGa01_mL;w002;139;1.193
trainGa01_mL;w002;140;0.633
trainGa01_mL;w002;141;1.544
trainGa01_mL;w002;142;2.323
trainGa01_mL;w002;143;1.386
trainGa01_mL;w002;144;1.403
trainGa01_mL;w002;145;1.333
trainGa01_mL;w002;146;1.775
trainGa01_mL;w002;147;-0.979
trainGa01_mL;w002;148;1.738
trainGa01_mL;w002;149;1.151
trainGa01_mL;w002;150;-0.179
trainGa01_mL;w002;151;0.964
trainGa01_mL;w002;152;2.046
trainGa01_mL;w002;153;0.556
trainGa01_mL;w002;154;1.737
trainGa01_mL;w002;155;1.942
trainGa01_mL;w002;156;0.009
trainGa01_mL;w002;157;0.533
trainGa01_mL;w002;158;0.502
trainGa01_mL;w002;159;0.642
trainGa01_mL;w002;160;0.960
trainGa01_mL;w002;161;1.027
trainGa01_mL;w002;162;3.189
trainGa01_mL;w002;163;1.619
trainGa01_mL;w002;164;1.770
trainGa01_mL;w002;165;0.005
trainGa01_mL;w002;166;0.930
trainGa01_mL;w002;167;1.448
trainGa01_mL;w002;168;1.919
trainGa01_mL;w002;169;1.539
trainGa01_mL;w002;170;1.268
trainGa01_mL;w002;171;0.858
trainGa01_mL;w002;172;3.058
trainGa01_mL;w002;173;1.860
trainGa01_mL;w002;174;2.113
trainGa01_mL;w002;175;6.418
trainGa01_mL;w002;176;3.241
trainGa01_mL;w002;177;0.604
trainGa01_mL;w002;178;4.297
trainGa01_mL;w002;179;2.010
trainGa01_mL;w002;180;0.689
trainGa01_mL;w002;181;5.242
trainGa01_mL;w002;182;3.832
trainGa01_mL;w002;183;4.123
trainGa01_mL;w002;184;3.282
