trainGaId;trainGaNr;iterations;score
trainGa01_mM;bob001;1;0.045
trainGa01_mM;bob001;2;0.000
trainGa01_mM;bob001;3;1.493
trainGa01_mM;bob001;4;0.200
trainGa01_mM;bob001;5;0.174
trainGa01_mM;bob001;6;0.329
trainGa01_mM;bob001;7;0.168
trainGa01_mM;bob001;8;0.375
trainGa01_mM;bob001;9;0.063
trainGa01_mM;bob001;10;0.535
trainGa01_mM;bob001;11;1.067
trainGa01_mM;bob001;12;-0.337
trainGa01_mM;bob001;13;0.234
trainGa01_mM;bob001;14;0.000
trainGa01_mM;bob001;15;0.313
trainGa01_mM;bob001;16;0.717
trainGa01_mM;bob001;17;0.200
trainGa01_mM;bob001;18;0.222
trainGa01_mM;bob001;19;0.443
trainGa01_mM;bob001;20;0.558
trainGa01_mM;bob001;21;1.171
trainGa01_mM;bob001;22;0.000
trainGa01_mM;bob001;23;0.250
trainGa01_mM;bob001;24;0.167
trainGa01_mM;bob001;25;0.000
trainGa01_mM;bob001;26;0.056
trainGa01_mM;bob001;27;0.350
trainGa01_mM;bob001;28;0.179
trainGa01_mM;bob001;29;0.100
trainGa01_mM;bob001;30;0.063
trainGa01_mM;bob001;31;0.193
trainGa01_mM;bob001;32;0.083
trainGa01_mM;bob001;33;0.252
trainGa01_mM;bob001;34;0.263
trainGa01_mM;bob001;35;0.100
trainGa01_mM;bob001;36;0.538
trainGa01_mM;bob001;37;0.083
trainGa01_mM;bob001;38;0.433
trainGa01_mM;bob001;39;0.125
trainGa01_mM;bob001;40;0.338
trainGa01_mM;bob001;41;1.429
trainGa01_mM;bob001;42;1.225
trainGa01_mM;bob001;43;0.171
trainGa01_mM;bob001;44;0.063
trainGa01_mM;bob001;45;0.200
trainGa01_mM;bob001;46;0.263
trainGa01_mM;bob001;47;0.000
trainGa01_mM;bob001;48;0.083
trainGa01_mM;bob001;49;0.571
trainGa01_mM;bob001;50;0.188
trainGa01_mM;bob001;51;0.642
trainGa01_mM;bob001;52;-0.850
trainGa01_mM;bob001;53;0.586
trainGa01_mM;bob001;54;0.814
trainGa01_mM;bob001;55;0.226
trainGa01_mM;bob001;56;0.321
trainGa01_mM;bob001;57;1.171
trainGa01_mM;bob001;58;0.262
trainGa01_mM;bob001;59;0.503
trainGa01_mM;bob001;60;0.493
trainGa01_mM;bob001;61;0.238
trainGa01_mM;bob001;62;0.651
trainGa01_mM;bob001;63;0.734
trainGa01_mM;bob001;64;0.371
trainGa01_mM;bob001;65;0.761
trainGa01_mM;bob001;66;0.929
trainGa01_mM;bob001;67;0.472
trainGa01_mM;bob001;68;0.742
trainGa01_mM;bob001;69;0.221
trainGa01_mM;bob001;70;-0.430
trainGa01_mM;bob001;71;0.410
trainGa01_mM;bob001;72;0.758
trainGa01_mM;bob001;73;0.899
trainGa01_mM;bob001;74;0.840
trainGa01_mM;bob001;75;0.167
trainGa01_mM;bob001;76;0.387
trainGa01_mM;bob001;77;0.530
trainGa01_mM;bob001;78;0.817
trainGa01_mM;bob001;79;0.338
trainGa01_mM;bob001;80;0.446
trainGa01_mM;bob001;81;1.418
trainGa01_mM;bob001;82;0.463
trainGa01_mM;bob001;83;1.417
trainGa01_mM;bob001;84;-0.181
trainGa01_mM;bob001;85;2.747
trainGa01_mM;bob001;86;0.855
trainGa01_mM;bob001;87;1.178
trainGa01_mM;bob001;88;0.789
trainGa01_mM;bob001;89;1.257
trainGa01_mM;bob001;90;0.546
trainGa01_mM;bob001;91;1.090
trainGa01_mM;bob001;92;-0.150
trainGa01_mM;bob001;93;0.496
trainGa01_mM;bob001;94;1.064
trainGa01_mM;bob001;95;0.490
trainGa01_mM;bob001;96;0.815
trainGa01_mM;bob001;97;1.282
trainGa01_mM;bob001;98;1.058
trainGa01_mM;bob001;99;0.825
trainGa01_mM;bob001;100;1.885
trainGa01_mM;bob001;101;0.546
trainGa01_mM;bob001;102;0.819
trainGa01_mM;bob001;103;-0.771
trainGa01_mM;bob001;104;0.191
trainGa01_mM;bob001;105;2.401
trainGa01_mM;bob001;106;0.719
trainGa01_mM;bob001;107;-0.159
trainGa01_mM;bob001;108;0.636
trainGa01_mM;bob001;109;0.620
trainGa01_mM;bob001;110;0.237
trainGa01_mM;bob001;111;3.035
trainGa01_mM;bob001;112;1.461
trainGa01_mM;bob001;113;2.306
trainGa01_mM;bob001;114;0.542
trainGa01_mM;bob001;115;0.491
trainGa01_mM;bob001;116;0.347
trainGa01_mM;bob001;117;0.337
