trainGaId;trainGaNr;iterations;score
trainGa01_mS;bob001;1;0.045
trainGa01_mS;bob001;2;1.032
trainGa01_mS;bob001;3;0.255
trainGa01_mS;bob001;4;0.183
trainGa01_mS;bob001;5;0.238
trainGa01_mS;bob001;6;0.134
trainGa01_mS;bob001;7;0.083
trainGa01_mS;bob001;8;0.342
trainGa01_mS;bob001;9;0.221
trainGa01_mS;bob001;10;0.317
trainGa01_mS;bob001;11;0.143
trainGa01_mS;bob001;12;0.208
trainGa01_mS;bob001;13;0.306
trainGa01_mS;bob001;14;0.238
trainGa01_mS;bob001;15;0.243
trainGa01_mS;bob001;16;0.301
trainGa01_mS;bob001;17;0.682
trainGa01_mS;bob001;18;0.251
trainGa01_mS;bob001;19;0.246
trainGa01_mS;bob001;20;-0.041
trainGa01_mS;bob001;21;0.107
trainGa01_mS;bob001;22;0.425
trainGa01_mS;bob001;23;0.000
trainGa01_mS;bob001;24;0.301
trainGa01_mS;bob001;25;0.294
trainGa01_mS;bob001;26;0.180
trainGa01_mS;bob001;27;0.280
trainGa01_mS;bob001;28;0.167
trainGa01_mS;bob001;29;0.071
trainGa01_mS;bob001;30;0.326
trainGa01_mS;bob001;31;0.155
trainGa01_mS;bob001;32;0.200
trainGa01_mS;bob001;33;0.478
trainGa01_mS;bob001;34;0.411
trainGa01_mS;bob001;35;0.641
trainGa01_mS;bob001;36;0.256
trainGa01_mS;bob001;37;0.289
trainGa01_mS;bob001;38;-0.280
trainGa01_mS;bob001;39;0.294
trainGa01_mS;bob001;40;0.208
trainGa01_mS;bob001;41;0.080
trainGa01_mS;bob001;42;0.401
trainGa01_mS;bob001;43;0.774
trainGa01_mS;bob001;44;0.067
trainGa01_mS;bob001;45;0.167
trainGa01_mS;bob001;46;0.314
trainGa01_mS;bob001;47;0.075
trainGa01_mS;bob001;48;-0.326
trainGa01_mS;bob001;49;0.617
trainGa01_mS;bob001;50;0.201
trainGa01_mS;bob001;51;0.125
trainGa01_mS;bob001;52;0.167
trainGa01_mS;bob001;53;-0.229
trainGa01_mS;bob001;54;0.425
trainGa01_mS;bob001;55;0.830
trainGa01_mS;bob001;56;0.144
trainGa01_mS;bob001;57;0.213
trainGa01_mS;bob001;58;0.188
trainGa01_mS;bob001;59;-0.094
trainGa01_mS;bob001;60;0.391
trainGa01_mS;bob001;61;0.125
trainGa01_mS;bob001;62;0.226
trainGa01_mS;bob001;63;0.641
trainGa01_mS;bob001;64;0.614
trainGa01_mS;bob001;65;0.392
trainGa01_mS;bob001;66;0.238
trainGa01_mS;bob001;67;0.488
trainGa01_mS;bob001;68;0.275
trainGa01_mS;bob001;69;0.621
trainGa01_mS;bob001;70;0.530
trainGa01_mS;bob001;71;0.164
trainGa01_mS;bob001;72;0.314
trainGa01_mS;bob001;73;0.608
trainGa01_mS;bob001;74;-0.177
trainGa01_mS;bob001;75;0.402
trainGa01_mS;bob001;76;0.938
trainGa01_mS;bob001;77;0.255
trainGa01_mS;bob001;78;-1.563
trainGa01_mS;bob001;79;0.288
trainGa01_mS;bob001;80;1.670
trainGa01_mS;bob001;81;1.968
trainGa01_mS;bob001;82;3.165
trainGa01_mS;bob001;83;-0.142
trainGa01_mS;bob001;84;0.122
trainGa01_mS;bob001;85;0.500
trainGa01_mS;bob001;86;-0.196
trainGa01_mS;bob001;87;0.389
trainGa01_mS;bob001;88;0.327
trainGa01_mS;bob001;89;0.473
trainGa01_mS;bob001;90;0.227
trainGa01_mS;bob001;91;0.276
trainGa01_mS;bob001;92;0.581
trainGa01_mS;bob001;93;0.315
trainGa01_mS;bob001;94;0.585
trainGa01_mS;bob001;95;0.062
trainGa01_mS;bob001;96;0.133
trainGa01_mS;bob001;97;0.351
trainGa01_mS;bob001;98;0.570
trainGa01_mS;bob001;99;0.423
trainGa01_mS;bob001;100;-0.437
trainGa01_mS;bob001;101;-0.467
trainGa01_mS;bob001;102;-0.561
trainGa01_mS;bob001;103;-0.200
trainGa01_mS;bob001;104;0.232
trainGa01_mS;bob001;105;0.460
trainGa01_mS;bob001;106;0.580
trainGa01_mS;bob001;107;0.937
trainGa01_mS;bob001;108;2.854
trainGa01_mS;bob001;109;0.693
trainGa01_mS;bob001;110;0.405
trainGa01_mS;bob001;111;0.384
trainGa01_mS;bob001;112;0.479
trainGa01_mS;bob001;113;2.248
trainGa01_mS;bob001;114;0.425
trainGa01_mS;bob001;115;1.355
trainGa01_mS;bob001;116;1.004
trainGa01_mS;bob001;117;0.268
trainGa01_mS;bob001;118;0.073
trainGa01_mS;bob001;119;0.546
trainGa01_mS;bob001;120;0.630
trainGa01_mS;bob001;121;-0.644
trainGa01_mS;bob001;122;0.704
trainGa01_mS;bob001;123;0.593
trainGa01_mS;bob001;124;0.247
trainGa01_mS;bob001;125;0.384
trainGa01_mS;bob001;126;0.574
trainGa01_mS;bob001;127;0.734
trainGa01_mS;bob001;128;-0.919
trainGa01_mS;bob001;129;0.963
trainGa01_mS;bob001;130;1.148
trainGa01_mS;bob001;131;0.598
trainGa01_mS;bob001;132;0.536
trainGa01_mS;bob001;133;0.805
trainGa01_mS;bob001;134;0.198
trainGa01_mS;bob001;135;0.942
trainGa01_mS;bob001;136;0.378
trainGa01_mS;bob001;137;0.358
trainGa01_mS;bob001;138;0.380
trainGa01_mS;bob001;139;0.705
trainGa01_mS;bob001;140;-0.804
trainGa01_mS;bob001;141;0.742
trainGa01_mS;bob001;142;0.442
trainGa01_mS;bob001;143;0.644
trainGa01_mS;bob001;144;0.060
trainGa01_mS;bob001;145;0.520
trainGa01_mS;bob001;146;1.627
trainGa01_mS;bob001;147;-0.350
trainGa01_mS;bob001;148;0.978
trainGa01_mS;bob001;149;0.714
trainGa01_mS;bob001;150;3.341
trainGa01_mS;bob001;151;0.539
trainGa01_mS;bob001;152;1.060
trainGa01_mS;bob001;153;1.061
trainGa01_mS;bob001;154;0.622
trainGa01_mS;bob001;155;0.113
trainGa01_mS;bob001;156;0.721
trainGa01_mS;bob001;157;1.089
trainGa01_mS;bob001;158;0.545
trainGa01_mS;bob001;159;-0.888
trainGa01_mS;bob001;160;1.131
trainGa01_mS;bob001;161;0.491
trainGa01_mS;bob001;162;0.648
trainGa01_mS;bob001;163;1.778
trainGa01_mS;bob001;164;-0.232
trainGa01_mS;bob001;165;0.854
trainGa01_mS;bob001;166;-0.259
trainGa01_mS;bob001;167;0.009
trainGa01_mS;bob001;168;1.150
trainGa01_mS;bob001;169;0.294
trainGa01_mS;bob001;170;1.048
trainGa01_mS;bob001;171;0.667
trainGa01_mS;bob001;172;2.138
trainGa01_mS;bob001;173;0.568
trainGa01_mS;bob001;174;0.734
trainGa01_mS;bob001;175;0.529
trainGa01_mS;bob001;176;-0.116
trainGa01_mS;bob001;177;1.576
