trainGaId;trainGaNr;iterations;score
trainGa01ofM;bob003;1;1.818
trainGa01ofM;bob003;2;5.389
trainGa01ofM;bob003;3;4.799
trainGa01ofM;bob003;4;6.695
trainGa01ofM;bob003;5;8.529
trainGa01ofM;bob003;6;9.494
trainGa01ofM;bob003;7;13.638
trainGa01ofM;bob003;8;12.184
trainGa01ofM;bob003;9;10.297
trainGa01ofM;bob003;10;6.662
trainGa01ofM;bob003;11;12.101
trainGa01ofM;bob003;12;10.452
trainGa01ofM;bob003;13;11.692
trainGa01ofM;bob003;14;19.728
trainGa01ofM;bob003;15;13.596
trainGa01ofM;bob003;16;14.793
trainGa01ofM;bob003;17;14.567
trainGa01ofM;bob003;18;13.008
trainGa01ofM;bob003;19;11.228
trainGa01ofM;bob003;20;11.577
trainGa01ofM;bob003;21;13.594
trainGa01ofM;bob003;22;12.939
trainGa01ofM;bob003;23;15.944
trainGa01ofM;bob003;24;14.703
trainGa01ofM;bob003;25;9.045
trainGa01ofM;bob003;26;15.995
trainGa01ofM;bob003;27;14.882
trainGa01ofM;bob003;28;16.491
trainGa01ofM;bob003;29;12.881
trainGa01ofM;bob003;30;12.828
trainGa01ofM;bob003;31;19.319
trainGa01ofM;bob003;32;15.017
trainGa01ofM;bob003;33;15.328
trainGa01ofM;bob003;34;12.994
trainGa01ofM;bob003;35;14.868
trainGa01ofM;bob003;36;14.368
trainGa01ofM;bob003;37;11.130
trainGa01ofM;bob003;38;15.582
trainGa01ofM;bob003;39;14.524
trainGa01ofM;bob003;40;22.576
trainGa01ofM;bob003;41;17.127
trainGa01ofM;bob003;42;17.468
trainGa01ofM;bob003;43;15.668
trainGa01ofM;bob003;44;14.481
trainGa01ofM;bob003;45;16.413
trainGa01ofM;bob003;46;14.303
trainGa01ofM;bob003;47;23.967
trainGa01ofM;bob003;48;17.695
trainGa01ofM;bob003;49;17.885
trainGa01ofM;bob003;50;21.260
trainGa01ofM;bob003;51;24.321
trainGa01ofM;bob003;52;26.684
trainGa01ofM;bob003;53;28.509
trainGa01ofM;bob003;54;21.904
trainGa01ofM;bob003;55;22.514
trainGa01ofM;bob003;56;28.689
trainGa01ofM;bob003;57;20.623
trainGa01ofM;bob003;58;23.864
trainGa01ofM;bob003;59;23.395
trainGa01ofM;bob003;60;18.845
trainGa01ofM;bob003;61;21.359
trainGa01ofM;bob003;62;27.294
trainGa01ofM;bob003;63;24.513
trainGa01ofM;bob003;64;26.780
trainGa01ofM;bob003;65;23.194
trainGa01ofM;bob003;66;21.630
trainGa01ofM;bob003;67;28.634
trainGa01ofM;bob003;68;35.222
trainGa01ofM;bob003;69;24.802
trainGa01ofM;bob003;70;28.869
trainGa01ofM;bob003;71;35.662
trainGa01ofM;bob003;72;32.272
trainGa01ofM;bob003;73;25.932
trainGa01ofM;bob003;74;37.307
trainGa01ofM;bob003;75;23.699
trainGa01ofM;bob003;76;21.463
trainGa01ofM;bob003;77;24.552
trainGa01ofM;bob003;78;22.820
trainGa01ofM;bob003;79;29.152
trainGa01ofM;bob003;80;39.163
trainGa01ofM;bob003;81;29.619
trainGa01ofM;bob003;82;41.131
trainGa01ofM;bob003;83;37.489
trainGa01ofM;bob003;84;37.781
trainGa01ofM;bob003;85;29.364
trainGa01ofM;bob003;86;44.003
trainGa01ofM;bob003;87;41.773
trainGa01ofM;bob003;88;36.506
trainGa01ofM;bob003;89;40.259
trainGa01ofM;bob003;90;31.765
trainGa01ofM;bob003;91;116.144
trainGa01ofM;bob003;92;38.215
