trainGaId;trainGaNr;iterations;score
trainGa01ofM1;w002;1;1.990
trainGa01ofM1;w002;2;0.922
trainGa01ofM1;w002;3;2.365
trainGa01ofM1;w002;4;1.107
trainGa01ofM1;w002;5;1.604
trainGa01ofM1;w002;6;1.417
trainGa01ofM1;w002;7;3.654
trainGa01ofM1;w002;8;6.267
trainGa01ofM1;w002;9;1.894
trainGa01ofM1;w002;10;5.372
trainGa01ofM1;w002;11;5.298
trainGa01ofM1;w002;12;5.968
trainGa01ofM1;w002;13;10.115
trainGa01ofM1;w002;14;6.441
trainGa01ofM1;w002;15;4.989
trainGa01ofM1;w002;16;7.262
trainGa01ofM1;w002;17;5.821
trainGa01ofM1;w002;18;7.450
trainGa01ofM1;w002;19;6.083
trainGa01ofM1;w002;20;3.388
trainGa01ofM1;w002;21;5.236
trainGa01ofM1;w002;22;9.264
trainGa01ofM1;w002;23;5.816
trainGa01ofM1;w002;24;7.596
trainGa01ofM1;w002;25;4.595
trainGa01ofM1;w002;26;8.979
trainGa01ofM1;w002;27;5.939
trainGa01ofM1;w002;28;6.634
trainGa01ofM1;w002;29;10.714
trainGa01ofM1;w002;30;11.101
trainGa01ofM1;w002;31;8.743
trainGa01ofM1;w002;32;2.839
trainGa01ofM1;w002;33;6.362
trainGa01ofM1;w002;34;16.286
trainGa01ofM1;w002;35;4.888
trainGa01ofM1;w002;36;8.336
trainGa01ofM1;w002;37;8.178
trainGa01ofM1;w002;38;8.765
trainGa01ofM1;w002;39;7.766
trainGa01ofM1;w002;40;7.628
trainGa01ofM1;w002;41;8.405
trainGa01ofM1;w002;42;7.532
trainGa01ofM1;w002;43;7.824
trainGa01ofM1;w002;44;15.019
trainGa01ofM1;w002;45;12.507
trainGa01ofM1;w002;46;11.223
trainGa01ofM1;w002;47;12.290
trainGa01ofM1;w002;48;10.482
trainGa01ofM1;w002;49;13.308
trainGa01ofM1;w002;50;7.272
trainGa01ofM1;w002;51;9.354
trainGa01ofM1;w002;52;12.087
trainGa01ofM1;w002;53;12.948
trainGa01ofM1;w002;54;14.596
trainGa01ofM1;w002;55;10.789
trainGa01ofM1;w002;56;12.039
trainGa01ofM1;w002;57;11.085
trainGa01ofM1;w002;58;10.753
trainGa01ofM1;w002;59;12.402
trainGa01ofM1;w002;60;15.591
trainGa01ofM1;w002;61;11.684
trainGa01ofM1;w002;62;11.552
trainGa01ofM1;w002;63;15.592
trainGa01ofM1;w002;64;16.016
trainGa01ofM1;w002;65;13.477
trainGa01ofM1;w002;66;13.298
trainGa01ofM1;w002;67;14.540
trainGa01ofM1;w002;68;16.670
trainGa01ofM1;w002;69;16.448
trainGa01ofM1;w002;70;12.744
trainGa01ofM1;w002;71;8.513
trainGa01ofM1;w002;72;14.403
trainGa01ofM1;w002;73;7.557
trainGa01ofM1;w002;74;14.171
trainGa01ofM1;w002;75;27.458
trainGa01ofM1;w002;76;15.390
trainGa01ofM1;w002;77;16.141
trainGa01ofM1;w002;78;13.099
trainGa01ofM1;w002;79;17.286
trainGa01ofM1;w002;80;20.321
trainGa01ofM1;w002;81;11.663
trainGa01ofM1;w002;82;20.452
trainGa01ofM1;w002;83;13.907
trainGa01ofM1;w002;84;14.603
trainGa01ofM1;w002;85;22.641
trainGa01ofM1;w002;86;15.430
trainGa01ofM1;w002;87;28.938
trainGa01ofM1;w002;88;29.318
trainGa01ofM1;w002;89;22.814
trainGa01ofM1;w002;90;23.154
trainGa01ofM1;w002;91;16.803
trainGa01ofM1;w002;92;30.016
trainGa01ofM1;w002;93;16.343
trainGa01ofM1;w002;94;26.370
trainGa01ofM1;w002;95;24.474
trainGa01ofM1;w002;96;21.961
trainGa01ofM1;w002;97;23.240
trainGa01ofM1;w002;98;19.928
trainGa01ofM1;w002;99;27.006
trainGa01ofM1;w002;100;19.122
trainGa01ofM1;w002;101;21.977
trainGa01ofM1;w002;102;26.017
trainGa01ofM1;w002;103;26.537
trainGa01ofM1;w002;104;24.456
trainGa01ofM1;w002;105;27.161
trainGa01ofM1;w002;106;18.291
trainGa01ofM1;w002;107;22.773
trainGa01ofM1;w002;108;21.384
trainGa01ofM1;w002;109;22.310
trainGa01ofM1;w002;110;25.802
trainGa01ofM1;w002;111;22.053
trainGa01ofM1;w002;112;29.108
trainGa01ofM1;w002;113;28.485
trainGa01ofM1;w002;114;30.822
trainGa01ofM1;w002;115;27.283
trainGa01ofM1;w002;116;29.601
trainGa01ofM1;w002;117;34.595
trainGa01ofM1;w002;118;31.226
trainGa01ofM1;w002;119;32.811
trainGa01ofM1;w002;120;35.781
trainGa01ofM1;w002;121;31.785
trainGa01ofM1;w002;122;35.591
trainGa01ofM1;w002;123;38.672
trainGa01ofM1;w002;124;40.431
trainGa01ofM1;w002;125;39.759
trainGa01ofM1;w002;126;38.908
trainGa01ofM1;w002;127;43.058
trainGa01ofM1;w002;128;46.095
trainGa01ofM1;w002;129;42.852
trainGa01ofM1;w002;130;43.278
trainGa01ofM1;w002;131;46.267
trainGa01ofM1;w002;132;50.638
trainGa01ofM1;w002;133;58.079
trainGa01ofM1;w002;134;44.918
trainGa01ofM1;w002;135;49.890
trainGa01ofM1;w002;136;52.567
trainGa01ofM1;w002;137;64.663
trainGa01ofM1;w002;138;53.319
trainGa01ofM1;w002;139;47.399
trainGa01ofM1;w002;140;62.271
trainGa01ofM1;w002;141;65.781
trainGa01ofM1;w002;142;62.851
trainGa01ofM1;w002;143;68.514
trainGa01ofM1;w002;144;51.913
trainGa01ofM1;w002;145;79.422
trainGa01ofM1;w002;146;56.036
trainGa01ofM1;w002;147;54.061
trainGa01ofM1;w002;148;45.664
trainGa01ofM1;w002;149;58.453
trainGa01ofM1;w002;150;50.304
trainGa01ofM1;w002;151;48.430
trainGa01ofM1;w002;152;60.035
trainGa01ofM1;w002;153;65.732
trainGa01ofM1;w002;157;62.415
trainGa01ofM1;w002;158;68.977
trainGa01ofM1;w002;159;69.813
trainGa01ofM1;w002;160;70.872
trainGa01ofM1;w002;161;59.690
trainGa01ofM1;w002;162;69.160
trainGa01ofM1;w002;163;89.101
trainGa01ofM1;w002;164;82.572
trainGa01ofM1;w002;165;94.816
trainGa01ofM1;w002;166;95.239
trainGa01ofM1;w002;167;103.367
trainGa01ofM1;w002;168;97.739
trainGa01ofM1;w002;169;101.709
trainGa01ofM1;w002;170;104.938
trainGa01ofM1;w002;171;111.514
trainGa01ofM1;w002;172;84.980
trainGa01ofM1;w002;173;93.740
trainGa01ofM1;w002;174;107.586
trainGa01ofM1;w002;175;92.202
trainGa01ofM1;w002;176;92.353
trainGa01ofM1;w002;177;94.146
trainGa01ofM1;w002;178;91.784
trainGa01ofM1;w002;179;93.615
trainGa01ofM1;w002;180;113.675
trainGa01ofM1;w002;181;105.084
trainGa01ofM1;w002;182;102.528
trainGa01ofM1;w002;183;87.899
trainGa01ofM1;w002;184;92.495
trainGa01ofM1;w002;185;88.343
trainGa01ofM1;w002;186;90.683
trainGa01ofM1;w002;187;93.020
trainGa01ofM1;w002;188;93.752
trainGa01ofM1;w002;189;87.018
trainGa01ofM1;w002;190;99.415
trainGa01ofM1;w002;191;93.334
trainGa01ofM1;w002;192;98.739
trainGa01ofM1;w002;193;107.691
trainGa01ofM1;w002;194;103.014
trainGa01ofM1;w002;195;114.670
trainGa01ofM1;w002;196;122.933
trainGa01ofM1;w002;197;96.844
trainGa01ofM1;w002;198;144.901
trainGa01ofM1;w002;199;113.183
trainGa01ofM1;w002;200;110.147
trainGa01ofM1;w002;201;121.812
trainGa01ofM1;w002;202;121.952
trainGa01ofM1;w002;203;114.047
trainGa01ofM1;w002;204;120.179
trainGa01ofM1;w002;205;122.341
trainGa01ofM1;w002;206;132.526
trainGa01ofM1;w002;207;124.227
trainGa01ofM1;w002;208;121.989
trainGa01ofM1;w002;209;127.072
trainGa01ofM1;w002;210;179.868
trainGa01ofM1;w002;211;115.042
trainGa01ofM1;w002;212;124.626
trainGa01ofM1;w002;213;126.253
trainGa01ofM1;w002;214;117.603
trainGa01ofM1;w002;215;106.184
trainGa01ofM1;w002;216;174.747
trainGa01ofM1;w002;217;110.901
trainGa01ofM1;w002;218;128.873
trainGa01ofM1;w002;219;100.680
trainGa01ofM1;w002;220;137.226
trainGa01ofM1;w002;221;185.971
trainGa01ofM1;w002;222;124.369
trainGa01ofM1;w002;223;112.228
trainGa01ofM1;w002;224;118.019
trainGa01ofM1;w002;225;116.077
trainGa01ofM1;w002;226;121.824
trainGa01ofM1;w002;227;130.498
trainGa01ofM1;w002;228;111.590
trainGa01ofM1;w002;229;107.125
trainGa01ofM1;w002;230;98.913
trainGa01ofM1;w002;231;125.680
trainGa01ofM1;w002;232;113.214
trainGa01ofM1;w002;233;123.309
trainGa01ofM1;w002;234;120.376
trainGa01ofM1;w002;235;115.402
trainGa01ofM1;w002;236;130.990
trainGa01ofM1;w002;237;123.472
trainGa01ofM1;w002;238;118.286
trainGa01ofM1;w002;239;142.406
trainGa01ofM1;w002;240;141.868
trainGa01ofM1;w002;241;134.462
trainGa01ofM1;w002;242;112.582
trainGa01ofM1;w002;243;121.909
trainGa01ofM1;w002;244;109.667
trainGa01ofM1;w002;245;124.554
trainGa01ofM1;w002;246;125.106
trainGa01ofM1;w002;247;116.867
trainGa01ofM1;w002;248;120.630
trainGa01ofM1;w002;249;111.977
trainGa01ofM1;w002;250;112.767
trainGa01ofM1;w002;251;137.333
trainGa01ofM1;w002;252;115.026
trainGa01ofM1;w002;253;147.177
