trainGaId;trainGaNr;iterations;score
trainGa01ofM2;bob003;1;2.646
trainGa01ofM2;bob003;2;3.136
trainGa01ofM2;bob003;3;3.445
trainGa01ofM2;bob003;4;6.961
trainGa01ofM2;bob003;5;3.422
trainGa01ofM2;bob003;6;1.671
trainGa01ofM2;bob003;7;5.174
trainGa01ofM2;bob003;8;7.283
trainGa01ofM2;bob003;9;7.571
trainGa01ofM2;bob003;10;9.779
trainGa01ofM2;bob003;11;8.040
trainGa01ofM2;bob003;12;13.997
trainGa01ofM2;bob003;13;16.568
trainGa01ofM2;bob003;14;18.790
trainGa01ofM2;bob003;15;18.203
trainGa01ofM2;bob003;16;19.329
trainGa01ofM2;bob003;17;16.506
trainGa01ofM2;bob003;18;17.014
trainGa01ofM2;bob003;19;19.959
trainGa01ofM2;bob003;20;20.015
trainGa01ofM2;bob003;21;19.559
trainGa01ofM2;bob003;22;19.783
trainGa01ofM2;bob003;23;22.380
trainGa01ofM2;bob003;24;18.490
trainGa01ofM2;bob003;25;19.060
trainGa01ofM2;bob003;26;17.559
trainGa01ofM2;bob003;27;21.042
trainGa01ofM2;bob003;28;19.322
trainGa01ofM2;bob003;29;22.887
trainGa01ofM2;bob003;30;21.303
trainGa01ofM2;bob003;31;28.076
trainGa01ofM2;bob003;32;21.435
trainGa01ofM2;bob003;33;21.106
trainGa01ofM2;bob003;34;26.256
trainGa01ofM2;bob003;35;24.921
trainGa01ofM2;bob003;36;25.391
trainGa01ofM2;bob003;37;28.238
trainGa01ofM2;bob003;38;27.498
trainGa01ofM2;bob003;39;25.939
trainGa01ofM2;bob003;40;30.145
trainGa01ofM2;bob003;41;29.776
trainGa01ofM2;bob003;42;30.266
trainGa01ofM2;bob003;43;30.958
trainGa01ofM2;bob003;44;30.244
trainGa01ofM2;bob003;45;28.166
trainGa01ofM2;bob003;46;28.645
trainGa01ofM2;bob003;47;27.640
trainGa01ofM2;bob003;48;28.724
trainGa01ofM2;bob003;49;39.972
trainGa01ofM2;bob003;50;26.658
trainGa01ofM2;bob003;51;31.575
trainGa01ofM2;bob003;52;31.182
trainGa01ofM2;bob003;53;38.948
trainGa01ofM2;bob003;54;34.360
trainGa01ofM2;bob003;55;32.737
trainGa01ofM2;bob003;56;30.484
trainGa01ofM2;bob003;57;30.859
trainGa01ofM2;bob003;58;32.722
trainGa01ofM2;bob003;59;32.548
trainGa01ofM2;bob003;60;28.036
trainGa01ofM2;bob003;61;26.780
trainGa01ofM2;bob003;62;24.230
trainGa01ofM2;bob003;63;33.626
trainGa01ofM2;bob003;64;34.313
trainGa01ofM2;bob003;65;37.307
trainGa01ofM2;bob003;66;35.097
trainGa01ofM2;bob003;67;33.996
trainGa01ofM2;bob003;68;33.390
trainGa01ofM2;bob003;69;31.410
trainGa01ofM2;bob003;70;32.500
trainGa01ofM2;bob003;71;31.431
trainGa01ofM2;bob003;72;37.645
trainGa01ofM2;bob003;73;36.646
trainGa01ofM2;bob003;74;34.836
trainGa01ofM2;bob003;75;41.797
trainGa01ofM2;bob003;76;32.046
trainGa01ofM2;bob003;77;29.948
trainGa01ofM2;bob003;78;31.788
trainGa01ofM2;bob003;79;31.859
trainGa01ofM2;bob003;80;33.931
trainGa01ofM2;bob003;81;34.476
trainGa01ofM2;bob003;82;48.589
trainGa01ofM2;bob003;83;39.670
trainGa01ofM2;bob003;84;39.336
trainGa01ofM2;bob003;85;36.687
trainGa01ofM2;bob003;86;39.812
trainGa01ofM2;bob003;87;38.754
trainGa01ofM2;bob003;88;34.447
trainGa01ofM2;bob003;89;35.754
trainGa01ofM2;bob003;90;32.826
trainGa01ofM2;bob003;91;38.127
trainGa01ofM2;bob003;92;41.666
trainGa01ofM2;bob003;93;37.498
trainGa01ofM2;bob003;94;41.259
trainGa01ofM2;bob003;95;37.854
trainGa01ofM2;bob003;96;32.361
trainGa01ofM2;bob003;97;31.305
trainGa01ofM2;bob003;98;35.522
trainGa01ofM2;bob003;99;30.992
trainGa01ofM2;bob003;100;37.589
trainGa01ofM2;bob003;101;39.845
trainGa01ofM2;bob003;102;36.571
trainGa01ofM2;bob003;103;36.433
trainGa01ofM2;bob003;104;36.680
trainGa01ofM2;bob003;105;33.551
trainGa01ofM2;bob003;106;31.981
trainGa01ofM2;bob003;107;37.457
trainGa01ofM2;bob003;108;37.003
trainGa01ofM2;bob003;109;32.561
trainGa01ofM2;bob003;110;34.115
trainGa01ofM2;bob003;111;38.647
trainGa01ofM2;bob003;112;39.054
trainGa01ofM2;bob003;113;33.528
trainGa01ofM2;bob003;114;42.127
trainGa01ofM2;bob003;115;37.932
trainGa01ofM2;bob003;116;41.150
trainGa01ofM2;bob003;117;49.441
trainGa01ofM2;bob003;118;46.099
trainGa01ofM2;bob003;119;47.496
trainGa01ofM2;bob003;120;49.628
trainGa01ofM2;bob003;121;52.527
trainGa01ofM2;bob003;122;50.185
trainGa01ofM2;bob003;123;48.761
trainGa01ofM2;bob003;124;50.757
trainGa01ofM2;bob003;125;56.627
trainGa01ofM2;bob003;126;47.751
trainGa01ofM2;bob003;127;52.547
trainGa01ofM2;bob003;128;55.892
trainGa01ofM2;bob003;129;51.834
trainGa01ofM2;bob003;130;55.723
trainGa01ofM2;bob003;131;63.663
trainGa01ofM2;bob003;132;62.665
trainGa01ofM2;bob003;133;59.457
trainGa01ofM2;bob003;134;56.240
trainGa01ofM2;bob003;135;63.164
trainGa01ofM2;bob003;136;75.213
trainGa01ofM2;bob003;137;63.103
trainGa01ofM2;bob003;138;77.340
trainGa01ofM2;bob003;139;84.358
trainGa01ofM2;bob003;140;82.644
trainGa01ofM2;bob003;141;94.765
trainGa01ofM2;bob003;142;86.630
trainGa01ofM2;bob003;143;85.866
trainGa01ofM2;bob003;144;98.728
trainGa01ofM2;bob003;145;91.446
trainGa01ofM2;bob003;146;82.001
trainGa01ofM2;bob003;147;83.927
trainGa01ofM2;bob003;148;90.533
trainGa01ofM2;bob003;149;80.904
trainGa01ofM2;bob003;150;86.560
trainGa01ofM2;bob003;151;84.542
trainGa01ofM2;bob003;152;77.518
trainGa01ofM2;bob003;153;85.636
trainGa01ofM2;bob003;154;76.572
trainGa01ofM2;bob003;155;79.305
trainGa01ofM2;bob003;156;78.885
trainGa01ofM2;bob003;157;76.199
trainGa01ofM2;bob003;158;57.570
trainGa01ofM2;bob003;159;73.145
trainGa01ofM2;bob003;160;70.301
trainGa01ofM2;bob003;161;70.607
trainGa01ofM2;bob003;162;73.850
trainGa01ofM2;bob003;163;65.212
trainGa01ofM2;bob003;164;74.734
trainGa01ofM2;bob003;165;69.251
trainGa01ofM2;bob003;166;71.496
trainGa01ofM2;bob003;167;67.906
trainGa01ofM2;bob003;168;71.404
trainGa01ofM2;bob003;169;66.417
trainGa01ofM2;bob003;170;74.330
trainGa01ofM2;bob003;171;65.006
trainGa01ofM2;bob003;172;69.232
trainGa01ofM2;bob003;173;81.696
trainGa01ofM2;bob003;174;80.087
trainGa01ofM2;bob003;175;75.099
trainGa01ofM2;bob003;176;78.481
trainGa01ofM2;bob003;177;82.607
trainGa01ofM2;bob003;178;88.977
trainGa01ofM2;bob003;179;115.659
trainGa01ofM2;bob003;180;83.382
trainGa01ofM2;bob003;181;74.110
trainGa01ofM2;bob003;182;76.100
trainGa01ofM2;bob003;183;81.488
trainGa01ofM2;bob003;184;74.551
trainGa01ofM2;bob003;185;75.843
trainGa01ofM2;bob003;186;78.088
trainGa01ofM2;bob003;187;65.308
trainGa01ofM2;bob003;188;66.355
trainGa01ofM2;bob003;189;75.166
trainGa01ofM2;bob003;190;76.347
trainGa01ofM2;bob003;191;75.285
trainGa01ofM2;bob003;192;65.416
trainGa01ofM2;bob003;193;67.623
trainGa01ofM2;bob003;194;72.857
