trainGaId;trainGaNr;iterations;score
trainGaKicks01;005;1;0.277
trainGaKicks01;005;2;0.475
trainGaKicks01;005;3;0.125
trainGaKicks01;005;4;0.063
trainGaKicks01;005;5;0.133
trainGaKicks01;005;6;0.000
trainGaKicks01;005;7;0.382
trainGaKicks01;005;8;0.292
trainGaKicks01;005;9;0.000
trainGaKicks01;005;10;0.570
trainGaKicks01;005;11;0.171
trainGaKicks01;005;12;0.000
trainGaKicks01;005;13;0.111
trainGaKicks01;005;14;0.326
trainGaKicks01;005;15;0.038
trainGaKicks01;005;16;0.071
trainGaKicks01;005;17;0.143
trainGaKicks01;005;18;0.167
trainGaKicks01;005;19;0.216
trainGaKicks01;005;20;0.000
trainGaKicks01;005;21;0.056
trainGaKicks01;005;22;0.100
trainGaKicks01;005;23;0.167
trainGaKicks01;005;24;0.296
trainGaKicks01;005;25;0.083
trainGaKicks01;005;26;0.000
trainGaKicks01;005;27;0.050
trainGaKicks01;005;28;0.563
trainGaKicks01;005;29;0.196
trainGaKicks01;005;30;0.083
trainGaKicks01;005;31;0.208
trainGaKicks01;005;32;0.000
trainGaKicks01;005;33;0.056
trainGaKicks01;005;34;0.375
trainGaKicks01;005;35;0.608
trainGaKicks01;005;36;0.374
trainGaKicks01;005;37;0.401
trainGaKicks01;005;38;0.383
trainGaKicks01;005;39;0.071
trainGaKicks01;005;40;0.163
trainGaKicks01;005;41;0.063
trainGaKicks01;005;42;0.167
trainGaKicks01;005;43;0.229
trainGaKicks01;005;44;0.167
trainGaKicks01;005;45;0.255
trainGaKicks01;005;46;0.198
trainGaKicks01;005;47;0.380
trainGaKicks01;005;48;0.171
trainGaKicks01;005;49;0.363
trainGaKicks01;005;50;0.267
trainGaKicks01;005;51;0.050
trainGaKicks01;005;52;0.188
trainGaKicks01;005;53;0.063
trainGaKicks01;005;54;0.000
trainGaKicks01;005;55;0.229
trainGaKicks01;005;56;0.183
trainGaKicks01;005;57;0.000
trainGaKicks01;005;58;0.288
trainGaKicks01;005;59;0.222
trainGaKicks01;005;60;0.216
trainGaKicks01;005;61;0.359
trainGaKicks01;005;62;0.163
trainGaKicks01;005;63;0.259
trainGaKicks01;005;64;0.225
trainGaKicks01;005;65;0.000
trainGaKicks01;005;66;0.222
trainGaKicks01;005;67;0.000
trainGaKicks01;005;68;0.156
trainGaKicks01;005;69;0.222
trainGaKicks01;005;70;0.183
trainGaKicks01;005;71;0.214
trainGaKicks01;005;72;0.000
trainGaKicks01;005;73;0.000
trainGaKicks01;005;74;0.218
trainGaKicks01;005;75;0.267
trainGaKicks01;005;76;0.229
trainGaKicks01;005;77;0.000
trainGaKicks01;005;78;0.100
trainGaKicks01;005;79;0.465
trainGaKicks01;005;80;0.238
trainGaKicks01;005;81;0.155
trainGaKicks01;005;82;0.100
trainGaKicks01;005;83;0.207
trainGaKicks01;005;84;0.464
trainGaKicks01;005;85;0.419
trainGaKicks01;005;86;0.111
