trainGaId;trainGaNr;iterations;score
trainGaKicks01;bob005;1;0.056
trainGaKicks01;bob005;2;0.056
trainGaKicks01;bob005;3;0.056
trainGaKicks01;bob005;4;0.222
trainGaKicks01;bob005;5;0.379
trainGaKicks01;bob005;6;0.222
trainGaKicks01;bob005;7;0.083
trainGaKicks01;bob005;8;0.617
trainGaKicks01;bob005;9;0.283
trainGaKicks01;bob005;10;0.396
trainGaKicks01;bob005;11;0.609
trainGaKicks01;bob005;12;0.589
trainGaKicks01;bob005;13;0.520
trainGaKicks01;bob005;14;1.158
trainGaKicks01;bob005;15;0.886
trainGaKicks01;bob005;16;0.963
trainGaKicks01;bob005;17;0.803
trainGaKicks01;bob005;18;0.913
trainGaKicks01;bob005;19;0.671
trainGaKicks01;bob005;20;1.263
trainGaKicks01;bob005;21;0.728
trainGaKicks01;bob005;22;0.608
trainGaKicks01;bob005;23;0.766
trainGaKicks01;bob005;24;0.694
trainGaKicks01;bob005;25;0.726
trainGaKicks01;bob005;26;0.447
trainGaKicks01;bob005;27;0.470
trainGaKicks01;bob005;28;1.171
trainGaKicks01;bob005;29;0.637
trainGaKicks01;bob005;30;0.666
trainGaKicks01;bob005;31;0.976
trainGaKicks01;bob005;32;0.888
trainGaKicks01;bob005;33;0.840
trainGaKicks01;bob005;34;0.550
trainGaKicks01;bob005;35;1.063
trainGaKicks01;bob005;36;0.764
trainGaKicks01;bob005;37;0.879
trainGaKicks01;bob005;38;1.064
trainGaKicks01;bob005;39;1.713
trainGaKicks01;bob005;40;0.697
trainGaKicks01;bob005;41;0.601
trainGaKicks01;bob005;42;0.720
trainGaKicks01;bob005;43;0.907
trainGaKicks01;bob005;44;1.143
trainGaKicks01;bob005;45;0.806
trainGaKicks01;bob005;46;1.854
trainGaKicks01;bob005;47;1.368
trainGaKicks01;bob005;48;2.096
trainGaKicks01;bob005;49;1.146
trainGaKicks01;bob005;50;2.229
trainGaKicks01;bob005;51;1.763
trainGaKicks01;bob005;52;1.280
trainGaKicks01;bob005;53;0.876
trainGaKicks01;bob005;54;1.804
trainGaKicks01;bob005;55;2.238
trainGaKicks01;bob005;56;2.234
trainGaKicks01;bob005;57;1.706
trainGaKicks01;bob005;58;2.731
trainGaKicks01;bob005;59;2.364
trainGaKicks01;bob005;60;1.474
trainGaKicks01;bob005;61;2.585
trainGaKicks01;bob005;62;2.493
trainGaKicks01;bob005;63;2.600
trainGaKicks01;bob005;64;2.622
trainGaKicks01;bob005;65;3.258
trainGaKicks01;bob005;66;2.263
trainGaKicks01;bob005;67;1.438
trainGaKicks01;bob005;68;2.964
trainGaKicks01;bob005;69;3.038
trainGaKicks01;bob005;70;3.234
trainGaKicks01;bob005;71;2.152
trainGaKicks01;bob005;72;2.300
trainGaKicks01;bob005;73;3.016
trainGaKicks01;bob005;74;2.000
trainGaKicks01;bob005;75;2.979
trainGaKicks01;bob005;76;1.839
trainGaKicks01;bob005;77;2.177
trainGaKicks01;bob005;78;2.919
trainGaKicks01;bob005;79;1.835
trainGaKicks01;bob005;80;1.883
trainGaKicks01;bob005;81;2.327
trainGaKicks01;bob005;82;1.704
trainGaKicks01;bob005;83;1.610
trainGaKicks01;bob005;84;2.106
trainGaKicks01;bob005;85;1.790
trainGaKicks01;bob005;86;2.232
trainGaKicks01;bob005;87;2.272
trainGaKicks01;bob005;88;2.453
trainGaKicks01;bob005;89;2.553
trainGaKicks01;bob005;90;2.589
trainGaKicks01;bob005;91;2.061
trainGaKicks01;bob005;92;2.212
trainGaKicks01;bob005;93;3.050
trainGaKicks01;bob005;94;1.597
trainGaKicks01;bob005;95;1.930
trainGaKicks01;bob005;96;2.665
trainGaKicks01;bob005;97;2.299
trainGaKicks01;bob005;98;2.302
trainGaKicks01;bob005;99;2.708
trainGaKicks01;bob005;100;1.680
trainGaKicks01;bob005;101;3.074
trainGaKicks01;bob005;102;3.103
trainGaKicks01;bob005;103;3.479
trainGaKicks01;bob005;104;3.392
trainGaKicks01;bob005;105;2.730
trainGaKicks01;bob005;106;4.525
trainGaKicks01;bob005;107;3.010
trainGaKicks01;bob005;108;3.484
trainGaKicks01;bob005;109;2.503
trainGaKicks01;bob005;110;4.772
trainGaKicks01;bob005;111;2.969
trainGaKicks01;bob005;112;2.533
trainGaKicks01;bob005;113;2.506
trainGaKicks01;bob005;114;4.274
trainGaKicks01;bob005;115;3.671
trainGaKicks01;bob005;116;3.924
trainGaKicks01;bob005;117;4.537
trainGaKicks01;bob005;118;3.012
trainGaKicks01;bob005;119;4.785
trainGaKicks01;bob005;120;4.556
trainGaKicks01;bob005;121;2.674
trainGaKicks01;bob005;122;5.203
trainGaKicks01;bob005;123;5.078
trainGaKicks01;bob005;124;4.670
trainGaKicks01;bob005;125;3.983
trainGaKicks01;bob005;126;3.747
trainGaKicks01;bob005;127;4.577
trainGaKicks01;bob005;128;6.664
trainGaKicks01;bob005;129;6.563
trainGaKicks01;bob005;130;6.034
trainGaKicks01;bob005;131;5.975
trainGaKicks01;bob005;132;5.194
trainGaKicks01;bob005;133;5.158
trainGaKicks01;bob005;134;6.781
trainGaKicks01;bob005;135;5.563
trainGaKicks01;bob005;136;5.465
trainGaKicks01;bob005;137;6.752
trainGaKicks01;bob005;138;6.289
trainGaKicks01;bob005;139;5.308
trainGaKicks01;bob005;140;5.681
trainGaKicks01;bob005;141;5.874
trainGaKicks01;bob005;142;5.357
trainGaKicks01;bob005;143;5.050
trainGaKicks01;bob005;144;5.667
trainGaKicks01;bob005;145;6.308
trainGaKicks01;bob005;146;5.791
trainGaKicks01;bob005;147;7.178
trainGaKicks01;bob005;148;5.963
trainGaKicks01;bob005;149;7.378
trainGaKicks01;bob005;150;6.321
trainGaKicks01;bob005;151;6.093
trainGaKicks01;bob005;152;6.207
trainGaKicks01;bob005;153;5.602
trainGaKicks01;bob005;154;7.014
trainGaKicks01;bob005;155;7.030
trainGaKicks01;bob005;156;7.411
trainGaKicks01;bob005;157;8.760
trainGaKicks01;bob005;158;7.761
trainGaKicks01;bob005;159;7.930
trainGaKicks01;bob005;160;8.970
trainGaKicks01;bob005;161;7.655
trainGaKicks01;bob005;162;7.092
trainGaKicks01;bob005;163;7.878
trainGaKicks01;bob005;164;7.385
trainGaKicks01;bob005;165;7.385
trainGaKicks01;bob005;166;7.509
trainGaKicks01;bob005;167;8.599
trainGaKicks01;bob005;168;7.203
trainGaKicks01;bob005;169;5.577
trainGaKicks01;bob005;170;7.216
trainGaKicks01;bob005;171;7.374
trainGaKicks01;bob005;172;8.633
trainGaKicks01;bob005;173;9.012
trainGaKicks01;bob005;174;6.674
trainGaKicks01;bob005;175;7.020
trainGaKicks01;bob005;176;5.627
trainGaKicks01;bob005;177;8.099
trainGaKicks01;bob005;178;8.721
trainGaKicks01;bob005;179;6.692
trainGaKicks01;bob005;180;6.108
trainGaKicks01;bob005;181;6.725
trainGaKicks01;bob005;182;5.766
trainGaKicks01;bob005;183;4.173
trainGaKicks01;bob005;184;4.278
trainGaKicks01;bob005;185;4.880
trainGaKicks01;bob005;186;5.572
trainGaKicks01;bob005;187;5.077
trainGaKicks01;bob005;188;5.663
trainGaKicks01;bob005;189;5.918
trainGaKicks01;bob005;190;5.979
trainGaKicks01;bob005;191;4.183
trainGaKicks01;bob005;192;4.810
trainGaKicks01;bob005;193;4.840
trainGaKicks01;bob005;194;3.519
trainGaKicks01;bob005;195;6.342
trainGaKicks01;bob005;196;4.028
trainGaKicks01;bob005;197;4.426
trainGaKicks01;bob005;198;3.408
trainGaKicks01;bob005;199;4.480
trainGaKicks01;bob005;200;5.317
trainGaKicks01;bob005;201;4.073
trainGaKicks01;bob005;202;5.667
trainGaKicks01;bob005;203;4.774
trainGaKicks01;bob005;204;5.533
trainGaKicks01;bob005;205;4.790
trainGaKicks01;bob005;206;4.013
trainGaKicks01;bob005;207;4.150
trainGaKicks01;bob005;208;4.648
trainGaKicks01;bob005;209;3.764
trainGaKicks01;bob005;210;4.907
trainGaKicks01;bob005;211;4.470
trainGaKicks01;bob005;212;4.214
trainGaKicks01;bob005;213;4.518
trainGaKicks01;bob005;214;5.466
trainGaKicks01;bob005;215;4.785
trainGaKicks01;bob005;216;4.722
trainGaKicks01;bob005;217;5.197
trainGaKicks01;bob005;218;5.663
trainGaKicks01;bob005;219;6.071
trainGaKicks01;bob005;220;5.209
trainGaKicks01;bob005;221;6.769
trainGaKicks01;bob005;222;6.124
trainGaKicks01;bob005;223;5.494
trainGaKicks01;bob005;224;5.249
trainGaKicks01;bob005;225;6.491
trainGaKicks01;bob005;226;4.676
trainGaKicks01;bob005;227;5.887
trainGaKicks01;bob005;228;6.865
trainGaKicks01;bob005;229;5.921
