trainGaId;trainGaNr;iterations;score
trainGaKicks01;w002;1;0.133
trainGaKicks01;w002;2;0.163
trainGaKicks01;w002;3;0.163
trainGaKicks01;w002;4;0.129
trainGaKicks01;w002;5;0.213
trainGaKicks01;w002;6;0.225
trainGaKicks01;w002;7;0.226
trainGaKicks01;w002;8;0.050
trainGaKicks01;w002;9;0.229
trainGaKicks01;w002;10;0.371
trainGaKicks01;w002;11;0.548
trainGaKicks01;w002;12;0.212
trainGaKicks01;w002;13;0.365
trainGaKicks01;w002;14;0.534
trainGaKicks01;w002;15;0.273
trainGaKicks01;w002;16;0.280
trainGaKicks01;w002;17;0.229
trainGaKicks01;w002;18;0.500
trainGaKicks01;w002;19;0.196
trainGaKicks01;w002;20;0.277
trainGaKicks01;w002;21;0.125
trainGaKicks01;w002;22;0.100
trainGaKicks01;w002;23;0.225
trainGaKicks01;w002;24;0.045
trainGaKicks01;w002;25;0.000
trainGaKicks01;w002;26;0.267
trainGaKicks01;w002;27;0.000
trainGaKicks01;w002;28;0.127
trainGaKicks01;w002;29;0.183
trainGaKicks01;w002;30;0.000
trainGaKicks01;w002;31;0.118
trainGaKicks01;w002;32;0.083
trainGaKicks01;w002;33;0.225
trainGaKicks01;w002;34;0.236
trainGaKicks01;w002;35;0.229
trainGaKicks01;w002;36;0.123
trainGaKicks01;w002;37;0.371
trainGaKicks01;w002;38;0.271
trainGaKicks01;w002;39;0.125
trainGaKicks01;w002;40;0.071
trainGaKicks01;w002;41;0.134
trainGaKicks01;w002;42;0.317
trainGaKicks01;w002;43;0.083
trainGaKicks01;w002;44;0.063
trainGaKicks01;w002;45;0.000
trainGaKicks01;w002;46;0.313
trainGaKicks01;w002;47;0.156
trainGaKicks01;w002;48;0.100
trainGaKicks01;w002;49;0.201
trainGaKicks01;w002;50;0.193
trainGaKicks01;w002;51;0.125
trainGaKicks01;w002;52;0.333
trainGaKicks01;w002;53;0.121
trainGaKicks01;w002;54;0.163
trainGaKicks01;w002;55;0.156
trainGaKicks01;w002;56;0.155
trainGaKicks01;w002;57;0.000
trainGaKicks01;w002;58;0.256
trainGaKicks01;w002;59;0.238
trainGaKicks01;w002;60;0.208
trainGaKicks01;w002;61;0.267
trainGaKicks01;w002;62;0.056
trainGaKicks01;w002;63;0.488
trainGaKicks01;w002;64;0.139
trainGaKicks01;w002;65;0.183
trainGaKicks01;w002;66;0.372
trainGaKicks01;w002;67;0.384
trainGaKicks01;w002;68;0.132
trainGaKicks01;w002;69;0.306
trainGaKicks01;w002;70;0.321
trainGaKicks01;w002;71;0.463
trainGaKicks01;w002;72;0.530
trainGaKicks01;w002;73;0.292
trainGaKicks01;w002;74;0.321
trainGaKicks01;w002;75;0.255
trainGaKicks01;w002;76;0.371
trainGaKicks01;w002;77;0.304
trainGaKicks01;w002;78;0.505
trainGaKicks01;w002;79;0.552
trainGaKicks01;w002;80;0.545
trainGaKicks01;w002;81;0.602
trainGaKicks01;w002;82;0.747
trainGaKicks01;w002;83;0.609
trainGaKicks01;w002;84;0.369
trainGaKicks01;w002;85;0.333
trainGaKicks01;w002;86;0.566
trainGaKicks01;w002;87;0.392
trainGaKicks01;w002;88;0.579
trainGaKicks01;w002;89;0.313
trainGaKicks01;w002;90;0.229
trainGaKicks01;w002;91;0.901
trainGaKicks01;w002;92;0.238
trainGaKicks01;w002;93;0.856
trainGaKicks01;w002;94;1.039
trainGaKicks01;w002;95;0.426
trainGaKicks01;w002;96;0.588
trainGaKicks01;w002;97;0.569
trainGaKicks01;w002;98;0.586
trainGaKicks01;w002;99;0.517
trainGaKicks01;w002;100;0.479
trainGaKicks01;w002;101;0.309
trainGaKicks01;w002;102;0.699
trainGaKicks01;w002;103;0.451
trainGaKicks01;w002;104;0.263
trainGaKicks01;w002;105;0.448
trainGaKicks01;w002;106;0.742
trainGaKicks01;w002;107;0.999
trainGaKicks01;w002;108;0.485
trainGaKicks01;w002;109;0.875
trainGaKicks01;w002;110;0.785
trainGaKicks01;w002;111;0.720
trainGaKicks01;w002;112;0.572
trainGaKicks01;w002;113;1.393
trainGaKicks01;w002;114;0.981
trainGaKicks01;w002;115;0.730
trainGaKicks01;w002;116;0.467
trainGaKicks01;w002;117;0.685
trainGaKicks01;w002;118;1.668
trainGaKicks01;w002;119;1.355
trainGaKicks01;w002;120;1.058
trainGaKicks01;w002;121;1.013
trainGaKicks01;w002;122;1.049
trainGaKicks01;w002;123;1.308
trainGaKicks01;w002;124;1.266
trainGaKicks01;w002;125;2.064
trainGaKicks01;w002;126;1.945
trainGaKicks01;w002;127;1.260
trainGaKicks01;w002;128;2.427
trainGaKicks01;w002;129;1.950
trainGaKicks01;w002;130;1.781
trainGaKicks01;w002;131;1.626
trainGaKicks01;w002;132;2.425
trainGaKicks01;w002;133;1.292
trainGaKicks01;w002;134;2.238
trainGaKicks01;w002;135;3.282
trainGaKicks01;w002;136;1.988
trainGaKicks01;w002;137;3.358
trainGaKicks01;w002;138;4.061
trainGaKicks01;w002;139;3.764
trainGaKicks01;w002;140;4.288
trainGaKicks01;w002;141;5.458
trainGaKicks01;w002;142;6.163
trainGaKicks01;w002;143;3.940
trainGaKicks01;w002;144;5.177
trainGaKicks01;w002;145;6.230
trainGaKicks01;w002;146;5.141
trainGaKicks01;w002;147;6.519
trainGaKicks01;w002;148;6.213
trainGaKicks01;w002;149;5.745
trainGaKicks01;w002;150;4.305
trainGaKicks01;w002;151;4.400
trainGaKicks01;w002;152;5.841
trainGaKicks01;w002;153;5.656
trainGaKicks01;w002;154;5.932
trainGaKicks01;w002;155;6.666
trainGaKicks01;w002;156;3.600
trainGaKicks01;w002;157;5.149
trainGaKicks01;w002;158;4.250
trainGaKicks01;w002;159;6.135
trainGaKicks01;w002;160;5.813
trainGaKicks01;w002;161;6.259
trainGaKicks01;w002;162;6.117
trainGaKicks01;w002;163;6.330
trainGaKicks01;w002;164;5.884
trainGaKicks01;w002;165;7.887
trainGaKicks01;w002;166;8.684
trainGaKicks01;w002;167;7.629
trainGaKicks01;w002;168;7.491
trainGaKicks01;w002;169;9.540
trainGaKicks01;w002;170;10.160
trainGaKicks01;w002;171;10.708
trainGaKicks01;w002;172;10.954
trainGaKicks01;w002;173;7.092
trainGaKicks01;w002;174;8.941
trainGaKicks01;w002;175;8.337
trainGaKicks01;w002;176;11.075
trainGaKicks01;w002;177;7.234
trainGaKicks01;w002;178;8.510
trainGaKicks01;w002;179;8.820
trainGaKicks01;w002;180;9.207
trainGaKicks01;w002;181;13.305
trainGaKicks01;w002;182;10.337
trainGaKicks01;w002;183;11.716
trainGaKicks01;w002;184;7.152
trainGaKicks01;w002;185;8.853
trainGaKicks01;w002;186;10.635
trainGaKicks01;w002;187;8.913
trainGaKicks01;w002;188;8.970
trainGaKicks01;w002;189;11.423
trainGaKicks01;w002;190;10.324
trainGaKicks01;w002;191;11.192
trainGaKicks01;w002;192;10.713
trainGaKicks01;w002;193;10.473
trainGaKicks01;w002;194;10.119
trainGaKicks01;w002;195;8.792
trainGaKicks01;w002;196;10.888
trainGaKicks01;w002;197;10.646
trainGaKicks01;w002;198;11.503
trainGaKicks01;w002;199;11.709
trainGaKicks01;w002;200;11.685
trainGaKicks01;w002;201;12.070
trainGaKicks01;w002;202;11.650
trainGaKicks01;w002;203;14.845
trainGaKicks01;w002;204;12.764
trainGaKicks01;w002;205;10.600
trainGaKicks01;w002;206;13.206
trainGaKicks01;w002;207;13.233
trainGaKicks01;w002;208;12.676
trainGaKicks01;w002;209;14.272
trainGaKicks01;w002;210;14.266
trainGaKicks01;w002;211;17.604
trainGaKicks01;w002;212;14.439
trainGaKicks01;w002;213;11.836
trainGaKicks01;w002;214;13.529
trainGaKicks01;w002;215;11.186
trainGaKicks01;w002;216;14.349
trainGaKicks01;w002;217;14.019
trainGaKicks01;w002;218;12.766
trainGaKicks01;w002;219;14.326
trainGaKicks01;w002;220;13.900
trainGaKicks01;w002;221;13.944
trainGaKicks01;w002;222;18.671
trainGaKicks01;w002;223;14.910
trainGaKicks01;w002;224;12.804
trainGaKicks01;w002;225;14.721
trainGaKicks01;w002;226;13.815
trainGaKicks01;w002;227;13.248
trainGaKicks01;w002;228;13.023
trainGaKicks01;w002;229;15.053
trainGaKicks01;w002;230;12.022
trainGaKicks01;w002;231;14.588
trainGaKicks01;w002;232;15.024
trainGaKicks01;w002;233;15.466
trainGaKicks01;w002;234;15.267
trainGaKicks01;w002;235;14.526
trainGaKicks01;w002;236;14.747
trainGaKicks01;w002;237;13.573
trainGaKicks01;w002;238;14.394
trainGaKicks01;w002;239;14.574
trainGaKicks01;w002;240;14.686
trainGaKicks01;w002;241;14.529
trainGaKicks01;w002;242;15.463
trainGaKicks01;w002;243;16.516
trainGaKicks01;w002;244;18.452
trainGaKicks01;w002;245;21.219
trainGaKicks01;w002;246;20.444
trainGaKicks01;w002;247;21.001
trainGaKicks01;w002;248;18.375
trainGaKicks01;w002;249;20.228
trainGaKicks01;w002;250;20.357
trainGaKicks01;w002;251;16.305
trainGaKicks01;w002;252;17.771
trainGaKicks01;w002;253;19.183
trainGaKicks01;w002;254;16.537
trainGaKicks01;w002;255;19.077
trainGaKicks01;w002;256;15.763
trainGaKicks01;w002;257;19.864
trainGaKicks01;w002;258;20.529
trainGaKicks01;w002;259;21.823
trainGaKicks01;w002;260;22.413
trainGaKicks01;w002;261;19.643
trainGaKicks01;w002;262;20.792
trainGaKicks01;w002;263;20.131
trainGaKicks01;w002;264;25.142
trainGaKicks01;w002;265;22.588
trainGaKicks01;w002;266;22.447
trainGaKicks01;w002;267;21.854
trainGaKicks01;w002;268;20.739
trainGaKicks01;w002;269;20.665
trainGaKicks01;w002;270;20.429
trainGaKicks01;w002;271;23.662
trainGaKicks01;w002;272;18.907
trainGaKicks01;w002;273;24.344
trainGaKicks01;w002;274;25.019
trainGaKicks01;w002;275;23.423
trainGaKicks01;w002;276;21.037
trainGaKicks01;w002;277;26.006
trainGaKicks01;w002;278;25.566
trainGaKicks01;w002;279;26.034
trainGaKicks01;w002;280;23.581
trainGaKicks01;w002;281;23.379
trainGaKicks01;w002;282;21.157
trainGaKicks01;w002;283;25.340
trainGaKicks01;w002;284;27.677
trainGaKicks01;w002;285;23.201
trainGaKicks01;w002;286;21.887
trainGaKicks01;w002;287;28.939
trainGaKicks01;w002;288;25.127
trainGaKicks01;w002;289;27.892
trainGaKicks01;w002;290;24.926
trainGaKicks01;w002;291;25.888
trainGaKicks01;w002;292;28.794
trainGaKicks01;w002;293;26.548
trainGaKicks01;w002;294;29.748
trainGaKicks01;w002;295;29.314
trainGaKicks01;w002;296;27.613
trainGaKicks01;w002;297;28.065
trainGaKicks01;w002;298;30.031
trainGaKicks01;w002;299;28.815
trainGaKicks01;w002;300;30.691
trainGaKicks01;w002;301;28.399
trainGaKicks01;w002;302;29.217
trainGaKicks01;w002;303;28.096
trainGaKicks01;w002;304;29.947
trainGaKicks01;w002;305;31.110
trainGaKicks01;w002;306;27.287
trainGaKicks01;w002;307;28.006
trainGaKicks01;w002;308;28.758
trainGaKicks01;w002;309;28.165
trainGaKicks01;w002;310;30.327
trainGaKicks01;w002;311;27.230
trainGaKicks01;w002;312;27.551
trainGaKicks01;w002;313;30.620
trainGaKicks01;w002;314;30.308
trainGaKicks01;w002;315;28.516
trainGaKicks01;w002;316;30.588
trainGaKicks01;w002;317;31.801
trainGaKicks01;w002;318;34.476
trainGaKicks01;w002;319;31.133
trainGaKicks01;w002;320;38.936
trainGaKicks01;w002;321;37.756
trainGaKicks01;w002;322;30.455
trainGaKicks01;w002;323;30.439
trainGaKicks01;w002;324;36.157
trainGaKicks01;w002;325;38.545
trainGaKicks01;w002;326;37.274
trainGaKicks01;w002;327;36.082
trainGaKicks01;w002;328;43.810
trainGaKicks01;w002;329;37.207
trainGaKicks01;w002;330;38.622
trainGaKicks01;w002;331;33.600
trainGaKicks01;w002;332;37.149
trainGaKicks01;w002;333;39.481
trainGaKicks01;w002;334;35.501
trainGaKicks01;w002;335;39.273
trainGaKicks01;w002;336;37.704
trainGaKicks01;w002;337;37.445
trainGaKicks01;w002;338;35.728
trainGaKicks01;w002;339;32.641
trainGaKicks01;w002;340;37.574
trainGaKicks01;w002;341;37.440
trainGaKicks01;w002;342;35.348
