id;nr;iterations;kicks;goals;score
trainGaPlayer01B;bob001;0;0.351;0.000;0.351
trainGaPlayer01B;bob001;1;0.330;0.000;0.330
trainGaPlayer01B;bob001;2;0.588;0.000;0.588
trainGaPlayer01B;bob001;3;0.576;0.000;0.576
trainGaPlayer01B;bob001;4;0.595;0.000;0.595
trainGaPlayer01B;bob001;5;0.834;0.000;0.834
trainGaPlayer01B;bob001;6;1.259;0.000;1.259
trainGaPlayer01B;bob001;7;1.236;0.000;1.236
trainGaPlayer01B;bob001;8;1.372;0.000;1.372
trainGaPlayer01B;bob001;9;1.733;0.000;1.733
trainGaPlayer01B;bob001;10;3.217;0.000;3.217
trainGaPlayer01B;bob001;11;3.522;0.000;3.522
trainGaPlayer01B;bob001;12;6.225;0.000;6.225
trainGaPlayer01B;bob001;13;5.561;0.000;5.561
trainGaPlayer01B;bob001;14;7.131;0.000;7.131
trainGaPlayer01B;bob001;15;8.953;0.011;9.509
trainGaPlayer01B;bob001;16;10.472;0.005;10.710
trainGaPlayer01B;bob001;17;11.794;0.000;11.794
trainGaPlayer01B;bob001;18;13.900;0.000;13.900
trainGaPlayer01B;bob001;19;16.297;0.000;16.297
trainGaPlayer01B;bob001;20;16.606;0.000;16.606
trainGaPlayer01B;bob001;21;18.590;0.000;18.590
trainGaPlayer01B;bob001;22;16.435;0.000;16.435
trainGaPlayer01B;bob001;23;17.418;0.000;17.418
trainGaPlayer01B;bob001;24;18.129;0.008;18.546
trainGaPlayer01B;bob001;25;14.559;0.000;14.559
trainGaPlayer01B;bob001;26;18.230;0.008;18.646
trainGaPlayer01B;bob001;27;21.079;0.017;21.912
trainGaPlayer01B;bob001;28;20.045;0.000;20.045
trainGaPlayer01B;bob001;29;17.853;0.000;17.853
trainGaPlayer01B;bob001;30;24.123;0.000;24.123
trainGaPlayer01B;bob001;31;21.728;0.000;21.728
trainGaPlayer01B;bob001;32;24.419;0.000;24.419
trainGaPlayer01B;bob001;33;26.804;0.000;26.804
trainGaPlayer01B;bob001;34;28.455;0.000;28.455
trainGaPlayer01B;bob001;35;27.903;0.000;27.903
trainGaPlayer01B;bob001;36;26.989;0.000;26.989
trainGaPlayer01B;bob001;37;27.837;0.000;27.837
trainGaPlayer01B;bob001;38;32.940;0.000;32.940
trainGaPlayer01B;bob001;39;28.685;0.000;28.685
trainGaPlayer01B;bob001;40;30.389;0.000;30.389
trainGaPlayer01B;bob001;41;36.381;0.000;36.381
trainGaPlayer01B;bob001;42;37.484;0.000;37.484
trainGaPlayer01B;bob001;43;39.130;0.000;39.130
trainGaPlayer01B;bob001;44;33.121;0.000;33.121
trainGaPlayer01B;bob001;45;34.195;0.000;34.195
trainGaPlayer01B;bob001;46;31.282;0.004;31.490
trainGaPlayer01B;bob001;47;34.318;0.005;34.556
trainGaPlayer01B;bob001;48;32.291;0.000;32.291
trainGaPlayer01B;bob001;49;39.226;0.000;39.226
trainGaPlayer01B;bob001;50;44.643;0.007;44.977
trainGaPlayer01B;bob001;51;37.080;0.010;37.596
trainGaPlayer01B;bob001;52;40.286;0.000;40.286
trainGaPlayer01B;bob001;53;44.432;0.000;44.432
trainGaPlayer01B;bob001;54;47.138;0.007;47.471
trainGaPlayer01B;bob001;55;42.539;0.006;42.817
trainGaPlayer01B;bob001;56;42.108;0.000;42.108
trainGaPlayer01B;bob001;57;44.397;0.000;44.397
trainGaPlayer01B;bob001;58;40.357;0.005;40.595
trainGaPlayer01B;bob001;59;43.109;0.008;43.526
trainGaPlayer01B;bob001;60;41.318;0.007;41.675
trainGaPlayer01B;bob001;61;43.323;0.010;43.839
trainGaPlayer01B;bob001;62;41.749;0.017;42.583
trainGaPlayer01B;bob001;63;43.063;0.007;43.397
trainGaPlayer01B;bob001;64;47.569;0.013;48.235
trainGaPlayer01B;bob001;65;50.943;0.019;51.916
trainGaPlayer01B;bob001;66;53.076;0.000;53.076
trainGaPlayer01B;bob001;67;44.157;0.018;45.046
trainGaPlayer01B;bob001;68;48.042;0.000;48.042
trainGaPlayer01B;bob001;69;45.919;0.010;46.437
trainGaPlayer01B;bob001;70;42.607;0.007;42.940
trainGaPlayer01B;bob001;71;46.359;0.000;46.359
trainGaPlayer01B;bob001;72;52.241;0.006;52.518
trainGaPlayer01B;bob001;73;46.848;0.012;47.459
trainGaPlayer01B;bob001;74;48.508;0.000;48.508
trainGaPlayer01B;bob001;75;47.093;0.012;47.701
trainGaPlayer01B;bob001;76;44.163;0.006;44.440
trainGaPlayer01B;bob001;77;43.171;0.039;45.115
trainGaPlayer01B;bob001;78;47.172;0.000;47.172
trainGaPlayer01B;bob001;79;53.441;0.004;53.649
trainGaPlayer01B;bob001;80;43.079;0.022;44.176
trainGaPlayer01B;bob001;81;53.674;0.028;55.093
trainGaPlayer01B;bob001;82;49.966;0.022;51.043
trainGaPlayer01B;bob001;83;46.049;0.016;46.843
