id;nr;iterations;kicks;goals;score
trainGaPlayer01Simple;bob001;0;0.444;0.000;0.444
trainGaPlayer01Simple;bob001;1;1.395;0.000;1.395
trainGaPlayer01Simple;bob001;2;2.090;0.000;2.090
trainGaPlayer01Simple;bob001;3;3.062;0.000;3.062
trainGaPlayer01Simple;bob001;4;5.189;0.000;5.189
trainGaPlayer01Simple;bob001;5;8.329;0.000;8.329
trainGaPlayer01Simple;bob001;6;10.787;0.000;10.787
trainGaPlayer01Simple;bob001;7;12.045;0.003;12.071
trainGaPlayer01Simple;bob001;8;10.026;0.000;10.026
trainGaPlayer01Simple;bob001;9;13.457;0.000;13.457
trainGaPlayer01Simple;bob001;10;13.700;0.017;13.866
trainGaPlayer01Simple;bob001;11;15.818;0.007;15.884
trainGaPlayer01Simple;bob001;12;15.235;0.000;15.235
trainGaPlayer01Simple;bob001;13;14.225;0.000;14.225
trainGaPlayer01Simple;bob001;14;13.988;0.008;14.063
trainGaPlayer01Simple;bob001;15;15.241;0.000;15.241
trainGaPlayer01Simple;bob001;16;16.792;0.004;16.834
trainGaPlayer01Simple;bob001;17;16.187;0.000;16.187
trainGaPlayer01Simple;bob001;18;15.636;0.007;15.703
trainGaPlayer01Simple;bob001;19;16.738;0.007;16.805
trainGaPlayer01Simple;bob001;20;17.187;0.014;17.325
trainGaPlayer01Simple;bob001;21;17.575;0.000;17.575
trainGaPlayer01Simple;bob001;22;17.298;0.000;17.298
trainGaPlayer01Simple;bob001;23;15.989;0.007;16.056
trainGaPlayer01Simple;bob001;24;17.339;0.000;17.339
trainGaPlayer01Simple;bob001;25;20.272;0.000;20.272
trainGaPlayer01Simple;bob001;26;18.592;0.027;18.864
trainGaPlayer01Simple;bob001;27;22.151;0.000;22.151
trainGaPlayer01Simple;bob001;28;22.453;0.019;22.643
trainGaPlayer01Simple;bob001;29;21.861;0.000;21.861
trainGaPlayer01Simple;bob001;30;24.828;0.000;24.828
trainGaPlayer01Simple;bob001;31;25.386;0.009;25.480
trainGaPlayer01Simple;bob001;32;26.397;0.013;26.522
trainGaPlayer01Simple;bob001;33;27.800;0.023;28.034
trainGaPlayer01Simple;bob001;34;27.326;0.024;27.570
trainGaPlayer01Simple;bob001;35;26.471;0.009;26.557
