id;nr;iterations;kicks;goals;score
trainGaPlayer01Simple;work005;0;0.472;0.000;0.472
trainGaPlayer01Simple;work005;1;1.314;0.000;1.314
trainGaPlayer01Simple;work005;2;0.743;0.000;0.743
trainGaPlayer01Simple;work005;3;1.079;0.000;1.079
trainGaPlayer01Simple;work005;4;1.345;0.000;1.345
trainGaPlayer01Simple;work005;5;1.385;0.000;1.385
trainGaPlayer01Simple;work005;6;1.305;0.000;1.305
trainGaPlayer01Simple;work005;7;1.750;0.000;1.750
trainGaPlayer01Simple;work005;8;2.142;0.000;2.142
trainGaPlayer01Simple;work005;9;2.354;0.000;2.354
trainGaPlayer01Simple;work005;10;2.941;0.000;2.941
trainGaPlayer01Simple;work005;11;2.686;0.000;2.686
trainGaPlayer01Simple;work005;12;2.672;0.000;2.672
trainGaPlayer01Simple;work005;13;2.813;0.000;2.813
trainGaPlayer01Simple;work005;14;3.354;0.000;3.354
trainGaPlayer01Simple;work005;15;3.451;0.000;3.451
trainGaPlayer01Simple;work005;16;3.551;0.000;3.551
trainGaPlayer01Simple;work005;17;4.203;0.000;4.203
trainGaPlayer01Simple;work005;18;3.807;0.000;3.807
trainGaPlayer01Simple;work005;19;3.938;0.000;3.938
trainGaPlayer01Simple;work005;20;4.166;0.012;4.283
trainGaPlayer01Simple;work005;21;4.597;0.007;4.663
trainGaPlayer01Simple;work005;22;4.947;0.006;5.003
trainGaPlayer01Simple;work005;23;6.068;0.000;6.068
trainGaPlayer01Simple;work005;24;5.982;0.000;5.982
trainGaPlayer01Simple;work005;25;6.560;0.000;6.560
trainGaPlayer01Simple;work005;26;7.134;0.008;7.217
trainGaPlayer01Simple;work005;27;6.679;0.000;6.679
trainGaPlayer01Simple;work005;28;5.572;0.000;5.572
trainGaPlayer01Simple;work005;29;8.250;0.007;8.317
trainGaPlayer01Simple;work005;30;8.298;0.011;8.409
trainGaPlayer01Simple;work005;31;10.239;0.004;10.276
trainGaPlayer01Simple;work005;32;9.998;0.005;10.046
trainGaPlayer01Simple;work005;33;11.301;0.005;11.349
trainGaPlayer01Simple;work005;34;10.862;0.007;10.928
trainGaPlayer01Simple;work005;35;12.288;0.006;12.343
trainGaPlayer01Simple;work005;36;14.041;0.000;14.041
trainGaPlayer01Simple;work005;37;14.942;0.000;14.942
trainGaPlayer01Simple;work005;38;13.828;0.000;13.828
trainGaPlayer01Simple;work005;39;14.494;0.000;14.494
trainGaPlayer01Simple;work005;40;12.790;0.003;12.817
trainGaPlayer01Simple;work005;41;14.927;0.000;14.927
trainGaPlayer01Simple;work005;42;16.264;0.006;16.320
