trainGaId;trainGaNr;iterations;score
trainGa01m10;bob002;1;0.130
trainGa01m10;bob002;2;-0.329
trainGa01m10;bob002;3;0.056
trainGa01m10;bob002;4;0.157
trainGa01m10;bob002;5;0.137
trainGa01m10;bob002;6;0.000
trainGa01m10;bob002;7;0.326
trainGa01m10;bob002;8;0.114
trainGa01m10;bob002;9;1.300
trainGa01m10;bob002;10;0.314
trainGa01m10;bob002;11;0.363
trainGa01m10;bob002;12;0.097
trainGa01m10;bob002;13;0.117
trainGa01m10;bob002;14;0.292
trainGa01m10;bob002;15;0.200
trainGa01m10;bob002;16;1.050
trainGa01m10;bob002;17;0.306
trainGa01m10;bob002;18;0.493
trainGa01m10;bob002;19;0.987
trainGa01m10;bob002;20;0.567
trainGa01m10;bob002;21;-0.308
trainGa01m10;bob002;22;0.321
trainGa01m10;bob002;23;0.197
trainGa01m10;bob002;24;2.100
trainGa01m10;bob002;25;0.440
trainGa01m10;bob002;26;1.004
trainGa01m10;bob002;27;0.507
trainGa01m10;bob002;28;0.113
trainGa01m10;bob002;29;-0.140
trainGa01m10;bob002;30;0.394
trainGa01m10;bob002;31;0.435
trainGa01m10;bob002;32;0.496
trainGa01m10;bob002;33;-0.122
trainGa01m10;bob002;34;0.316
trainGa01m10;bob002;35;0.733
trainGa01m10;bob002;36;3.434
trainGa01m10;bob002;37;0.433
trainGa01m10;bob002;38;0.302
trainGa01m10;bob002;39;1.142
trainGa01m10;bob002;40;0.602
trainGa01m10;bob002;41;0.624
trainGa01m10;bob002;42;0.471
trainGa01m10;bob002;43;0.324
trainGa01m10;bob002;44;0.492
trainGa01m10;bob002;45;-1.440
trainGa01m10;bob002;46;1.382
trainGa01m10;bob002;47;-0.418
trainGa01m10;bob002;48;0.058
trainGa01m10;bob002;49;0.624
trainGa01m10;bob002;50;0.491
trainGa01m10;bob002;51;-0.033
trainGa01m10;bob002;52;1.395
trainGa01m10;bob002;53;0.399
trainGa01m10;bob002;54;0.439
trainGa01m10;bob002;55;2.888
trainGa01m10;bob002;56;2.690
trainGa01m10;bob002;57;1.423
trainGa01m10;bob002;58;1.831
trainGa01m10;bob002;59;0.622
trainGa01m10;bob002;60;1.820
trainGa01m10;bob002;61;4.982
trainGa01m10;bob002;62;0.949
trainGa01m10;bob002;63;2.610
trainGa01m10;bob002;64;2.480
trainGa01m10;bob002;65;0.847
trainGa01m10;bob002;66;3.592
trainGa01m10;bob002;67;2.734
trainGa01m10;bob002;68;2.597
trainGa01m10;bob002;69;3.109
trainGa01m10;bob002;70;3.263
trainGa01m10;bob002;71;2.001
trainGa01m10;bob002;72;3.316
trainGa01m10;bob002;73;4.690
trainGa01m10;bob002;74;1.257
trainGa01m10;bob002;75;3.694
trainGa01m10;bob002;76;2.222
trainGa01m10;bob002;77;2.562
trainGa01m10;bob002;78;3.748
trainGa01m10;bob002;79;4.758
