trainGaId;trainGaNr;iterations;score
trainGa01ofM1;bob001;1;2.396
trainGa01ofM1;bob001;2;6.132
trainGa01ofM1;bob001;3;4.126
trainGa01ofM1;bob001;4;6.331
trainGa01ofM1;bob001;5;4.918
trainGa01ofM1;bob001;6;7.776
trainGa01ofM1;bob001;7;7.592
trainGa01ofM1;bob001;8;6.866
trainGa01ofM1;bob001;9;7.253
trainGa01ofM1;bob001;10;8.541
trainGa01ofM1;bob001;11;8.077
trainGa01ofM1;bob001;12;12.813
trainGa01ofM1;bob001;13;11.414
trainGa01ofM1;bob001;14;8.531
trainGa01ofM1;bob001;15;12.659
trainGa01ofM1;bob001;16;8.600
trainGa01ofM1;bob001;17;9.882
trainGa01ofM1;bob001;18;4.904
trainGa01ofM1;bob001;19;10.588
trainGa01ofM1;bob001;20;6.831
trainGa01ofM1;bob001;21;8.734
trainGa01ofM1;bob001;22;11.082
trainGa01ofM1;bob001;23;9.886
trainGa01ofM1;bob001;24;11.353
trainGa01ofM1;bob001;25;9.914
trainGa01ofM1;bob001;26;11.604
trainGa01ofM1;bob001;27;9.800
trainGa01ofM1;bob001;28;19.507
trainGa01ofM1;bob001;29;19.805
trainGa01ofM1;bob001;30;26.260
trainGa01ofM1;bob001;31;19.182
trainGa01ofM1;bob001;32;22.478
trainGa01ofM1;bob001;33;28.530
trainGa01ofM1;bob001;34;27.433
trainGa01ofM1;bob001;35;25.328
trainGa01ofM1;bob001;36;33.533
trainGa01ofM1;bob001;37;39.960
trainGa01ofM1;bob001;38;41.301
trainGa01ofM1;bob001;39;45.963
trainGa01ofM1;bob001;40;42.941
trainGa01ofM1;bob001;41;35.113
trainGa01ofM1;bob001;42;35.748
trainGa01ofM1;bob001;43;52.145
trainGa01ofM1;bob001;44;34.218
trainGa01ofM1;bob001;45;37.735
trainGa01ofM1;bob001;46;51.116
trainGa01ofM1;bob001;47;49.768
trainGa01ofM1;bob001;48;42.806
trainGa01ofM1;bob001;49;43.001
trainGa01ofM1;bob001;50;46.797
trainGa01ofM1;bob001;51;57.133
trainGa01ofM1;bob001;52;42.838
trainGa01ofM1;bob001;53;44.695
trainGa01ofM1;bob001;54;39.722
trainGa01ofM1;bob001;55;52.598
