trainGaId;trainGaNr;iterations;score
trainGa03;bob005;1;0.162
trainGa03;bob005;2;0.172
trainGa03;bob005;3;0.333
trainGa03;bob005;4;2.038
trainGa03;bob005;5;-0.345
trainGa03;bob005;6;0.685
trainGa03;bob005;7;1.688
trainGa03;bob005;8;0.560
trainGa03;bob005;9;1.361
trainGa03;bob005;10;0.995
trainGa03;bob005;11;0.330
trainGa03;bob005;12;0.765
trainGa03;bob005;13;0.810
trainGa03;bob005;14;-0.089
trainGa03;bob005;15;0.944
trainGa03;bob005;16;0.623
trainGa03;bob005;17;1.060
trainGa03;bob005;18;0.509
trainGa03;bob005;19;1.040
trainGa03;bob005;20;0.625
trainGa03;bob005;21;1.106
trainGa03;bob005;22;0.998
trainGa03;bob005;23;1.383
trainGa03;bob005;24;0.976
trainGa03;bob005;25;1.576
trainGa03;bob005;26;1.486
trainGa03;bob005;27;0.753
trainGa03;bob005;28;1.722
trainGa03;bob005;29;0.186
trainGa03;bob005;30;1.908
trainGa03;bob005;31;0.841
trainGa03;bob005;32;-0.222
trainGa03;bob005;33;2.219
trainGa03;bob005;34;3.188
trainGa03;bob005;35;3.311
trainGa03;bob005;36;3.349
trainGa03;bob005;37;1.525
trainGa03;bob005;38;0.359
trainGa03;bob005;39;2.632
trainGa03;bob005;40;2.247
trainGa03;bob005;41;2.377
trainGa03;bob005;42;3.603
trainGa03;bob005;43;4.114
trainGa03;bob005;44;3.302
trainGa03;bob005;45;0.858
trainGa03;bob005;46;4.203
trainGa03;bob005;47;2.711
trainGa03;bob005;48;4.191
trainGa03;bob005;49;4.177
trainGa03;bob005;50;5.020
trainGa03;bob005;51;3.443
trainGa03;bob005;52;1.469
trainGa03;bob005;53;4.208
trainGa03;bob005;54;5.173
trainGa03;bob005;55;2.704
trainGa03;bob005;56;6.548
trainGa03;bob005;57;3.646
trainGa03;bob005;58;4.702
trainGa03;bob005;59;5.130
trainGa03;bob005;60;3.844
trainGa03;bob005;61;3.788
trainGa03;bob005;62;5.331
trainGa03;bob005;63;4.766
trainGa03;bob005;64;5.025
trainGa03;bob005;65;1.721
trainGa03;bob005;66;3.744
trainGa03;bob005;67;2.883
trainGa03;bob005;68;3.328
trainGa03;bob005;69;4.385
trainGa03;bob005;70;3.295
trainGa03;bob005;71;1.421
trainGa03;bob005;72;4.130
trainGa03;bob005;73;4.653
trainGa03;bob005;74;1.175
trainGa03;bob005;75;5.500
trainGa03;bob005;76;4.153
trainGa03;bob005;77;3.396
trainGa03;bob005;78;1.650
trainGa03;bob005;79;3.882
trainGa03;bob005;80;4.688
trainGa03;bob005;81;4.260
trainGa03;bob005;82;3.082
trainGa03;bob005;83;6.748
trainGa03;bob005;84;4.767
trainGa03;bob005;85;5.472
trainGa03;bob005;86;5.457
trainGa03;bob005;87;7.826
trainGa03;bob005;88;5.661
trainGa03;bob005;89;7.204
trainGa03;bob005;90;5.648
trainGa03;bob005;91;4.310
trainGa03;bob005;92;6.283
trainGa03;bob005;93;4.929
trainGa03;bob005;94;2.810
trainGa03;bob005;95;5.694
