trainGaId;trainGaNr;iterations;score
trainGa01ofM1;w003;1;1.003
trainGa01ofM1;w003;2;2.922
trainGa01ofM1;w003;3;2.670
trainGa01ofM1;w003;4;4.378
trainGa01ofM1;w003;5;3.890
trainGa01ofM1;w003;6;8.541
trainGa01ofM1;w003;7;10.232
trainGa01ofM1;w003;8;8.002
trainGa01ofM1;w003;9;5.042
trainGa01ofM1;w003;10;7.927
trainGa01ofM1;w003;11;7.799
trainGa01ofM1;w003;12;10.569
trainGa01ofM1;w003;13;10.334
trainGa01ofM1;w003;14;12.562
trainGa01ofM1;w003;15;19.559
trainGa01ofM1;w003;16;16.291
trainGa01ofM1;w003;17;29.812
trainGa01ofM1;w003;18;30.607
trainGa01ofM1;w003;19;33.167
trainGa01ofM1;w003;20;32.031
trainGa01ofM1;w003;21;30.000
trainGa01ofM1;w003;22;25.297
trainGa01ofM1;w003;23;35.138
trainGa01ofM1;w003;24;22.915
trainGa01ofM1;w003;25;34.499
trainGa01ofM1;w003;26;40.607
trainGa01ofM1;w003;27;33.778
trainGa01ofM1;w003;28;33.038
trainGa01ofM1;w003;29;29.928
trainGa01ofM1;w003;30;38.789
trainGa01ofM1;w003;31;31.555
trainGa01ofM1;w003;32;32.197
trainGa01ofM1;w003;33;36.511
trainGa01ofM1;w003;34;45.410
trainGa01ofM1;w003;35;36.331
trainGa01ofM1;w003;36;38.047
trainGa01ofM1;w003;37;34.450
trainGa01ofM1;w003;38;39.345
trainGa01ofM1;w003;39;33.860
trainGa01ofM1;w003;40;42.807
trainGa01ofM1;w003;41;27.768
trainGa01ofM1;w003;42;36.020
trainGa01ofM1;w003;43;38.820
trainGa01ofM1;w003;44;39.297
trainGa01ofM1;w003;45;40.573
trainGa01ofM1;w003;46;37.514
trainGa01ofM1;w003;47;28.375
trainGa01ofM1;w003;48;47.373
trainGa01ofM1;w003;49;41.766
trainGa01ofM1;w003;50;43.316
trainGa01ofM1;w003;51;40.018
trainGa01ofM1;w003;52;40.339
trainGa01ofM1;w003;53;28.030
trainGa01ofM1;w003;54;36.383
trainGa01ofM1;w003;55;33.693
trainGa01ofM1;w003;56;30.890
trainGa01ofM1;w003;57;42.243
trainGa01ofM1;w003;58;22.903
trainGa01ofM1;w003;59;44.326
trainGa01ofM1;w003;60;47.933
