trainGaId;trainGaNr;iterations;score
trainGa01ofS;w002;1;1.144
trainGa01ofS;w002;2;3.656
trainGa01ofS;w002;3;4.822
trainGa01ofS;w002;4;4.852
trainGa01ofS;w002;5;5.070
trainGa01ofS;w002;6;5.780
trainGa01ofS;w002;7;8.698
trainGa01ofS;w002;8;9.475
trainGa01ofS;w002;9;5.817
trainGa01ofS;w002;10;7.793
trainGa01ofS;w002;11;7.196
trainGa01ofS;w002;12;8.847
trainGa01ofS;w002;13;7.149
trainGa01ofS;w002;14;8.811
trainGa01ofS;w002;15;9.376
trainGa01ofS;w002;16;8.033
trainGa01ofS;w002;17;9.579
trainGa01ofS;w002;18;8.512
trainGa01ofS;w002;19;10.378
trainGa01ofS;w002;20;7.887
trainGa01ofS;w002;21;9.913
trainGa01ofS;w002;22;9.225
trainGa01ofS;w002;23;8.955
trainGa01ofS;w002;24;8.346
trainGa01ofS;w002;25;8.505
trainGa01ofS;w002;26;8.197
trainGa01ofS;w002;27;9.745
trainGa01ofS;w002;28;9.960
trainGa01ofS;w002;29;10.935
trainGa01ofS;w002;30;10.828
trainGa01ofS;w002;31;11.870
trainGa01ofS;w002;32;10.402
trainGa01ofS;w002;33;11.333
trainGa01ofS;w002;34;11.051
trainGa01ofS;w002;35;10.283
trainGa01ofS;w002;36;12.192
trainGa01ofS;w002;37;9.433
trainGa01ofS;w002;38;8.807
trainGa01ofS;w002;39;9.705
trainGa01ofS;w002;40;7.909
trainGa01ofS;w002;41;8.900
trainGa01ofS;w002;42;10.805
trainGa01ofS;w002;43;11.787
trainGa01ofS;w002;44;11.605
trainGa01ofS;w002;45;10.703
trainGa01ofS;w002;46;8.372
trainGa01ofS;w002;47;11.474
trainGa01ofS;w002;48;9.109
trainGa01ofS;w002;49;8.668
trainGa01ofS;w002;50;8.540
trainGa01ofS;w002;51;9.462
trainGa01ofS;w002;52;10.358
trainGa01ofS;w002;53;10.173
trainGa01ofS;w002;54;9.017
trainGa01ofS;w002;55;10.271
trainGa01ofS;w002;56;8.449
trainGa01ofS;w002;57;8.568
trainGa01ofS;w002;58;9.039
trainGa01ofS;w002;59;9.907
trainGa01ofS;w002;60;9.535
trainGa01ofS;w002;61;11.453
trainGa01ofS;w002;62;11.381
trainGa01ofS;w002;63;11.793
trainGa01ofS;w002;64;9.821
trainGa01ofS;w002;65;10.175
trainGa01ofS;w002;66;11.711
trainGa01ofS;w002;67;10.596
trainGa01ofS;w002;68;13.371
trainGa01ofS;w002;69;11.381
trainGa01ofS;w002;70;9.832
trainGa01ofS;w002;71;8.367
trainGa01ofS;w002;72;10.423
trainGa01ofS;w002;73;12.192
trainGa01ofS;w002;74;10.924
trainGa01ofS;w002;75;10.184
trainGa01ofS;w002;76;10.366
trainGa01ofS;w002;77;8.572
trainGa01ofS;w002;78;9.871
trainGa01ofS;w002;79;9.495
trainGa01ofS;w002;80;9.387
trainGa01ofS;w002;81;10.315
