trainGaId;trainGaNr;iterations;score
trainGa03;bob001;1;-0.484
trainGa03;bob001;2;-0.280
trainGa03;bob001;3;0.000
trainGa03;bob001;4;0.043
trainGa03;bob001;5;0.266
trainGa03;bob001;6;0.078
trainGa03;bob001;7;0.274
trainGa03;bob001;8;0.489
trainGa03;bob001;9;0.334
trainGa03;bob001;10;0.522
trainGa03;bob001;11;0.803
trainGa03;bob001;12;0.621
trainGa03;bob001;13;0.705
trainGa03;bob001;14;0.491
trainGa03;bob001;15;0.770
trainGa03;bob001;16;0.517
trainGa03;bob001;17;0.744
trainGa03;bob001;18;0.629
trainGa03;bob001;19;0.422
trainGa03;bob001;20;0.267
trainGa03;bob001;21;0.131
trainGa03;bob001;22;0.290
trainGa03;bob001;23;0.541
trainGa03;bob001;24;1.733
trainGa03;bob001;25;0.348
trainGa03;bob001;26;0.485
trainGa03;bob001;27;0.384
trainGa03;bob001;28;0.614
trainGa03;bob001;29;1.166
trainGa03;bob001;30;1.013
trainGa03;bob001;31;1.220
trainGa03;bob001;32;0.735
trainGa03;bob001;33;1.035
trainGa03;bob001;34;0.788
trainGa03;bob001;35;1.438
trainGa03;bob001;36;1.355
trainGa03;bob001;37;1.017
trainGa03;bob001;38;1.227
trainGa03;bob001;39;1.069
trainGa03;bob001;40;0.272
trainGa03;bob001;41;0.916
trainGa03;bob001;42;1.801
trainGa03;bob001;43;1.187
trainGa03;bob001;44;1.603
trainGa03;bob001;45;0.795
trainGa03;bob001;46;0.770
trainGa03;bob001;47;2.515
trainGa03;bob001;48;1.986
trainGa03;bob001;49;0.986
trainGa03;bob001;50;0.920
trainGa03;bob001;51;0.939
trainGa03;bob001;52;1.333
trainGa03;bob001;53;1.152
trainGa03;bob001;54;1.261
trainGa03;bob001;55;0.097
trainGa03;bob001;56;1.930
trainGa03;bob001;57;0.896
trainGa03;bob001;58;1.501
trainGa03;bob001;59;0.535
trainGa03;bob001;60;2.035
trainGa03;bob001;61;0.403
trainGa03;bob001;62;0.515
trainGa03;bob001;63;1.260
trainGa03;bob001;64;0.969
trainGa03;bob001;65;0.401
trainGa03;bob001;66;3.047
trainGa03;bob001;67;1.616
trainGa03;bob001;68;0.653
trainGa03;bob001;69;1.242
trainGa03;bob001;70;1.304
trainGa03;bob001;71;2.334
trainGa03;bob001;72;0.926
trainGa03;bob001;73;1.462
trainGa03;bob001;74;2.385
trainGa03;bob001;75;1.443
trainGa03;bob001;76;2.074
trainGa03;bob001;77;1.465
trainGa03;bob001;78;1.621
trainGa03;bob001;79;1.414
trainGa03;bob001;80;1.722
trainGa03;bob001;81;2.895
trainGa03;bob001;82;1.446
trainGa03;bob001;83;2.322
trainGa03;bob001;84;1.879
trainGa03;bob001;85;2.474
trainGa03;bob001;86;1.006
trainGa03;bob001;87;0.840
trainGa03;bob001;88;0.624
trainGa03;bob001;89;0.635
trainGa03;bob001;90;1.239
trainGa03;bob001;91;1.726
trainGa03;bob001;92;0.846
trainGa03;bob001;93;1.522
trainGa03;bob001;94;2.669
trainGa03;bob001;95;0.565
trainGa03;bob001;96;0.625
trainGa03;bob001;97;-0.553
trainGa03;bob001;98;1.296
trainGa03;bob001;99;2.161
trainGa03;bob001;100;2.000
trainGa03;bob001;101;1.098
trainGa03;bob001;102;3.073
trainGa03;bob001;103;1.589
trainGa03;bob001;104;1.235
trainGa03;bob001;105;0.296
trainGa03;bob001;106;2.503
trainGa03;bob001;107;0.705
trainGa03;bob001;108;2.352
trainGa03;bob001;109;2.944
trainGa03;bob001;110;1.834
trainGa03;bob001;111;0.104
trainGa03;bob001;112;2.528
trainGa03;bob001;113;3.630
trainGa03;bob001;114;2.606
trainGa03;bob001;115;1.705
trainGa03;bob001;116;1.478
trainGa03;bob001;117;2.777
trainGa03;bob001;118;2.385
trainGa03;bob001;119;1.971
trainGa03;bob001;120;3.252
trainGa03;bob001;121;1.922
trainGa03;bob001;122;2.245
trainGa03;bob001;123;3.187
trainGa03;bob001;124;2.249
trainGa03;bob001;125;3.063
trainGa03;bob001;126;3.557
trainGa03;bob001;127;2.384
trainGa03;bob001;128;2.789
trainGa03;bob001;129;2.113
trainGa03;bob001;130;3.843
trainGa03;bob001;131;4.507
trainGa03;bob001;132;3.923
trainGa03;bob001;133;5.580
trainGa03;bob001;134;3.058
trainGa03;bob001;135;2.069
trainGa03;bob001;136;5.365
trainGa03;bob001;137;4.268
trainGa03;bob001;138;2.953
trainGa03;bob001;139;4.194
trainGa03;bob001;140;3.911
trainGa03;bob001;141;2.680
trainGa03;bob001;142;4.833
trainGa03;bob001;143;3.762
trainGa03;bob001;144;1.841
trainGa03;bob001;145;2.594
trainGa03;bob001;146;2.530
trainGa03;bob001;147;2.440
trainGa03;bob001;148;3.514
trainGa03;bob001;149;2.980
trainGa03;bob001;150;2.398
trainGa03;bob001;151;3.462
trainGa03;bob001;152;3.696
trainGa03;bob001;153;1.337
trainGa03;bob001;154;1.349
trainGa03;bob001;155;1.391
trainGa03;bob001;156;2.299
trainGa03;bob001;157;2.949
trainGa03;bob001;158;2.856
trainGa03;bob001;159;1.164
trainGa03;bob001;160;2.484
trainGa03;bob001;161;2.248
trainGa03;bob001;162;1.829
trainGa03;bob001;163;1.583
trainGa03;bob001;164;1.592
trainGa03;bob001;165;3.493
trainGa03;bob001;166;2.624
trainGa03;bob001;167;3.657
trainGa03;bob001;168;0.227
trainGa03;bob001;169;2.034
trainGa03;bob001;170;1.911
trainGa03;bob001;171;1.762
trainGa03;bob001;172;2.894
trainGa03;bob001;173;2.912
trainGa03;bob001;174;3.210
trainGa03;bob001;175;3.386
trainGa03;bob001;176;3.070
trainGa03;bob001;177;3.619
trainGa03;bob001;178;3.578
trainGa03;bob001;179;3.905
trainGa03;bob001;180;2.541
trainGa03;bob001;181;3.818
trainGa03;bob001;182;4.728
trainGa03;bob001;183;4.076
trainGa03;bob001;184;4.913
trainGa03;bob001;185;5.730
trainGa03;bob001;186;4.055
trainGa03;bob001;187;5.571
trainGa03;bob001;188;5.675
trainGa03;bob001;189;5.099
trainGa03;bob001;190;3.602
trainGa03;bob001;191;3.413
trainGa03;bob001;192;6.615
trainGa03;bob001;193;6.888
trainGa03;bob001;194;5.043
trainGa03;bob001;195;6.627
trainGa03;bob001;196;5.721
trainGa03;bob001;197;3.565
trainGa03;bob001;198;5.994
trainGa03;bob001;199;4.670
trainGa03;bob001;200;4.513
trainGa03;bob001;201;5.263
trainGa03;bob001;202;5.623
trainGa03;bob001;203;7.676
trainGa03;bob001;204;6.234
trainGa03;bob001;205;7.119
trainGa03;bob001;206;6.114
trainGa03;bob001;207;3.954
trainGa03;bob001;208;4.101
trainGa03;bob001;209;4.081
trainGa03;bob001;210;6.829
trainGa03;bob001;211;5.035
trainGa03;bob001;212;3.425
trainGa03;bob001;213;3.628
trainGa03;bob001;214;5.241
trainGa03;bob001;215;4.427
trainGa03;bob001;216;2.695
trainGa03;bob001;217;4.117
trainGa03;bob001;218;6.990
trainGa03;bob001;219;5.832
trainGa03;bob001;220;3.989
trainGa03;bob001;221;3.634
trainGa03;bob001;222;3.864
trainGa03;bob001;223;2.584
trainGa03;bob001;224;3.364
trainGa03;bob001;225;2.174
trainGa03;bob001;226;2.199
trainGa03;bob001;227;2.132
trainGa03;bob001;228;2.714
trainGa03;bob001;229;2.226
trainGa03;bob001;230;3.915
trainGa03;bob001;231;1.762
trainGa03;bob001;232;1.178
trainGa03;bob001;233;3.180
trainGa03;bob001;234;3.779
trainGa03;bob001;235;3.206
trainGa03;bob001;236;4.070
trainGa03;bob001;237;2.262
trainGa03;bob001;238;2.735
trainGa03;bob001;239;3.880
trainGa03;bob001;240;1.785
trainGa03;bob001;241;2.716
trainGa03;bob001;242;3.500
