trainGaId;trainGaNr;iterations;score
trainGaKicks01;004;1;0.306
trainGaKicks01;004;2;0.108
trainGaKicks01;004;3;0.100
trainGaKicks01;004;4;0.225
trainGaKicks01;004;5;0.100
trainGaKicks01;004;6;0.125
trainGaKicks01;004;7;0.447
trainGaKicks01;004;8;0.233
trainGaKicks01;004;9;0.267
trainGaKicks01;004;10;0.421
trainGaKicks01;004;11;0.729
trainGaKicks01;004;12;0.516
trainGaKicks01;004;13;0.718
trainGaKicks01;004;14;0.435
trainGaKicks01;004;15;0.985
trainGaKicks01;004;16;0.597
trainGaKicks01;004;17;1.255
trainGaKicks01;004;18;0.435
trainGaKicks01;004;19;0.350
trainGaKicks01;004;20;0.720
trainGaKicks01;004;21;1.163
trainGaKicks01;004;22;0.677
trainGaKicks01;004;23;0.950
trainGaKicks01;004;24;1.197
trainGaKicks01;004;25;1.133
trainGaKicks01;004;26;0.790
trainGaKicks01;004;27;1.479
trainGaKicks01;004;28;0.892
trainGaKicks01;004;29;0.767
trainGaKicks01;004;30;1.072
trainGaKicks01;004;31;0.914
trainGaKicks01;004;32;0.498
trainGaKicks01;004;33;0.726
trainGaKicks01;004;34;0.139
trainGaKicks01;004;35;0.864
trainGaKicks01;004;36;0.866
trainGaKicks01;004;37;0.748
trainGaKicks01;004;38;0.517
trainGaKicks01;004;39;0.639
trainGaKicks01;004;40;0.459
trainGaKicks01;004;50;1.305
trainGaKicks01;004;60;1.700
trainGaKicks01;004;70;2.923
trainGaKicks01;004;80;3.718
trainGaKicks01;004;90;8.290
trainGaKicks01;004;100;8.487
trainGaKicks01;004;110;12.709
trainGaKicks01;004;120;14.408
trainGaKicks01;004;130;20.914
trainGaKicks01;004;140;28.061
trainGaKicks01;004;150;26.651
trainGaKicks01;004;160;29.896
trainGaKicks01;004;170;27.008
trainGaKicks01;004;180;21.845
trainGaKicks01;004;190;38.545
trainGaKicks01;004;200;36.158
trainGaKicks01;004;210;33.942
trainGaKicks01;004;220;35.232
trainGaKicks01;004;221;30.338
trainGaKicks01;004;222;31.411
trainGaKicks01;004;223;33.332
trainGaKicks01;004;224;30.517
trainGaKicks01;004;225;30.023
trainGaKicks01;004;226;30.155
trainGaKicks01;004;227;31.646
trainGaKicks01;004;228;28.285
trainGaKicks01;004;229;29.768
trainGaKicks01;004;230;25.721
trainGaKicks01;004;231;27.092
trainGaKicks01;004;232;29.378
trainGaKicks01;004;233;26.963
trainGaKicks01;004;234;31.133
trainGaKicks01;004;235;30.129
trainGaKicks01;004;236;28.601
trainGaKicks01;004;237;32.663
trainGaKicks01;004;238;33.358
trainGaKicks01;004;239;32.869
trainGaKicks01;004;240;36.275
trainGaKicks01;004;241;35.252
trainGaKicks01;004;242;36.362
trainGaKicks01;004;243;31.290
trainGaKicks01;004;244;32.631
trainGaKicks01;004;245;38.363
trainGaKicks01;004;246;34.557
trainGaKicks01;004;247;39.142
trainGaKicks01;004;248;37.654
trainGaKicks01;004;249;35.015
trainGaKicks01;004;250;36.058
trainGaKicks01;004;251;33.812
trainGaKicks01;004;252;35.934
trainGaKicks01;004;253;33.014
trainGaKicks01;004;254;36.133
trainGaKicks01;004;255;31.297
trainGaKicks01;004;256;35.070
trainGaKicks01;004;257;31.461
trainGaKicks01;004;258;32.510
trainGaKicks01;004;259;30.347
trainGaKicks01;004;260;33.116
trainGaKicks01;004;261;33.450
trainGaKicks01;004;262;31.285
trainGaKicks01;004;263;34.305
trainGaKicks01;004;264;27.996
trainGaKicks01;004;265;29.691
trainGaKicks01;004;266;36.334
trainGaKicks01;004;267;29.434
trainGaKicks01;004;268;35.589
trainGaKicks01;004;269;31.486
trainGaKicks01;004;270;30.602
trainGaKicks01;004;271;33.847
trainGaKicks01;004;272;31.137
trainGaKicks01;004;273;32.435
trainGaKicks01;004;274;32.181
trainGaKicks01;004;275;31.583
trainGaKicks01;004;276;37.400
trainGaKicks01;004;277;38.414
trainGaKicks01;004;278;36.348
trainGaKicks01;004;279;37.340
trainGaKicks01;004;280;40.891
trainGaKicks01;004;281;36.149
trainGaKicks01;004;282;33.677
trainGaKicks01;004;283;32.734
trainGaKicks01;004;284;35.355
trainGaKicks01;004;285;35.018
trainGaKicks01;004;286;29.243
trainGaKicks01;004;287;33.772
trainGaKicks01;004;288;30.611
trainGaKicks01;004;289;31.275
trainGaKicks01;004;290;31.910
trainGaKicks01;004;291;39.795
trainGaKicks01;004;292;38.265
trainGaKicks01;004;293;34.472
trainGaKicks01;004;294;33.855
trainGaKicks01;004;295;37.046
trainGaKicks01;004;296;36.976
trainGaKicks01;004;297;32.743
trainGaKicks01;004;298;34.135
trainGaKicks01;004;299;35.911
trainGaKicks01;004;300;28.764
trainGaKicks01;004;301;38.252
trainGaKicks01;004;302;32.312
trainGaKicks01;004;303;28.686
trainGaKicks01;004;304;30.791
trainGaKicks01;004;305;32.829
trainGaKicks01;004;306;33.046
trainGaKicks01;004;307;35.645
trainGaKicks01;004;308;33.827
trainGaKicks01;004;309;33.246
trainGaKicks01;004;310;31.216
trainGaKicks01;004;311;37.604
trainGaKicks01;004;312;39.192
trainGaKicks01;004;313;40.940
trainGaKicks01;004;314;38.079
trainGaKicks01;004;315;36.892
trainGaKicks01;004;316;34.216
trainGaKicks01;004;317;37.967
trainGaKicks01;004;318;30.167
trainGaKicks01;004;319;35.195
trainGaKicks01;004;320;32.240
trainGaKicks01;004;321;41.776
trainGaKicks01;004;322;42.873
trainGaKicks01;004;323;39.643
trainGaKicks01;004;324;41.902
trainGaKicks01;004;325;40.875
trainGaKicks01;004;326;37.996
trainGaKicks01;004;327;39.488
trainGaKicks01;004;328;37.915
trainGaKicks01;004;329;36.926
trainGaKicks01;004;330;41.183
trainGaKicks01;004;331;39.735
trainGaKicks01;004;332;34.445
trainGaKicks01;004;333;42.780
trainGaKicks01;004;334;41.133
trainGaKicks01;004;335;40.264
trainGaKicks01;004;336;36.544
trainGaKicks01;004;337;36.298
trainGaKicks01;004;338;42.987
trainGaKicks01;004;339;43.250
trainGaKicks01;004;340;42.857
trainGaKicks01;004;341;44.261
trainGaKicks01;004;342;40.660
trainGaKicks01;004;343;44.144
trainGaKicks01;004;344;40.905
trainGaKicks01;004;345;36.365
trainGaKicks01;004;346;39.081
trainGaKicks01;004;347;39.737
trainGaKicks01;004;348;41.157
trainGaKicks01;004;349;37.086
trainGaKicks01;004;350;41.465
trainGaKicks01;004;351;43.769
trainGaKicks01;004;352;37.799
trainGaKicks01;004;353;41.171
trainGaKicks01;004;354;41.475
trainGaKicks01;004;355;42.209
trainGaKicks01;004;356;40.043
trainGaKicks01;004;357;37.842
trainGaKicks01;004;358;37.450
trainGaKicks01;004;359;29.281
trainGaKicks01;004;360;33.913
trainGaKicks01;004;361;35.397
trainGaKicks01;004;362;32.617
trainGaKicks01;004;363;30.377
trainGaKicks01;004;364;33.514
trainGaKicks01;004;365;31.597
trainGaKicks01;004;366;29.026
trainGaKicks01;004;367;31.851
trainGaKicks01;004;368;31.566
trainGaKicks01;004;369;33.179
trainGaKicks01;004;370;36.846
trainGaKicks01;004;371;34.100
trainGaKicks01;004;372;33.483
trainGaKicks01;004;373;36.216
trainGaKicks01;004;374;31.725
trainGaKicks01;004;375;32.337
trainGaKicks01;004;376;37.252
trainGaKicks01;004;377;35.983
trainGaKicks01;004;378;39.091
trainGaKicks01;004;379;35.455
trainGaKicks01;004;380;37.361
trainGaKicks01;004;381;40.225
trainGaKicks01;004;382;37.079
trainGaKicks01;004;383;40.346
trainGaKicks01;004;384;36.462
trainGaKicks01;004;385;39.164
trainGaKicks01;004;386;34.624
trainGaKicks01;004;387;33.358
trainGaKicks01;004;388;34.936
trainGaKicks01;004;389;38.830
trainGaKicks01;004;390;39.386
trainGaKicks01;004;391;36.961
trainGaKicks01;004;392;41.406
trainGaKicks01;004;393;41.497
trainGaKicks01;004;394;38.692
trainGaKicks01;004;395;40.388
trainGaKicks01;004;396;39.060
trainGaKicks01;004;397;43.006
trainGaKicks01;004;398;40.239
trainGaKicks01;004;399;46.799
trainGaKicks01;004;400;42.258
trainGaKicks01;004;401;43.993
trainGaKicks01;004;402;41.188
trainGaKicks01;004;403;47.014
trainGaKicks01;004;404;48.757
trainGaKicks01;004;405;43.896
trainGaKicks01;004;406;41.576
trainGaKicks01;004;407;48.067
trainGaKicks01;004;408;41.482
trainGaKicks01;004;409;42.011
trainGaKicks01;004;410;41.282
trainGaKicks01;004;411;41.797
trainGaKicks01;004;412;40.647
trainGaKicks01;004;413;42.629
trainGaKicks01;004;414;44.277
trainGaKicks01;004;415;39.380
trainGaKicks01;004;416;40.735
trainGaKicks01;004;417;48.398
trainGaKicks01;004;418;43.830
