trainGaId;trainGaNr;iterations;score
trainGaKicks01;w001;1;0.071
trainGaKicks01;w001;2;0.219
trainGaKicks01;w001;3;0.100
trainGaKicks01;w001;4;0.121
trainGaKicks01;w001;5;0.425
trainGaKicks01;w001;6;0.521
trainGaKicks01;w001;7;0.208
trainGaKicks01;w001;8;1.048
trainGaKicks01;w001;9;0.526
trainGaKicks01;w001;10;0.380
trainGaKicks01;w001;11;0.996
trainGaKicks01;w001;12;0.925
trainGaKicks01;w001;13;0.773
trainGaKicks01;w001;14;0.352
trainGaKicks01;w001;15;0.991
trainGaKicks01;w001;16;0.995
trainGaKicks01;w001;17;1.482
trainGaKicks01;w001;18;0.765
trainGaKicks01;w001;19;0.883
trainGaKicks01;w001;20;1.600
trainGaKicks01;w001;21;0.528
trainGaKicks01;w001;22;1.041
trainGaKicks01;w001;23;0.321
trainGaKicks01;w001;24;1.299
trainGaKicks01;w001;25;1.296
trainGaKicks01;w001;26;1.298
trainGaKicks01;w001;27;1.018
trainGaKicks01;w001;28;1.549
trainGaKicks01;w001;29;1.341
trainGaKicks01;w001;30;1.007
trainGaKicks01;w001;31;1.545
trainGaKicks01;w001;32;1.046
trainGaKicks01;w001;33;1.273
trainGaKicks01;w001;34;0.987
trainGaKicks01;w001;35;1.102
trainGaKicks01;w001;36;1.025
trainGaKicks01;w001;37;1.421
trainGaKicks01;w001;38;1.592
trainGaKicks01;w001;39;0.985
trainGaKicks01;w001;40;1.162
trainGaKicks01;w001;41;1.506
trainGaKicks01;w001;42;1.262
trainGaKicks01;w001;43;1.935
trainGaKicks01;w001;44;1.740
trainGaKicks01;w001;45;1.810
trainGaKicks01;w001;46;1.414
trainGaKicks01;w001;47;1.084
trainGaKicks01;w001;48;1.662
trainGaKicks01;w001;49;2.024
trainGaKicks01;w001;50;1.893
trainGaKicks01;w001;51;1.079
trainGaKicks01;w001;52;1.949
trainGaKicks01;w001;53;1.316
trainGaKicks01;w001;54;1.942
trainGaKicks01;w001;55;1.466
trainGaKicks01;w001;56;1.901
trainGaKicks01;w001;57;1.195
trainGaKicks01;w001;58;1.585
trainGaKicks01;w001;59;1.374
trainGaKicks01;w001;60;1.910
trainGaKicks01;w001;61;1.887
trainGaKicks01;w001;62;1.609
trainGaKicks01;w001;63;1.212
trainGaKicks01;w001;64;2.243
trainGaKicks01;w001;65;2.304
trainGaKicks01;w001;66;2.384
trainGaKicks01;w001;67;2.078
trainGaKicks01;w001;68;2.671
trainGaKicks01;w001;69;2.441
trainGaKicks01;w001;70;2.267
trainGaKicks01;w001;71;1.432
trainGaKicks01;w001;72;1.998
trainGaKicks01;w001;73;2.222
trainGaKicks01;w001;74;2.605
trainGaKicks01;w001;75;2.801
trainGaKicks01;w001;76;1.907
trainGaKicks01;w001;77;2.321
trainGaKicks01;w001;78;1.654
trainGaKicks01;w001;79;2.505
trainGaKicks01;w001;80;1.943
trainGaKicks01;w001;81;2.949
trainGaKicks01;w001;82;1.820
trainGaKicks01;w001;83;2.677
trainGaKicks01;w001;84;2.485
trainGaKicks01;w001;85;3.260
trainGaKicks01;w001;86;2.479
trainGaKicks01;w001;87;2.261
trainGaKicks01;w001;88;2.750
trainGaKicks01;w001;89;2.343
trainGaKicks01;w001;90;2.525
trainGaKicks01;w001;91;3.087
trainGaKicks01;w001;92;2.739
trainGaKicks01;w001;93;3.050
trainGaKicks01;w001;94;2.746
trainGaKicks01;w001;95;2.759
trainGaKicks01;w001;96;2.406
trainGaKicks01;w001;97;2.493
trainGaKicks01;w001;98;2.496
trainGaKicks01;w001;99;2.688
trainGaKicks01;w001;100;2.678
trainGaKicks01;w001;101;2.489
trainGaKicks01;w001;102;3.057
trainGaKicks01;w001;103;1.832
trainGaKicks01;w001;104;3.337
trainGaKicks01;w001;105;3.959
trainGaKicks01;w001;106;2.886
trainGaKicks01;w001;107;2.329
trainGaKicks01;w001;108;3.208
trainGaKicks01;w001;109;3.582
trainGaKicks01;w001;110;2.640
trainGaKicks01;w001;111;3.364
trainGaKicks01;w001;112;2.374
trainGaKicks01;w001;113;3.399
trainGaKicks01;w001;114;3.105
trainGaKicks01;w001;115;4.127
trainGaKicks01;w001;116;4.079
trainGaKicks01;w001;117;4.200
trainGaKicks01;w001;118;3.132
trainGaKicks01;w001;119;2.919
trainGaKicks01;w001;120;3.542
trainGaKicks01;w001;121;3.976
trainGaKicks01;w001;122;5.233
trainGaKicks01;w001;123;3.882
trainGaKicks01;w001;124;3.982
trainGaKicks01;w001;125;3.262
trainGaKicks01;w001;126;4.522
trainGaKicks01;w001;127;3.612
trainGaKicks01;w001;128;5.811
trainGaKicks01;w001;129;5.078
trainGaKicks01;w001;130;4.456
trainGaKicks01;w001;131;4.977
trainGaKicks01;w001;132;6.050
trainGaKicks01;w001;133;6.245
trainGaKicks01;w001;134;5.277
trainGaKicks01;w001;135;5.799
trainGaKicks01;w001;136;6.101
trainGaKicks01;w001;137;5.150
trainGaKicks01;w001;138;4.812
trainGaKicks01;w001;139;6.784
trainGaKicks01;w001;140;5.649
trainGaKicks01;w001;141;6.278
trainGaKicks01;w001;142;5.937
trainGaKicks01;w001;143;5.691
