trainGaId;trainGaNr;iterations;score
trainGa01_mS;w001;1;0.000
trainGa01_mS;w001;2;0.056
trainGa01_mS;w001;3;0.125
trainGa01_mS;w001;4;0.000
trainGa01_mS;w001;5;0.384
trainGa01_mS;w001;6;0.175
trainGa01_mS;w001;7;0.187
trainGa01_mS;w001;8;0.195
trainGa01_mS;w001;9;0.944
trainGa01_mS;w001;10;0.471
trainGa01_mS;w001;11;0.247
trainGa01_mS;w001;12;0.571
trainGa01_mS;w001;13;-0.613
trainGa01_mS;w001;14;0.089
trainGa01_mS;w001;15;-0.357
trainGa01_mS;w001;16;1.067
trainGa01_mS;w001;17;0.940
trainGa01_mS;w001;18;0.749
trainGa01_mS;w001;19;0.926
trainGa01_mS;w001;20;2.609
trainGa01_mS;w001;21;1.093
trainGa01_mS;w001;22;0.853
trainGa01_mS;w001;23;-0.288
trainGa01_mS;w001;24;0.731
trainGa01_mS;w001;25;0.929
trainGa01_mS;w001;26;3.659
trainGa01_mS;w001;27;0.764
trainGa01_mS;w001;28;0.692
trainGa01_mS;w001;29;1.124
trainGa01_mS;w001;30;0.744
trainGa01_mS;w001;31;1.087
trainGa01_mS;w001;32;0.469
trainGa01_mS;w001;33;2.485
trainGa01_mS;w001;34;-0.862
trainGa01_mS;w001;35;1.564
trainGa01_mS;w001;36;0.597
trainGa01_mS;w001;37;0.869
trainGa01_mS;w001;38;1.879
trainGa01_mS;w001;39;-0.055
trainGa01_mS;w001;40;0.799
trainGa01_mS;w001;41;2.325
trainGa01_mS;w001;42;0.524
trainGa01_mS;w001;43;-0.323
trainGa01_mS;w001;44;0.091
trainGa01_mS;w001;45;1.627
trainGa01_mS;w001;46;0.787
trainGa01_mS;w001;47;1.130
trainGa01_mS;w001;48;0.229
trainGa01_mS;w001;49;0.274
trainGa01_mS;w001;50;0.279
trainGa01_mS;w001;51;0.840
trainGa01_mS;w001;52;0.539
trainGa01_mS;w001;53;2.493
trainGa01_mS;w001;54;0.389
trainGa01_mS;w001;55;2.657
trainGa01_mS;w001;56;1.355
trainGa01_mS;w001;57;0.854
trainGa01_mS;w001;58;0.601
trainGa01_mS;w001;59;1.580
trainGa01_mS;w001;60;0.975
trainGa01_mS;w001;61;-1.151
trainGa01_mS;w001;62;0.463
trainGa01_mS;w001;63;0.632
trainGa01_mS;w001;64;4.089
trainGa01_mS;w001;65;0.968
trainGa01_mS;w001;66;2.088
trainGa01_mS;w001;67;-0.495
trainGa01_mS;w001;68;0.443
trainGa01_mS;w001;69;-0.736
trainGa01_mS;w001;70;1.141
trainGa01_mS;w001;71;1.188
trainGa01_mS;w001;72;-0.313
trainGa01_mS;w001;73;1.062
trainGa01_mS;w001;74;1.661
trainGa01_mS;w001;75;1.613
trainGa01_mS;w001;76;1.528
trainGa01_mS;w001;77;-0.155
trainGa01_mS;w001;78;1.006
trainGa01_mS;w001;79;0.329
trainGa01_mS;w001;80;1.422
trainGa01_mS;w001;81;2.079
trainGa01_mS;w001;82;-0.360
trainGa01_mS;w001;83;0.889
trainGa01_mS;w001;84;3.685
trainGa01_mS;w001;85;0.613
trainGa01_mS;w001;86;1.084
trainGa01_mS;w001;87;4.155
trainGa01_mS;w001;88;1.111
trainGa01_mS;w001;89;0.555
trainGa01_mS;w001;90;0.772
trainGa01_mS;w001;91;1.611
trainGa01_mS;w001;92;-1.090
trainGa01_mS;w001;93;1.221
trainGa01_mS;w001;94;1.003
trainGa01_mS;w001;95;1.908
trainGa01_mS;w001;96;0.539
trainGa01_mS;w001;97;1.195
trainGa01_mS;w001;98;0.544
trainGa01_mS;w001;99;0.807
trainGa01_mS;w001;100;1.161
trainGa01_mS;w001;101;0.292
trainGa01_mS;w001;102;1.073
trainGa01_mS;w001;103;1.656
trainGa01_mS;w001;104;0.864
trainGa01_mS;w001;105;1.383
trainGa01_mS;w001;106;0.820
trainGa01_mS;w001;107;1.664
trainGa01_mS;w001;108;1.476
trainGa01_mS;w001;109;1.335
trainGa01_mS;w001;110;-0.819
trainGa01_mS;w001;111;1.202
trainGa01_mS;w001;112;0.939
trainGa01_mS;w001;113;0.383
trainGa01_mS;w001;114;0.614
trainGa01_mS;w001;115;0.219
trainGa01_mS;w001;116;1.244
trainGa01_mS;w001;117;0.910
trainGa01_mS;w001;118;0.569
trainGa01_mS;w001;119;1.433
trainGa01_mS;w001;120;0.521
trainGa01_mS;w001;121;2.576
trainGa01_mS;w001;122;3.365
trainGa01_mS;w001;123;1.544
trainGa01_mS;w001;124;3.229
trainGa01_mS;w001;125;1.243
trainGa01_mS;w001;126;4.832
trainGa01_mS;w001;127;0.912
trainGa01_mS;w001;128;3.267
trainGa01_mS;w001;129;0.731
trainGa01_mS;w001;130;0.846
trainGa01_mS;w001;131;-0.214
trainGa01_mS;w001;132;0.598
trainGa01_mS;w001;133;0.977
trainGa01_mS;w001;134;2.467
trainGa01_mS;w001;135;2.746
trainGa01_mS;w001;136;0.997
trainGa01_mS;w001;137;2.087
trainGa01_mS;w001;138;0.366
trainGa01_mS;w001;139;1.456
trainGa01_mS;w001;140;2.107
trainGa01_mS;w001;141;1.878
trainGa01_mS;w001;142;1.377
trainGa01_mS;w001;143;3.071
trainGa01_mS;w001;144;1.128
trainGa01_mS;w001;145;2.857
trainGa01_mS;w001;146;0.827
trainGa01_mS;w001;147;4.131
trainGa01_mS;w001;148;2.491
trainGa01_mS;w001;149;0.728
trainGa01_mS;w001;150;2.952
trainGa01_mS;w001;151;1.079
trainGa01_mS;w001;152;4.502
trainGa01_mS;w001;153;2.198
trainGa01_mS;w001;154;0.509
trainGa01_mS;w001;155;3.589
trainGa01_mS;w001;156;0.720
trainGa01_mS;w001;157;1.399
trainGa01_mS;w001;158;1.938
trainGa01_mS;w001;159;1.629
trainGa01_mS;w001;160;2.590
trainGa01_mS;w001;161;2.927
trainGa01_mS;w001;162;2.344
trainGa01_mS;w001;163;-0.249
trainGa01_mS;w001;164;1.351
trainGa01_mS;w001;165;-2.529
trainGa01_mS;w001;166;0.896
trainGa01_mS;w001;167;0.187
trainGa01_mS;w001;168;1.625
trainGa01_mS;w001;169;1.772
trainGa01_mS;w001;170;2.639
trainGa01_mS;w001;171;0.961
trainGa01_mS;w001;172;0.883
trainGa01_mS;w001;173;2.069
trainGa01_mS;w001;174;1.257
trainGa01_mS;w001;175;3.946
