trainGaId;trainGaNr;iterations;score
trainGa01m50;bob002;1;0.071
trainGa01m50;bob002;2;0.057
trainGa01m50;bob002;3;-0.358
trainGa01m50;bob002;4;0.067
trainGa01m50;bob002;5;0.327
trainGa01m50;bob002;6;0.133
trainGa01m50;bob002;7;0.137
trainGa01m50;bob002;8;0.133
trainGa01m50;bob002;9;0.090
trainGa01m50;bob002;10;0.498
trainGa01m50;bob002;11;-0.747
trainGa01m50;bob002;12;0.519
trainGa01m50;bob002;13;0.548
trainGa01m50;bob002;14;0.624
trainGa01m50;bob002;15;-0.791
trainGa01m50;bob002;16;0.320
trainGa01m50;bob002;17;0.340
trainGa01m50;bob002;18;0.915
trainGa01m50;bob002;19;1.030
trainGa01m50;bob002;20;0.642
trainGa01m50;bob002;21;0.691
trainGa01m50;bob002;22;0.897
trainGa01m50;bob002;23;0.241
trainGa01m50;bob002;24;0.325
trainGa01m50;bob002;25;0.247
trainGa01m50;bob002;26;0.207
trainGa01m50;bob002;27;1.260
trainGa01m50;bob002;28;0.378
trainGa01m50;bob002;29;0.500
trainGa01m50;bob002;30;1.060
trainGa01m50;bob002;31;0.034
trainGa01m50;bob002;32;0.794
trainGa01m50;bob002;33;1.138
trainGa01m50;bob002;34;0.324
trainGa01m50;bob002;35;-0.217
trainGa01m50;bob002;36;-0.696
trainGa01m50;bob002;37;0.965
trainGa01m50;bob002;38;0.050
trainGa01m50;bob002;39;1.298
trainGa01m50;bob002;40;1.892
trainGa01m50;bob002;41;0.722
trainGa01m50;bob002;42;0.243
trainGa01m50;bob002;43;0.980
trainGa01m50;bob002;44;1.007
trainGa01m50;bob002;45;-0.099
trainGa01m50;bob002;46;0.774
trainGa01m50;bob002;47;-0.035
trainGa01m50;bob002;48;0.745
trainGa01m50;bob002;49;1.854
trainGa01m50;bob002;50;1.199
trainGa01m50;bob002;51;2.330
trainGa01m50;bob002;52;0.510
trainGa01m50;bob002;53;0.876
trainGa01m50;bob002;54;0.821
trainGa01m50;bob002;55;0.271
trainGa01m50;bob002;56;0.608
trainGa01m50;bob002;57;0.303
trainGa01m50;bob002;58;0.416
trainGa01m50;bob002;59;0.700
trainGa01m50;bob002;60;2.326
