trainGaId;trainGaNr;iterations;score
trainGa04G0;w002;1;4.583
trainGa04G0;w002;2;6.078
trainGa04G0;w002;3;8.431
trainGa04G0;w002;4;12.874
trainGa04G0;w002;5;12.263
trainGa04G0;w002;6;15.468
trainGa04G0;w002;7;15.180
trainGa04G0;w002;8;14.436
trainGa04G0;w002;9;17.692
trainGa04G0;w002;10;16.310
trainGa04G0;w002;11;17.770
trainGa04G0;w002;12;21.659
trainGa04G0;w002;13;23.847
trainGa04G0;w002;14;21.738
trainGa04G0;w002;15;21.519
trainGa04G0;w002;16;23.052
trainGa04G0;w002;17;24.586
trainGa04G0;w002;18;21.360
trainGa04G0;w002;19;23.171
trainGa04G0;w002;20;27.723
trainGa04G0;w002;21;26.494
trainGa04G0;w002;22;24.042
trainGa04G0;w002;23;27.076
trainGa04G0;w002;24;24.875
trainGa04G0;w002;25;24.531
trainGa04G0;w002;26;23.063
trainGa04G0;w002;27;27.327
trainGa04G0;w002;28;28.115
trainGa04G0;w002;29;24.056
trainGa04G0;w002;30;29.848
trainGa04G0;w002;31;25.789
trainGa04G0;w002;32;31.326
trainGa04G0;w002;33;30.938
trainGa04G0;w002;34;33.608
trainGa04G0;w002;35;32.625
trainGa04G0;w002;36;31.632
trainGa04G0;w002;37;35.330
trainGa04G0;w002;38;42.259
trainGa04G0;w002;39;33.250
trainGa04G0;w002;40;34.183
trainGa04G0;w002;41;37.040
trainGa04G0;w002;42;39.851
trainGa04G0;w002;43;35.487
trainGa04G0;w002;44;37.294
trainGa04G0;w002;45;35.634
trainGa04G0;w002;46;38.680
trainGa04G0;w002;47;35.270
trainGa04G0;w002;48;41.233
trainGa04G0;w002;49;39.500
trainGa04G0;w002;50;36.937
trainGa04G0;w002;51;40.830
trainGa04G0;w002;52;37.474
trainGa04G0;w002;53;47.038
trainGa04G0;w002;54;43.869
trainGa04G0;w002;55;39.906
trainGa04G0;w002;56;40.841
trainGa04G0;w002;57;46.223
trainGa04G0;w002;58;47.142
trainGa04G0;w002;59;56.076
trainGa04G0;w002;60;50.536
trainGa04G0;w002;61;53.556
trainGa04G0;w002;62;50.348
trainGa04G0;w002;63;54.939
trainGa04G0;w002;64;55.196
trainGa04G0;w002;65;63.646
trainGa04G0;w002;66;61.152
trainGa04G0;w002;67;66.942
trainGa04G0;w002;68;66.866
trainGa04G0;w002;69;68.026
trainGa04G0;w002;70;76.135
trainGa04G0;w002;71;70.942
trainGa04G0;w002;72;76.503
trainGa04G0;w002;73;68.157
trainGa04G0;w002;74;73.066
trainGa04G0;w002;75;72.917
trainGa04G0;w002;76;76.416
trainGa04G0;w002;77;81.181
trainGa04G0;w002;78;81.532
trainGa04G0;w002;79;80.834
trainGa04G0;w002;80;75.317
trainGa04G0;w002;81;70.180
trainGa04G0;w002;82;77.716
trainGa04G0;w002;83;73.478
trainGa04G0;w002;84;72.586
trainGa04G0;w002;85;73.753
trainGa04G0;w002;86;70.685
trainGa04G0;w002;87;77.245
trainGa04G0;w002;88;77.328
trainGa04G0;w002;89;82.568
trainGa04G0;w002;90;75.949
trainGa04G0;w002;91;71.762
trainGa04G0;w002;92;79.074
trainGa04G0;w002;93;68.403
trainGa04G0;w002;94;71.349
trainGa04G0;w002;95;74.391
trainGa04G0;w002;96;72.987
trainGa04G0;w002;97;74.930
trainGa04G0;w002;98;70.349
trainGa04G0;w002;99;77.832
trainGa04G0;w002;100;63.560
trainGa04G0;w002;101;85.327
trainGa04G0;w002;102;76.639
trainGa04G0;w002;103;83.325
trainGa04G0;w002;104;75.772
trainGa04G0;w002;105;76.367
trainGa04G0;w002;106;78.918
trainGa04G0;w002;107;76.594
trainGa04G0;w002;108;79.133
trainGa04G0;w002;109;74.053
trainGa04G0;w002;110;78.992
trainGa04G0;w002;111;78.741
trainGa04G0;w002;112;67.725
trainGa04G0;w002;113;63.428
trainGa04G0;w002;114;80.607
trainGa04G0;w002;115;77.075
trainGa04G0;w002;116;76.617
trainGa04G0;w002;117;77.390
trainGa04G0;w002;118;78.724
trainGa04G0;w002;119;77.639
trainGa04G0;w002;120;80.573
trainGa04G0;w002;121;74.252
trainGa04G0;w002;122;84.765
trainGa04G0;w002;123;82.872
trainGa04G0;w002;124;89.097
trainGa04G0;w002;125;90.185
trainGa04G0;w002;126;94.456
trainGa04G0;w002;127;102.024
trainGa04G0;w002;128;109.102
trainGa04G0;w002;129;105.933
trainGa04G0;w002;130;109.532
trainGa04G0;w002;131;108.947
trainGa04G0;w002;132;110.078
trainGa04G0;w002;133;105.421
trainGa04G0;w002;134;118.362
trainGa04G0;w002;135;115.864
trainGa04G0;w002;136;104.740
trainGa04G0;w002;137;115.205
trainGa04G0;w002;138;122.355
trainGa04G0;w002;139;117.634
trainGa04G0;w002;140;116.269
trainGa04G0;w002;141;115.861
trainGa04G0;w002;142;116.991
trainGa04G0;w002;143;123.486
trainGa04G0;w002;144;115.344
