trainGaId;trainGaNr;iterations;score
trainGa05;w001;1;0.176
trainGa05;w001;2;0.000
trainGa05;w001;3;0.473
trainGa05;w001;4;0.254
trainGa05;w001;5;0.929
trainGa05;w001;6;0.517
trainGa05;w001;7;0.808
trainGa05;w001;8;0.742
trainGa05;w001;9;0.990
trainGa05;w001;10;0.523
trainGa05;w001;11;1.952
trainGa05;w001;12;0.443
trainGa05;w001;13;1.144
trainGa05;w001;14;0.902
trainGa05;w001;15;2.017
trainGa05;w001;16;2.254
trainGa05;w001;17;2.070
trainGa05;w001;18;0.855
trainGa05;w001;19;0.797
trainGa05;w001;20;0.613
trainGa05;w001;21;0.409
trainGa05;w001;22;1.794
trainGa05;w001;23;0.807
trainGa05;w001;24;0.365
trainGa05;w001;25;2.110
trainGa05;w001;26;1.077
trainGa05;w001;27;1.234
trainGa05;w001;28;1.070
trainGa05;w001;29;1.324
trainGa05;w001;30;0.583
trainGa05;w001;31;0.980
trainGa05;w001;32;0.208
trainGa05;w001;33;0.627
trainGa05;w001;34;0.760
trainGa05;w001;35;1.099
trainGa05;w001;36;0.413
trainGa05;w001;37;2.140
trainGa05;w001;38;1.236
trainGa05;w001;39;-0.189
trainGa05;w001;40;1.316
trainGa05;w001;41;1.538
trainGa05;w001;42;1.736
trainGa05;w001;43;1.239
trainGa05;w001;44;1.756
trainGa05;w001;45;1.270
trainGa05;w001;46;1.408
trainGa05;w001;47;2.223
trainGa05;w001;48;2.668
trainGa05;w001;49;2.336
trainGa05;w001;50;1.632
trainGa05;w001;51;2.900
trainGa05;w001;52;5.482
trainGa05;w001;53;2.306
trainGa05;w001;54;3.263
trainGa05;w001;55;6.079
trainGa05;w001;56;3.616
trainGa05;w001;57;3.390
trainGa05;w001;58;3.430
trainGa05;w001;59;2.042
trainGa05;w001;60;4.882
trainGa05;w001;61;3.494
trainGa05;w001;62;3.698
trainGa05;w001;63;3.695
trainGa05;w001;64;3.186
trainGa05;w001;65;1.886
trainGa05;w001;66;5.687
trainGa05;w001;67;4.403
