trainGaId;trainGaNr;iterations;score
trainGa01_mM;bob002;1;1.246
trainGa01_mM;bob002;2;0.183
trainGa01_mM;bob002;3;0.056
trainGa01_mM;bob002;4;1.417
trainGa01_mM;bob002;5;0.696
trainGa01_mM;bob002;6;0.483
trainGa01_mM;bob002;7;0.802
trainGa01_mM;bob002;8;0.063
trainGa01_mM;bob002;9;0.421
trainGa01_mM;bob002;10;1.305
trainGa01_mM;bob002;11;0.301
trainGa01_mM;bob002;12;0.056
trainGa01_mM;bob002;13;0.833
trainGa01_mM;bob002;14;0.291
trainGa01_mM;bob002;15;0.778
trainGa01_mM;bob002;16;0.171
trainGa01_mM;bob002;17;-0.165
trainGa01_mM;bob002;18;1.118
trainGa01_mM;bob002;19;0.782
trainGa01_mM;bob002;20;0.979
trainGa01_mM;bob002;21;0.285
trainGa01_mM;bob002;22;-0.125
trainGa01_mM;bob002;23;0.403
trainGa01_mM;bob002;24;0.630
trainGa01_mM;bob002;25;1.207
trainGa01_mM;bob002;26;1.135
trainGa01_mM;bob002;27;1.572
trainGa01_mM;bob002;28;0.678
trainGa01_mM;bob002;29;0.471
trainGa01_mM;bob002;30;0.465
trainGa01_mM;bob002;31;2.895
trainGa01_mM;bob002;32;0.521
trainGa01_mM;bob002;33;1.486
trainGa01_mM;bob002;34;1.389
trainGa01_mM;bob002;35;-0.210
trainGa01_mM;bob002;36;0.724
trainGa01_mM;bob002;37;1.631
trainGa01_mM;bob002;38;1.430
trainGa01_mM;bob002;39;-0.179
trainGa01_mM;bob002;40;0.717
trainGa01_mM;bob002;41;1.503
trainGa01_mM;bob002;42;1.409
trainGa01_mM;bob002;43;1.361
trainGa01_mM;bob002;44;1.205
trainGa01_mM;bob002;45;0.570
trainGa01_mM;bob002;46;2.794
trainGa01_mM;bob002;47;0.810
trainGa01_mM;bob002;48;3.788
trainGa01_mM;bob002;49;2.176
trainGa01_mM;bob002;50;2.671
trainGa01_mM;bob002;51;1.107
trainGa01_mM;bob002;52;-0.325
trainGa01_mM;bob002;53;1.035
trainGa01_mM;bob002;54;-0.331
trainGa01_mM;bob002;55;1.428
trainGa01_mM;bob002;56;0.818
trainGa01_mM;bob002;57;1.858
trainGa01_mM;bob002;58;2.469
trainGa01_mM;bob002;59;1.635
trainGa01_mM;bob002;60;1.430
trainGa01_mM;bob002;61;1.562
trainGa01_mM;bob002;62;8.027
trainGa01_mM;bob002;63;1.259
trainGa01_mM;bob002;64;2.868
trainGa01_mM;bob002;65;2.415
trainGa01_mM;bob002;66;2.912
trainGa01_mM;bob002;67;2.314
trainGa01_mM;bob002;68;3.201
trainGa01_mM;bob002;69;3.376
trainGa01_mM;bob002;70;1.840
trainGa01_mM;bob002;71;4.594
trainGa01_mM;bob002;72;3.280
trainGa01_mM;bob002;73;4.517
trainGa01_mM;bob002;74;3.371
trainGa01_mM;bob002;75;3.501
trainGa01_mM;bob002;76;6.765
trainGa01_mM;bob002;77;4.380
trainGa01_mM;bob002;78;8.899
trainGa01_mM;bob002;79;8.459
trainGa01_mM;bob002;80;3.614
trainGa01_mM;bob002;81;5.281
trainGa01_mM;bob002;82;3.925
trainGa01_mM;bob002;83;2.942
trainGa01_mM;bob002;84;5.985
trainGa01_mM;bob002;85;11.728
trainGa01_mM;bob002;86;6.519
trainGa01_mM;bob002;87;9.102
trainGa01_mM;bob002;88;10.167
trainGa01_mM;bob002;89;7.818
trainGa01_mM;bob002;90;5.211
trainGa01_mM;bob002;91;12.048
trainGa01_mM;bob002;92;8.309
trainGa01_mM;bob002;93;11.690
trainGa01_mM;bob002;94;9.755
trainGa01_mM;bob002;95;7.711
