trainGaId;trainGaNr;iterations;score
trainGa01ofM;w001;1;2.055
trainGa01ofM;w001;2;3.588
trainGa01ofM;w001;3;3.881
trainGa01ofM;w001;4;2.776
trainGa01ofM;w001;5;2.940
trainGa01ofM;w001;6;3.813
trainGa01ofM;w001;7;7.199
trainGa01ofM;w001;8;5.686
trainGa01ofM;w001;9;3.983
trainGa01ofM;w001;10;5.476
trainGa01ofM;w001;11;5.249
trainGa01ofM;w001;12;5.373
trainGa01ofM;w001;13;5.610
trainGa01ofM;w001;14;6.346
trainGa01ofM;w001;15;11.444
trainGa01ofM;w001;16;6.273
trainGa01ofM;w001;17;10.558
trainGa01ofM;w001;18;13.467
trainGa01ofM;w001;19;13.514
trainGa01ofM;w001;20;10.855
trainGa01ofM;w001;21;10.643
trainGa01ofM;w001;22;11.178
trainGa01ofM;w001;23;11.766
trainGa01ofM;w001;24;14.252
trainGa01ofM;w001;25;14.292
trainGa01ofM;w001;26;13.101
trainGa01ofM;w001;27;9.155
trainGa01ofM;w001;28;8.371
trainGa01ofM;w001;29;11.893
trainGa01ofM;w001;30;11.141
trainGa01ofM;w001;31;9.388
trainGa01ofM;w001;32;9.922
trainGa01ofM;w001;33;8.488
trainGa01ofM;w001;34;13.394
trainGa01ofM;w001;35;14.817
trainGa01ofM;w001;36;12.966
trainGa01ofM;w001;37;14.436
trainGa01ofM;w001;38;9.623
trainGa01ofM;w001;39;23.389
trainGa01ofM;w001;40;11.730
trainGa01ofM;w001;41;18.424
trainGa01ofM;w001;42;11.935
trainGa01ofM;w001;43;9.428
trainGa01ofM;w001;44;11.453
trainGa01ofM;w001;45;12.488
trainGa01ofM;w001;46;10.949
trainGa01ofM;w001;47;14.389
trainGa01ofM;w001;48;13.341
trainGa01ofM;w001;49;16.952
trainGa01ofM;w001;50;13.587
trainGa01ofM;w001;51;14.306
trainGa01ofM;w001;52;10.834
trainGa01ofM;w001;53;12.668
trainGa01ofM;w001;54;12.506
trainGa01ofM;w001;55;15.024
trainGa01ofM;w001;56;18.456
trainGa01ofM;w001;57;18.271
trainGa01ofM;w001;58;8.663
trainGa01ofM;w001;59;11.806
trainGa01ofM;w001;60;18.012
trainGa01ofM;w001;61;12.956
trainGa01ofM;w001;62;14.293
trainGa01ofM;w001;63;16.698
trainGa01ofM;w001;64;18.307
trainGa01ofM;w001;65;15.341
trainGa01ofM;w001;66;15.837
trainGa01ofM;w001;67;21.249
trainGa01ofM;w001;68;19.502
trainGa01ofM;w001;69;19.211
trainGa01ofM;w001;70;18.126
trainGa01ofM;w001;71;10.886
trainGa01ofM;w001;72;20.565
trainGa01ofM;w001;73;16.981
trainGa01ofM;w001;74;16.389
