trainGaId;trainGaNr;iterations;score
trainGa04K0;w001;1;1.277
trainGa04K0;w001;2;2.368
trainGa04K0;w001;3;3.421
trainGa04K0;w001;4;2.596
trainGa04K0;w001;5;3.736
trainGa04K0;w001;6;3.401
trainGa04K0;w001;7;6.895
trainGa04K0;w001;8;4.861
trainGa04K0;w001;9;4.683
trainGa04K0;w001;10;5.438
trainGa04K0;w001;11;5.208
trainGa04K0;w001;12;4.173
trainGa04K0;w001;13;6.450
trainGa04K0;w001;14;8.632
trainGa04K0;w001;15;6.972
trainGa04K0;w001;16;7.328
trainGa04K0;w001;17;7.961
trainGa04K0;w001;18;8.305
trainGa04K0;w001;19;10.049
trainGa04K0;w001;20;8.322
trainGa04K0;w001;21;9.417
trainGa04K0;w001;22;11.009
trainGa04K0;w001;23;8.671
trainGa04K0;w001;24;9.938
trainGa04K0;w001;25;10.097
trainGa04K0;w001;26;12.375
trainGa04K0;w001;27;9.904
trainGa04K0;w001;28;12.144
trainGa04K0;w001;29;7.596
trainGa04K0;w001;30;9.528
trainGa04K0;w001;31;9.025
trainGa04K0;w001;32;9.755
trainGa04K0;w001;33;10.755
trainGa04K0;w001;34;9.594
trainGa04K0;w001;35;17.141
trainGa04K0;w001;36;13.599
trainGa04K0;w001;37;11.824
trainGa04K0;w001;38;14.802
trainGa04K0;w001;39;17.148
trainGa04K0;w001;40;21.309
trainGa04K0;w001;41;23.714
trainGa04K0;w001;42;26.273
trainGa04K0;w001;43;25.809
trainGa04K0;w001;44;23.587
trainGa04K0;w001;45;23.769
trainGa04K0;w001;46;28.296
trainGa04K0;w001;47;27.307
trainGa04K0;w001;48;25.199
trainGa04K0;w001;49;25.492
trainGa04K0;w001;50;24.732
trainGa04K0;w001;51;25.960
trainGa04K0;w001;52;22.179
trainGa04K0;w001;53;26.735
trainGa04K0;w001;54;26.293
trainGa04K0;w001;55;26.664
trainGa04K0;w001;56;26.980
trainGa04K0;w001;57;29.099
trainGa04K0;w001;58;21.192
trainGa04K0;w001;59;23.817
trainGa04K0;w001;60;28.038
trainGa04K0;w001;61;30.165
trainGa04K0;w001;62;27.559
trainGa04K0;w001;63;30.508
trainGa04K0;w001;64;24.447
trainGa04K0;w001;65;26.648
trainGa04K0;w001;66;27.875
trainGa04K0;w001;67;37.297
trainGa04K0;w001;68;30.626
trainGa04K0;w001;69;27.284
trainGa04K0;w001;70;28.157
trainGa04K0;w001;71;32.101
trainGa04K0;w001;72;23.909
trainGa04K0;w001;73;23.052
trainGa04K0;w001;74;34.800
trainGa04K0;w001;75;30.312
trainGa04K0;w001;76;36.287
trainGa04K0;w001;77;32.472
trainGa04K0;w001;78;29.666
trainGa04K0;w001;79;30.011
trainGa04K0;w001;80;29.893
trainGa04K0;w001;81;33.681
trainGa04K0;w001;82;38.786
trainGa04K0;w001;83;43.144
trainGa04K0;w001;84;42.598
trainGa04K0;w001;85;33.275
trainGa04K0;w001;86;53.855
trainGa04K0;w001;87;47.545
trainGa04K0;w001;88;40.375
trainGa04K0;w001;89;44.154
trainGa04K0;w001;90;53.127
trainGa04K0;w001;91;43.722
trainGa04K0;w001;92;60.828
trainGa04K0;w001;93;48.422
trainGa04K0;w001;94;54.665
trainGa04K0;w001;95;65.003
trainGa04K0;w001;96;40.077
trainGa04K0;w001;97;42.550
trainGa04K0;w001;98;44.083
