trainGaId;trainGaNr;iterations;score
trainGaKicks01;bob002;1;0.143
trainGaKicks01;bob002;2;0.063
trainGaKicks01;bob002;3;0.294
trainGaKicks01;bob002;4;0.063
trainGaKicks01;bob002;5;0.000
trainGaKicks01;bob002;6;0.196
trainGaKicks01;bob002;7;0.167
trainGaKicks01;bob002;8;0.000
trainGaKicks01;bob002;9;0.071
trainGaKicks01;bob002;10;0.139
trainGaKicks01;bob002;11;0.050
trainGaKicks01;bob002;12;0.911
trainGaKicks01;bob002;13;0.271
trainGaKicks01;bob002;14;0.117
trainGaKicks01;bob002;15;0.083
trainGaKicks01;bob002;16;0.285
trainGaKicks01;bob002;17;0.071
trainGaKicks01;bob002;18;0.071
trainGaKicks01;bob002;19;1.083
trainGaKicks01;bob002;20;0.000
trainGaKicks01;bob002;21;0.134
trainGaKicks01;bob002;22;0.063
trainGaKicks01;bob002;23;0.100
trainGaKicks01;bob002;24;0.071
trainGaKicks01;bob002;25;0.351
trainGaKicks01;bob002;26;0.146
trainGaKicks01;bob002;27;0.205
trainGaKicks01;bob002;28;0.338
trainGaKicks01;bob002;29;0.321
trainGaKicks01;bob002;30;0.367
trainGaKicks01;bob002;31;0.171
trainGaKicks01;bob002;32;0.117
trainGaKicks01;bob002;33;0.241
trainGaKicks01;bob002;34;0.303
trainGaKicks01;bob002;35;0.163
trainGaKicks01;bob002;36;0.298
trainGaKicks01;bob002;37;0.206
trainGaKicks01;bob002;38;0.379
trainGaKicks01;bob002;39;0.146
trainGaKicks01;bob002;40;0.400
trainGaKicks01;bob002;41;0.413
trainGaKicks01;bob002;42;0.205
trainGaKicks01;bob002;43;0.063
trainGaKicks01;bob002;44;0.156
trainGaKicks01;bob002;45;0.225
trainGaKicks01;bob002;46;0.208
trainGaKicks01;bob002;47;0.267
trainGaKicks01;bob002;48;0.511
trainGaKicks01;bob002;49;0.118
trainGaKicks01;bob002;50;0.042
trainGaKicks01;bob002;51;0.000
trainGaKicks01;bob002;52;0.000
trainGaKicks01;bob002;53;0.063
trainGaKicks01;bob002;54;0.083
trainGaKicks01;bob002;55;0.358
trainGaKicks01;bob002;56;0.133
trainGaKicks01;bob002;57;0.254
trainGaKicks01;bob002;58;0.071
trainGaKicks01;bob002;59;0.063
trainGaKicks01;bob002;60;0.369
trainGaKicks01;bob002;61;0.183
trainGaKicks01;bob002;62;0.217
trainGaKicks01;bob002;63;0.525
trainGaKicks01;bob002;64;0.000
trainGaKicks01;bob002;65;0.573
trainGaKicks01;bob002;66;0.354
trainGaKicks01;bob002;67;0.289
trainGaKicks01;bob002;68;0.438
trainGaKicks01;bob002;69;0.458
trainGaKicks01;bob002;70;0.296
trainGaKicks01;bob002;71;0.305
trainGaKicks01;bob002;72;0.439
trainGaKicks01;bob002;73;0.614
trainGaKicks01;bob002;74;0.125
trainGaKicks01;bob002;75;0.196
trainGaKicks01;bob002;76;0.071
trainGaKicks01;bob002;77;0.396
trainGaKicks01;bob002;78;0.163
trainGaKicks01;bob002;79;0.434
trainGaKicks01;bob002;80;0.310
trainGaKicks01;bob002;81;0.296
trainGaKicks01;bob002;82;0.517
trainGaKicks01;bob002;83;0.440
trainGaKicks01;bob002;84;0.345
trainGaKicks01;bob002;85;0.269
trainGaKicks01;bob002;86;0.570
trainGaKicks01;bob002;87;0.111
trainGaKicks01;bob002;88;0.597
trainGaKicks01;bob002;89;0.839
trainGaKicks01;bob002;90;0.184
