trainGaId;trainGaNr;iterations;score
trainGa01ofM;bob002;1;2.572
trainGa01ofM;bob002;2;5.993
trainGa01ofM;bob002;3;5.364
trainGa01ofM;bob002;4;5.085
trainGa01ofM;bob002;5;5.364
trainGa01ofM;bob002;6;9.453
trainGa01ofM;bob002;7;8.220
trainGa01ofM;bob002;8;9.597
trainGa01ofM;bob002;9;6.976
trainGa01ofM;bob002;10;2.701
trainGa01ofM;bob002;11;8.351
trainGa01ofM;bob002;12;12.297
trainGa01ofM;bob002;13;9.917
trainGa01ofM;bob002;14;16.097
trainGa01ofM;bob002;15;11.294
trainGa01ofM;bob002;16;18.346
trainGa01ofM;bob002;17;15.532
trainGa01ofM;bob002;18;13.186
trainGa01ofM;bob002;19;8.320
trainGa01ofM;bob002;20;16.477
trainGa01ofM;bob002;21;14.340
trainGa01ofM;bob002;22;7.551
trainGa01ofM;bob002;23;17.653
trainGa01ofM;bob002;24;13.331
trainGa01ofM;bob002;25;15.275
trainGa01ofM;bob002;26;13.244
trainGa01ofM;bob002;27;10.585
trainGa01ofM;bob002;28;13.146
trainGa01ofM;bob002;29;16.979
trainGa01ofM;bob002;30;16.874
trainGa01ofM;bob002;31;19.584
trainGa01ofM;bob002;32;17.659
trainGa01ofM;bob002;33;9.876
trainGa01ofM;bob002;34;12.026
trainGa01ofM;bob002;35;18.481
trainGa01ofM;bob002;36;15.363
trainGa01ofM;bob002;37;11.098
trainGa01ofM;bob002;38;35.025
trainGa01ofM;bob002;39;14.929
trainGa01ofM;bob002;40;11.654
trainGa01ofM;bob002;41;13.375
trainGa01ofM;bob002;42;12.172
trainGa01ofM;bob002;43;13.129
trainGa01ofM;bob002;44;13.517
trainGa01ofM;bob002;45;17.922
trainGa01ofM;bob002;46;18.661
trainGa01ofM;bob002;47;13.450
trainGa01ofM;bob002;48;15.416
trainGa01ofM;bob002;49;11.366
trainGa01ofM;bob002;50;15.074
trainGa01ofM;bob002;51;16.427
trainGa01ofM;bob002;52;11.975
trainGa01ofM;bob002;53;10.857
trainGa01ofM;bob002;54;15.687
trainGa01ofM;bob002;55;17.478
trainGa01ofM;bob002;56;14.436
trainGa01ofM;bob002;57;13.015
trainGa01ofM;bob002;58;15.400
trainGa01ofM;bob002;59;16.630
trainGa01ofM;bob002;60;14.589
