trainGaId;trainGaNr;iterations;score
trainGa01ofM1;bob002;1;1.372
trainGa01ofM1;bob002;2;2.872
trainGa01ofM1;bob002;3;1.809
trainGa01ofM1;bob002;4;4.874
trainGa01ofM1;bob002;5;4.997
trainGa01ofM1;bob002;6;6.360
trainGa01ofM1;bob002;7;6.822
trainGa01ofM1;bob002;8;10.598
trainGa01ofM1;bob002;9;8.300
trainGa01ofM1;bob002;10;6.379
trainGa01ofM1;bob002;11;13.115
trainGa01ofM1;bob002;12;6.727
trainGa01ofM1;bob002;13;8.923
trainGa01ofM1;bob002;14;9.868
trainGa01ofM1;bob002;15;6.715
trainGa01ofM1;bob002;16;14.303
trainGa01ofM1;bob002;17;10.319
trainGa01ofM1;bob002;18;13.083
trainGa01ofM1;bob002;19;9.040
trainGa01ofM1;bob002;20;10.820
trainGa01ofM1;bob002;21;12.692
trainGa01ofM1;bob002;22;11.139
trainGa01ofM1;bob002;23;13.940
trainGa01ofM1;bob002;24;11.518
trainGa01ofM1;bob002;25;8.158
trainGa01ofM1;bob002;26;11.817
trainGa01ofM1;bob002;27;13.509
trainGa01ofM1;bob002;28;16.244
trainGa01ofM1;bob002;29;16.807
trainGa01ofM1;bob002;30;18.131
trainGa01ofM1;bob002;31;18.588
trainGa01ofM1;bob002;32;15.500
trainGa01ofM1;bob002;33;17.255
trainGa01ofM1;bob002;34;12.466
trainGa01ofM1;bob002;35;13.294
trainGa01ofM1;bob002;36;20.623
trainGa01ofM1;bob002;37;16.974
trainGa01ofM1;bob002;38;11.576
trainGa01ofM1;bob002;39;15.622
trainGa01ofM1;bob002;40;16.670
trainGa01ofM1;bob002;41;21.901
trainGa01ofM1;bob002;42;18.221
trainGa01ofM1;bob002;43;14.421
trainGa01ofM1;bob002;44;18.793
trainGa01ofM1;bob002;45;20.239
trainGa01ofM1;bob002;46;16.828
trainGa01ofM1;bob002;47;24.642
trainGa01ofM1;bob002;48;19.109
trainGa01ofM1;bob002;49;22.566
trainGa01ofM1;bob002;50;15.252
