trainGaId;trainGaNr;iterations;score
trainGa01ofS;bob002;1;0.625
trainGa01ofS;bob002;2;1.460
trainGa01ofS;bob002;3;2.473
trainGa01ofS;bob002;4;2.010
trainGa01ofS;bob002;5;2.834
trainGa01ofS;bob002;6;3.968
trainGa01ofS;bob002;7;4.682
trainGa01ofS;bob002;8;5.488
trainGa01ofS;bob002;9;3.889
trainGa01ofS;bob002;10;6.745
trainGa01ofS;bob002;11;5.225
trainGa01ofS;bob002;12;8.176
trainGa01ofS;bob002;13;9.152
trainGa01ofS;bob002;14;9.208
trainGa01ofS;bob002;15;8.719
trainGa01ofS;bob002;16;10.023
trainGa01ofS;bob002;17;10.743
trainGa01ofS;bob002;18;12.899
trainGa01ofS;bob002;19;12.738
trainGa01ofS;bob002;20;11.503
trainGa01ofS;bob002;21;11.920
trainGa01ofS;bob002;22;12.290
trainGa01ofS;bob002;23;14.563
trainGa01ofS;bob002;24;11.564
trainGa01ofS;bob002;25;10.391
trainGa01ofS;bob002;26;12.647
trainGa01ofS;bob002;27;10.973
trainGa01ofS;bob002;28;10.389
trainGa01ofS;bob002;29;10.625
trainGa01ofS;bob002;30;13.350
trainGa01ofS;bob002;31;11.681
trainGa01ofS;bob002;32;9.818
trainGa01ofS;bob002;33;9.614
trainGa01ofS;bob002;34;10.511
trainGa01ofS;bob002;35;10.910
trainGa01ofS;bob002;36;9.058
trainGa01ofS;bob002;37;11.157
trainGa01ofS;bob002;38;11.149
trainGa01ofS;bob002;39;9.265
trainGa01ofS;bob002;40;10.040
trainGa01ofS;bob002;41;12.059
trainGa01ofS;bob002;42;10.562
trainGa01ofS;bob002;43;11.281
trainGa01ofS;bob002;44;10.359
trainGa01ofS;bob002;45;12.765
trainGa01ofS;bob002;46;12.673
trainGa01ofS;bob002;47;12.287
trainGa01ofS;bob002;48;10.710
trainGa01ofS;bob002;49;11.707
trainGa01ofS;bob002;50;11.871
trainGa01ofS;bob002;51;11.552
trainGa01ofS;bob002;52;9.274
trainGa01ofS;bob002;53;12.065
trainGa01ofS;bob002;54;11.573
trainGa01ofS;bob002;55;9.368
trainGa01ofS;bob002;56;10.814
trainGa01ofS;bob002;57;11.214
trainGa01ofS;bob002;58;10.640
trainGa01ofS;bob002;59;12.837
trainGa01ofS;bob002;60;9.836
trainGa01ofS;bob002;61;10.805
trainGa01ofS;bob002;62;11.262
trainGa01ofS;bob002;63;12.061
trainGa01ofS;bob002;64;12.543
trainGa01ofS;bob002;65;11.353
trainGa01ofS;bob002;66;12.190
trainGa01ofS;bob002;67;13.097
trainGa01ofS;bob002;68;11.303
trainGa01ofS;bob002;69;10.406
trainGa01ofS;bob002;70;11.633
trainGa01ofS;bob002;71;10.789
trainGa01ofS;bob002;72;12.649
trainGa01ofS;bob002;73;14.986
trainGa01ofS;bob002;74;13.681
trainGa01ofS;bob002;75;12.570
trainGa01ofS;bob002;76;12.251
trainGa01ofS;bob002;77;13.063
trainGa01ofS;bob002;78;11.142
trainGa01ofS;bob002;79;14.869
trainGa01ofS;bob002;80;13.243
trainGa01ofS;bob002;81;15.415
trainGa01ofS;bob002;82;14.509
trainGa01ofS;bob002;83;14.194
trainGa01ofS;bob002;84;15.201
trainGa01ofS;bob002;85;14.770
trainGa01ofS;bob002;86;14.552
trainGa01ofS;bob002;87;11.306
trainGa01ofS;bob002;88;13.251
trainGa01ofS;bob002;89;11.714
trainGa01ofS;bob002;90;12.288
trainGa01ofS;bob002;91;13.238
trainGa01ofS;bob002;92;13.886
trainGa01ofS;bob002;93;14.707
trainGa01ofS;bob002;94;12.698
trainGa01ofS;bob002;95;12.695
trainGa01ofS;bob002;96;14.081
trainGa01ofS;bob002;97;11.986
trainGa01ofS;bob002;98;14.919
trainGa01ofS;bob002;99;13.061
trainGa01ofS;bob002;100;12.817
trainGa01ofS;bob002;101;13.183
trainGa01ofS;bob002;102;15.448
trainGa01ofS;bob002;103;15.335
trainGa01ofS;bob002;104;14.329
trainGa01ofS;bob002;105;17.181
trainGa01ofS;bob002;106;13.999
trainGa01ofS;bob002;107;14.831
trainGa01ofS;bob002;108;13.633
