trainGaId;trainGaNr;iterations;score
trainGa04M0om02;w004;1;26.578
trainGa04M0om02;w004;2;36.176
trainGa04M0om02;w004;3;76.147
trainGa04M0om02;w004;4;117.898
trainGa04M0om02;w004;5;187.269
trainGa04M0om02;w004;6;214.793
trainGa04M0om02;w004;7;353.197
trainGa04M0om02;w004;8;379.018
trainGa04M0om02;w004;9;324.253
trainGa04M0om02;w004;10;407.303
trainGa04M0om02;w004;11;356.191
trainGa04M0om02;w004;12;398.500
trainGa04M0om02;w004;13;431.252
trainGa04M0om02;w004;14;430.250
trainGa04M0om02;w004;15;519.645
trainGa04M0om02;w004;16;513.227
trainGa04M0om02;w004;17;589.426
trainGa04M0om02;w004;18;634.828
trainGa04M0om02;w004;19;534.435
trainGa04M0om02;w004;20;594.668
trainGa04M0om02;w004;21;621.619
trainGa04M0om02;w004;22;584.045
trainGa04M0om02;w004;23;589.918
trainGa04M0om02;w004;24;524.771
trainGa04M0om02;w004;25;665.011
trainGa04M0om02;w004;26;702.873
trainGa04M0om02;w004;27;687.496
trainGa04M0om02;w004;28;759.461
trainGa04M0om02;w004;29;682.678
trainGa04M0om02;w004;30;765.205
trainGa04M0om02;w004;31;702.550
trainGa04M0om02;w004;32;720.957
trainGa04M0om02;w004;33;742.913
trainGa04M0om02;w004;34;816.834
trainGa04M0om02;w004;35;767.088
trainGa04M0om02;w004;36;944.052
trainGa04M0om02;w004;37;821.583
trainGa04M0om02;w004;38;870.683
trainGa04M0om02;w004;39;942.655
trainGa04M0om02;w004;40;1036.679
trainGa04M0om02;w004;41;1028.014
trainGa04M0om02;w004;42;988.703
trainGa04M0om02;w004;43;1243.531
trainGa04M0om02;w004;44;1276.854
trainGa04M0om02;w004;45;1337.015
trainGa04M0om02;w004;46;1357.042
trainGa04M0om02;w004;47;1352.213
trainGa04M0om02;w004;48;1417.044
trainGa04M0om02;w004;49;1638.211
trainGa04M0om02;w004;50;1557.645
trainGa04M0om02;w004;51;1588.376
trainGa04M0om02;w004;52;1606.834
trainGa04M0om02;w004;53;1612.455
trainGa04M0om02;w004;54;1700.640
trainGa04M0om02;w004;55;1778.669
trainGa04M0om02;w004;56;1835.732
trainGa04M0om02;w004;57;1881.327
trainGa04M0om02;w004;58;1975.995
trainGa04M0om02;w004;59;1893.088
trainGa04M0om02;w004;60;2001.553
trainGa04M0om02;w004;61;2018.921
trainGa04M0om02;w004;62;1965.020
trainGa04M0om02;w004;63;2065.852
trainGa04M0om02;w004;64;2105.942
trainGa04M0om02;w004;65;1993.977
trainGa04M0om02;w004;66;2149.190
trainGa04M0om02;w004;67;2231.222
trainGa04M0om02;w004;68;2233.761
trainGa04M0om02;w004;69;2212.412
trainGa04M0om02;w004;70;2463.760
trainGa04M0om02;w004;71;2365.856
trainGa04M0om02;w004;72;2343.161
trainGa04M0om02;w004;73;2478.315
trainGa04M0om02;w004;74;2566.516
trainGa04M0om02;w004;75;2695.267
trainGa04M0om02;w004;76;2726.184
trainGa04M0om02;w004;77;2818.301
trainGa04M0om02;w004;78;2871.739
trainGa04M0om02;w004;79;2755.186
trainGa04M0om02;w004;80;2783.366
trainGa04M0om02;w004;81;2785.811
trainGa04M0om02;w004;82;2589.782
trainGa04M0om02;w004;83;2586.013
trainGa04M0om02;w004;84;2435.716
trainGa04M0om02;w004;85;2895.443
trainGa04M0om02;w004;86;3026.960
trainGa04M0om02;w004;87;2923.869
trainGa04M0om02;w004;88;2993.932
trainGa04M0om02;w004;89;3086.531
trainGa04M0om02;w004;90;2935.895
trainGa04M0om02;w004;91;2976.718
trainGa04M0om02;w004;92;2995.409
trainGa04M0om02;w004;93;3320.090
trainGa04M0om02;w004;94;3339.251
trainGa04M0om02;w004;95;3506.784
trainGa04M0om02;w004;96;3455.844
trainGa04M0om02;w004;97;3818.096
trainGa04M0om02;w004;98;3940.703
trainGa04M0om02;w004;99;4029.223
trainGa04M0om02;w004;100;4481.363
trainGa04M0om02;w004;101;4949.319
trainGa04M0om02;w004;102;4379.630
trainGa04M0om02;w004;103;3912.257
trainGa04M0om02;w004;104;4140.197
trainGa04M0om02;w004;105;4149.040
trainGa04M0om02;w004;106;4106.287
trainGa04M0om02;w004;107;4407.193
trainGa04M0om02;w004;108;4509.692
trainGa04M0om02;w004;109;4333.969
trainGa04M0om02;w004;110;4268.481
trainGa04M0om02;w004;111;4572.610
trainGa04M0om02;w004;112;4657.077
trainGa04M0om02;w004;113;4673.735
trainGa04M0om02;w004;114;4891.882
trainGa04M0om02;w004;115;4917.001
trainGa04M0om02;w004;116;4842.440
trainGa04M0om02;w004;117;4808.370
trainGa04M0om02;w004;118;4704.515
trainGa04M0om02;w004;119;4911.381
trainGa04M0om02;w004;120;4919.899
trainGa04M0om02;w004;121;4924.368
trainGa04M0om02;w004;122;5250.175
trainGa04M0om02;w004;123;5408.506
trainGa04M0om02;w004;124;5351.900
trainGa04M0om02;w004;125;5499.003
trainGa04M0om02;w004;126;5493.800
trainGa04M0om02;w004;127;5264.266
trainGa04M0om02;w004;128;5138.351
trainGa04M0om02;w004;129;5208.548
trainGa04M0om02;w004;130;5192.638
trainGa04M0om02;w004;131;5052.874
