trainGaId;trainGaNr;iterations;score
trainGa05fitFac02;w001;1;12.983
trainGa05fitFac02;w001;2;22.653
trainGa05fitFac02;w001;3;33.657
trainGa05fitFac02;w001;4;70.176
trainGa05fitFac02;w001;5;59.302
trainGa05fitFac02;w001;6;109.417
trainGa05fitFac02;w001;7;111.984
trainGa05fitFac02;w001;8;141.084
trainGa05fitFac02;w001;9;144.626
trainGa05fitFac02;w001;10;228.135
trainGa05fitFac02;w001;11;308.914
trainGa05fitFac02;w001;12;330.545
trainGa05fitFac02;w001;13;340.038
trainGa05fitFac02;w001;14;357.912
trainGa05fitFac02;w001;15;346.906
trainGa05fitFac02;w001;16;404.791
trainGa05fitFac02;w001;17;474.001
trainGa05fitFac02;w001;18;418.186
trainGa05fitFac02;w001;19;539.372
trainGa05fitFac02;w001;20;611.116
trainGa05fitFac02;w001;21;776.331
trainGa05fitFac02;w001;22;774.988
trainGa05fitFac02;w001;23;826.045
trainGa05fitFac02;w001;24;803.947
trainGa05fitFac02;w001;25;1025.923
trainGa05fitFac02;w001;26;1034.019
trainGa05fitFac02;w001;27;1008.728
trainGa05fitFac02;w001;28;1004.609
trainGa05fitFac02;w001;29;1072.602
trainGa05fitFac02;w001;30;1073.427
trainGa05fitFac02;w001;31;1071.766
trainGa05fitFac02;w001;32;1198.579
trainGa05fitFac02;w001;33;1002.078
trainGa05fitFac02;w001;34;1110.577
trainGa05fitFac02;w001;35;1240.620
trainGa05fitFac02;w001;36;1137.097
trainGa05fitFac02;w001;37;1218.906
trainGa05fitFac02;w001;38;1319.218
trainGa05fitFac02;w001;39;1444.509
trainGa05fitFac02;w001;40;1297.277
trainGa05fitFac02;w001;41;1569.696
trainGa05fitFac02;w001;42;1475.539
trainGa05fitFac02;w001;43;1556.514
trainGa05fitFac02;w001;44;1448.966
trainGa05fitFac02;w001;45;1775.004
trainGa05fitFac02;w001;46;1599.547
trainGa05fitFac02;w001;47;1708.250
trainGa05fitFac02;w001;48;1726.255
trainGa05fitFac02;w001;49;1572.607
trainGa05fitFac02;w001;50;1666.948
trainGa05fitFac02;w001;51;1720.264
trainGa05fitFac02;w001;52;1875.342
trainGa05fitFac02;w001;53;1848.035
trainGa05fitFac02;w001;54;2105.800
trainGa05fitFac02;w001;55;2001.961
trainGa05fitFac02;w001;56;1821.835
trainGa05fitFac02;w001;57;1946.338
trainGa05fitFac02;w001;58;1890.731
trainGa05fitFac02;w001;59;1911.423
trainGa05fitFac02;w001;60;2157.160
trainGa05fitFac02;w001;61;2236.167
trainGa05fitFac02;w001;62;2320.902
trainGa05fitFac02;w001;63;2445.348
trainGa05fitFac02;w001;64;2598.763
trainGa05fitFac02;w001;65;2604.679
trainGa05fitFac02;w001;66;2705.877
trainGa05fitFac02;w001;67;2667.507
trainGa05fitFac02;w001;68;2925.160
trainGa05fitFac02;w001;69;2985.423
trainGa05fitFac02;w001;70;3094.968
trainGa05fitFac02;w001;71;3225.313
trainGa05fitFac02;w001;72;3341.740
trainGa05fitFac02;w001;73;3733.368
trainGa05fitFac02;w001;74;4020.342
trainGa05fitFac02;w001;75;3783.776
trainGa05fitFac02;w001;76;3712.708
trainGa05fitFac02;w001;77;3440.422
trainGa05fitFac02;w001;78;3794.610
trainGa05fitFac02;w001;79;3920.072
trainGa05fitFac02;w001;80;3852.512
trainGa05fitFac02;w001;81;3593.178
trainGa05fitFac02;w001;82;3723.358
trainGa05fitFac02;w001;83;3637.694
trainGa05fitFac02;w001;84;3926.018
trainGa05fitFac02;w001;85;3949.784
trainGa05fitFac02;w001;86;3734.537
trainGa05fitFac02;w001;87;3888.619
trainGa05fitFac02;w001;88;3890.447
trainGa05fitFac02;w001;89;3833.506
trainGa05fitFac02;w001;90;3842.031
trainGa05fitFac02;w001;91;4071.784
trainGa05fitFac02;w001;92;3855.043
trainGa05fitFac02;w001;93;4116.305
trainGa05fitFac02;w001;94;4301.618
trainGa05fitFac02;w001;95;4137.224
trainGa05fitFac02;w001;96;4544.570
trainGa05fitFac02;w001;97;4480.843
trainGa05fitFac02;w001;98;4339.812
trainGa05fitFac02;w001;99;4473.814
trainGa05fitFac02;w001;100;4541.453
trainGa05fitFac02;w001;101;4385.332
