trainGaId;populationNr;iterations;score
trainGa05fitFac03b;w001;1;36.140
trainGa05fitFac03b;w001;2;81.456
trainGa05fitFac03b;w001;3;89.939
trainGa05fitFac03b;w001;4;125.111
trainGa05fitFac03b;w001;5;154.482
trainGa05fitFac03b;w001;6;141.723
trainGa05fitFac03b;w001;7;162.463
trainGa05fitFac03b;w001;8;312.925
trainGa05fitFac03b;w001;9;391.077
trainGa05fitFac03b;w001;10;301.484
trainGa05fitFac03b;w001;11;547.133
trainGa05fitFac03b;w001;12;494.527
trainGa05fitFac03b;w001;13;407.692
trainGa05fitFac03b;w001;14;777.197
trainGa05fitFac03b;w001;15;637.952
trainGa05fitFac03b;w001;16;759.502
trainGa05fitFac03b;w001;17;1121.417
trainGa05fitFac03b;w001;18;1339.898
trainGa05fitFac03b;w001;19;1734.350
trainGa05fitFac03b;w001;20;1566.462
trainGa05fitFac03b;w001;21;1769.157
trainGa05fitFac03b;w001;22;1785.485
trainGa05fitFac03b;w001;23;1834.023
trainGa05fitFac03b;w001;24;2029.671
trainGa05fitFac03b;w001;25;1996.825
trainGa05fitFac03b;w001;26;2145.448
trainGa05fitFac03b;w001;27;1991.016
trainGa05fitFac03b;w001;28;2202.925
trainGa05fitFac03b;w001;29;2225.908
trainGa05fitFac03b;w001;30;2208.858
trainGa05fitFac03b;w001;31;2687.947
trainGa05fitFac03b;w001;32;3169.557
trainGa05fitFac03b;w001;33;3461.464
trainGa05fitFac03b;w001;34;3571.927
trainGa05fitFac03b;w001;35;3187.174
trainGa05fitFac03b;w001;36;4132.543
trainGa05fitFac03b;w001;37;3793.313
trainGa05fitFac03b;w001;38;3499.752
trainGa05fitFac03b;w001;39;4008.669
trainGa05fitFac03b;w001;40;3570.133
trainGa05fitFac03b;w001;41;3974.819
trainGa05fitFac03b;w001;42;4072.606
trainGa05fitFac03b;w001;43;4056.204
trainGa05fitFac03b;w001;44;4815.825
trainGa05fitFac03b;w001;45;4502.406
trainGa05fitFac03b;w001;46;4619.603
trainGa05fitFac03b;w001;47;4769.302
trainGa05fitFac03b;w001;48;4765.575
trainGa05fitFac03b;w001;49;4692.483
trainGa05fitFac03b;w001;50;5371.583
trainGa05fitFac03b;w001;51;6153.034
trainGa05fitFac03b;w001;52;5944.431
trainGa05fitFac03b;w001;53;6348.773
trainGa05fitFac03b;w001;54;6784.681
trainGa05fitFac03b;w001;55;7703.992
trainGa05fitFac03b;w001;56;7658.580
trainGa05fitFac03b;w001;57;7110.852
trainGa05fitFac03b;w001;58;7393.622
trainGa05fitFac03b;w001;59;7240.948
trainGa05fitFac03b;w001;60;7786.547
trainGa05fitFac03b;w001;61;8452.802
trainGa05fitFac03b;w001;62;7885.714
trainGa05fitFac03b;w001;63;8552.337
trainGa05fitFac03b;w001;64;8095.344
trainGa05fitFac03b;w001;65;8330.314
trainGa05fitFac03b;w001;66;8372.785
trainGa05fitFac03b;w001;67;9821.061
trainGa05fitFac03b;w001;68;11189.445
trainGa05fitFac03b;w001;69;10311.875
trainGa05fitFac03b;w001;70;8895.918
trainGa05fitFac03b;w001;71;10204.302
trainGa05fitFac03b;w001;72;10341.309
trainGa05fitFac03b;w001;73;9176.669
trainGa05fitFac03b;w001;74;8901.553
trainGa05fitFac03b;w001;75;9529.900
trainGa05fitFac03b;w001;76;9949.849
trainGa05fitFac03b;w001;77;8438.029
trainGa05fitFac03b;w001;78;9862.295
trainGa05fitFac03b;w001;79;10334.861
trainGa05fitFac03b;w001;80;9928.586
trainGa05fitFac03b;w001;81;9203.122
trainGa05fitFac03b;w001;82;9397.098
trainGa05fitFac03b;w001;83;10563.479
trainGa05fitFac03b;w001;84;11193.211
trainGa05fitFac03b;w001;85;10137.734
trainGa05fitFac03b;w001;86;12179.777
trainGa05fitFac03b;w001;87;10693.158
trainGa05fitFac03b;w001;88;11196.366
trainGa05fitFac03b;w001;89;10892.364
trainGa05fitFac03b;w001;90;11942.840
trainGa05fitFac03b;w001;91;12135.927
trainGa05fitFac03b;w001;92;11258.930
trainGa05fitFac03b;w001;93;10696.076
trainGa05fitFac03b;w001;94;11466.521
trainGa05fitFac03b;w001;95;12356.280
trainGa05fitFac03b;w001;96;11876.627
trainGa05fitFac03b;w001;97;11323.372
trainGa05fitFac03b;w001;98;11429.104
trainGa05fitFac03b;w001;99;13381.983
trainGa05fitFac03b;w001;100;13082.259
trainGa05fitFac03b;w001;101;12723.913
trainGa05fitFac03b;w001;102;14918.903
trainGa05fitFac03b;w001;103;11208.109
trainGa05fitFac03b;w001;104;12509.795
trainGa05fitFac03b;w001;105;12123.810
trainGa05fitFac03b;w001;106;13492.249
trainGa05fitFac03b;w001;107;14240.437
trainGa05fitFac03b;w001;108;14241.038
trainGa05fitFac03b;w001;109;13253.316
trainGa05fitFac03b;w001;110;15045.803
trainGa05fitFac03b;w001;111;15861.110
trainGa05fitFac03b;w001;112;14332.330
trainGa05fitFac03b;w001;113;13860.241
trainGa05fitFac03b;w001;114;13638.023
trainGa05fitFac03b;w001;115;13789.970
trainGa05fitFac03b;w001;116;14731.329
trainGa05fitFac03b;w001;117;14599.167
trainGa05fitFac03b;w001;118;15866.745
trainGa05fitFac03b;w001;119;13469.516
trainGa05fitFac03b;w001;120;13049.571
trainGa05fitFac03b;w001;121;13064.965
trainGa05fitFac03b;w001;122;13218.762
trainGa05fitFac03b;w001;123;14795.422
trainGa05fitFac03b;w001;124;14719.877
trainGa05fitFac03b;w001;125;14697.873
trainGa05fitFac03b;w001;126;15280.624
trainGa05fitFac03b;w001;127;15641.622
trainGa05fitFac03b;w001;128;16063.297
trainGa05fitFac03b;w001;129;15359.480
trainGa05fitFac03b;w001;130;18375.192
trainGa05fitFac03b;w001;131;16460.316
trainGa05fitFac03b;w001;132;18381.728
trainGa05fitFac03b;w001;133;17757.791
trainGa05fitFac03b;w001;134;19005.064
trainGa05fitFac03b;w001;135;16444.268
trainGa05fitFac03b;w001;136;16619.360
trainGa05fitFac03b;w001;137;17020.323
trainGa05fitFac03b;w001;138;16490.489
trainGa05fitFac03b;w001;139;17155.976
trainGa05fitFac03b;w001;140;17534.366
trainGa05fitFac03b;w001;141;15711.038
trainGa05fitFac03b;w001;142;16066.246
trainGa05fitFac03b;w001;143;17804.375
trainGa05fitFac03b;w001;144;14222.519
trainGa05fitFac03b;w001;145;13973.834
trainGa05fitFac03b;w001;146;15498.175
trainGa05fitFac03b;w001;147;16146.796
trainGa05fitFac03b;w001;148;13166.328
trainGa05fitFac03b;w001;149;15200.875
trainGa05fitFac03b;w001;150;15797.912
trainGa05fitFac03b;w001;151;16982.571
trainGa05fitFac03b;w001;152;14318.566
trainGa05fitFac03b;w001;153;14651.122
trainGa05fitFac03b;w001;154;14823.944
trainGa05fitFac03b;w001;155;14704.027
trainGa05fitFac03b;w001;156;15634.546
trainGa05fitFac03b;w001;157;15228.353
trainGa05fitFac03b;w001;158;17846.842
trainGa05fitFac03b;w001;159;16553.472
trainGa05fitFac03b;w001;160;14269.826
trainGa05fitFac03b;w001;161;18062.166
trainGa05fitFac03b;w001;162;16264.810
trainGa05fitFac03b;w001;163;16768.497
trainGa05fitFac03b;w001;164;18318.865
trainGa05fitFac03b;w001;165;21114.466
trainGa05fitFac03b;w001;166;17785.383
trainGa05fitFac03b;w001;167;18700.867
trainGa05fitFac03b;w001;168;24099.736
trainGa05fitFac03b;w001;169;21634.498
trainGa05fitFac03b;w001;170;20010.327
trainGa05fitFac03b;w001;171;22153.050
trainGa05fitFac03b;w001;172;20115.463
trainGa05fitFac03b;w001;173;20815.143
trainGa05fitFac03b;w001;174;20301.420
trainGa05fitFac03b;w001;175;20857.972
trainGa05fitFac03b;w001;176;22945.324
trainGa05fitFac03b;w001;177;23815.152
trainGa05fitFac03b;w001;178;22266.415
trainGa05fitFac03b;w001;179;21804.498
trainGa05fitFac03b;w001;180;23421.340
trainGa05fitFac03b;w001;181;23953.297
trainGa05fitFac03b;w001;182;24779.790
trainGa05fitFac03b;w001;183;22738.340
trainGa05fitFac03b;w001;184;24413.314
trainGa05fitFac03b;w001;185;26166.300
trainGa05fitFac03b;w001;186;23079.819
trainGa05fitFac03b;w001;187;26898.322
trainGa05fitFac03b;w001;188;23748.098
trainGa05fitFac03b;w001;189;22107.696
trainGa05fitFac03b;w001;190;24076.087
trainGa05fitFac03b;w001;191;25139.512
trainGa05fitFac03b;w001;192;21997.668
trainGa05fitFac03b;w001;193;23733.270
trainGa05fitFac03b;w001;194;25175.057
trainGa05fitFac03b;w001;195;19374.329
trainGa05fitFac03b;w001;196;21701.373
trainGa05fitFac03b;w001;197;22581.643
trainGa05fitFac03b;w001;198;24550.955
trainGa05fitFac03b;w001;199;18645.883
trainGa05fitFac03b;w001;200;21943.730
trainGa05fitFac03b;w001;201;21698.572
trainGa05fitFac03b;w001;202;18915.665
trainGa05fitFac03b;w001;203;20171.588
trainGa05fitFac03b;w001;204;22107.488
trainGa05fitFac03b;w001;205;22500.640
trainGa05fitFac03b;w001;206;21777.588
trainGa05fitFac03b;w001;207;24663.408
trainGa05fitFac03b;w001;208;25830.927
trainGa05fitFac03b;w001;209;29051.082
trainGa05fitFac03b;w001;210;28885.353
trainGa05fitFac03b;w001;211;26069.947
trainGa05fitFac03b;w001;212;30910.317
trainGa05fitFac03b;w001;213;29338.558
trainGa05fitFac03b;w001;214;29909.669
trainGa05fitFac03b;w001;215;26056.036
trainGa05fitFac03b;w001;216;31959.582
trainGa05fitFac03b;w001;217;30309.402
trainGa05fitFac03b;w001;218;35016.747
trainGa05fitFac03b;w001;219;27728.980
trainGa05fitFac03b;w001;220;27376.650
trainGa05fitFac03b;w001;221;32142.033
trainGa05fitFac03b;w001;222;32237.048
trainGa05fitFac03b;w001;223;28308.820
trainGa05fitFac03b;w001;224;29201.195
trainGa05fitFac03b;w001;225;34619.843
trainGa05fitFac03b;w001;226;35251.211
trainGa05fitFac03b;w001;227;36031.688
trainGa05fitFac03b;w001;228;34842.539
trainGa05fitFac03b;w001;229;38595.254
trainGa05fitFac03b;w001;230;34676.313
trainGa05fitFac03b;w001;231;35827.146
trainGa05fitFac03b;w001;232;35900.752
trainGa05fitFac03b;w001;233;38044.353
trainGa05fitFac03b;w001;234;35754.205
trainGa05fitFac03b;w001;235;34570.501
trainGa05fitFac03b;w001;236;38563.748
trainGa05fitFac03b;w001;237;48331.593
trainGa05fitFac03b;w001;238;45136.747
trainGa05fitFac03b;w001;239;42889.291
trainGa05fitFac03b;w001;240;44197.478
trainGa05fitFac03b;w001;241;39071.099
trainGa05fitFac03b;w001;242;43265.714
trainGa05fitFac03b;w001;243;37293.959
trainGa05fitFac03b;w001;244;44740.430
trainGa05fitFac03b;w001;245;40884.535
trainGa05fitFac03b;w001;246;40004.086
trainGa05fitFac03b;w001;247;41064.751
trainGa05fitFac03b;w001;248;44800.111
trainGa05fitFac03b;w001;249;44229.665
trainGa05fitFac03b;w001;250;48218.909
trainGa05fitFac03b;w001;251;42466.925
trainGa05fitFac03b;w001;252;49118.446
trainGa05fitFac03b;w001;253;47532.381
trainGa05fitFac03b;w001;254;52026.781
trainGa05fitFac03b;w001;255;43217.153
trainGa05fitFac03b;w001;256;50571.599
trainGa05fitFac03b;w001;257;52716.801
trainGa05fitFac03b;w001;258;49373.671
trainGa05fitFac03b;w001;259;48424.909
trainGa05fitFac03b;w001;260;59895.543
trainGa05fitFac03b;w001;261;52008.763
trainGa05fitFac03b;w001;262;53932.933
trainGa05fitFac03b;w001;263;55081.274
trainGa05fitFac03b;w001;264;57579.944
trainGa05fitFac03b;w001;265;55387.609
trainGa05fitFac03b;w001;266;62449.221
trainGa05fitFac03b;w001;267;61925.756
trainGa05fitFac03b;w001;268;51393.998
trainGa05fitFac03b;w001;269;59220.309
trainGa05fitFac03b;w001;270;55354.831
trainGa05fitFac03b;w001;271;57366.673
trainGa05fitFac03b;w001;272;61487.015
trainGa05fitFac03b;w001;273;53223.610
trainGa05fitFac03b;w001;274;63133.707
trainGa05fitFac03b;w001;275;52901.218
trainGa05fitFac03b;w001;276;57131.167
trainGa05fitFac03b;w001;277;56959.898
trainGa05fitFac03b;w001;278;60468.864
trainGa05fitFac03b;w001;279;63792.593
trainGa05fitFac03b;w001;280;63144.954
trainGa05fitFac03b;w001;281;57666.884
trainGa05fitFac03b;w001;282;61245.925
trainGa05fitFac03b;w001;283;60339.848
trainGa05fitFac03b;w001;284;58510.035
trainGa05fitFac03b;w001;285;61422.622
trainGa05fitFac03b;w001;286;60200.509
trainGa05fitFac03b;w001;287;60795.995
trainGa05fitFac03b;w001;288;60750.547
trainGa05fitFac03b;w001;289;61003.945
trainGa05fitFac03b;w001;290;63404.098
trainGa05fitFac03b;w001;291;64825.641
trainGa05fitFac03b;w001;292;65531.394
trainGa05fitFac03b;w001;293;59675.157
trainGa05fitFac03b;w001;294;59988.260
trainGa05fitFac03b;w001;295;62787.469
trainGa05fitFac03b;w001;296;58540.042
trainGa05fitFac03b;w001;297;54995.438
trainGa05fitFac03b;w001;298;52211.367
trainGa05fitFac03b;w001;299;53624.853
trainGa05fitFac03b;w001;300;56857.912
trainGa05fitFac03b;w001;301;54987.511
trainGa05fitFac03b;w001;302;53430.556
trainGa05fitFac03b;w001;303;57748.882
trainGa05fitFac03b;w001;304;61337.560
trainGa05fitFac03b;w001;305;63922.521
trainGa05fitFac03b;w001;306;62774.338
trainGa05fitFac03b;w001;307;55710.834
trainGa05fitFac03b;w001;308;62971.532
trainGa05fitFac03b;w001;309;61580.919
trainGa05fitFac03b;w001;310;68871.626
trainGa05fitFac03b;w001;311;56628.593
trainGa05fitFac03b;w001;312;60520.750
trainGa05fitFac03b;w001;313;60196.585
trainGa05fitFac03b;w001;314;58209.489
trainGa05fitFac03b;w001;315;52683.348
trainGa05fitFac03b;w001;316;50653.599
trainGa05fitFac03b;w001;317;62365.440
trainGa05fitFac03b;w001;318;60369.304
trainGa05fitFac03b;w001;319;61620.481
trainGa05fitFac03b;w001;320;61619.461
trainGa05fitFac03b;w001;321;69224.785
trainGa05fitFac03b;w001;322;60357.790
trainGa05fitFac03b;w001;323;61817.594
trainGa05fitFac03b;w001;324;68350.752
trainGa05fitFac03b;w001;325;53249.688
trainGa05fitFac03b;w001;326;62586.138
trainGa05fitFac03b;w001;327;57092.126
trainGa05fitFac03b;w001;328;63954.219
trainGa05fitFac03b;w001;329;68155.622
trainGa05fitFac03b;w001;330;70676.779
trainGa05fitFac03b;w001;331;75798.708
trainGa05fitFac03b;w001;332;79507.992
trainGa05fitFac03b;w001;333;72849.457
trainGa05fitFac03b;w001;334;80977.399
trainGa05fitFac03b;w001;335;80597.874
trainGa05fitFac03b;w001;336;81232.419
trainGa05fitFac03b;w001;337;86375.672
trainGa05fitFac03b;w001;338;83512.673
trainGa05fitFac03b;w001;339;90207.775
trainGa05fitFac03b;w001;340;79477.747
trainGa05fitFac03b;w001;341;96614.655
trainGa05fitFac03b;w001;342;93955.675
trainGa05fitFac03b;w001;343;86333.796
trainGa05fitFac03b;w001;344;84137.511
trainGa05fitFac03b;w001;345;80500.244
trainGa05fitFac03b;w001;346;77830.653
trainGa05fitFac03b;w001;347;79954.168
trainGa05fitFac03b;w001;348;87660.105
trainGa05fitFac03b;w001;349;90889.192
trainGa05fitFac03b;w001;350;83004.289
trainGa05fitFac03b;w001;351;96797.929
trainGa05fitFac03b;w001;352;97810.002
trainGa05fitFac03b;w001;353;97154.542
trainGa05fitFac03b;w001;354;90359.611
trainGa05fitFac03b;w001;355;90010.002
trainGa05fitFac03b;w001;356;84066.403
trainGa05fitFac03b;w001;357;77119.333
trainGa05fitFac03b;w001;358;89019.420
trainGa05fitFac03b;w001;359;85028.561
trainGa05fitFac03b;w001;360;81991.944
